Anwendung,Raumwärme,Warmwasser,Prozesswärme,Klimakälte,Prozesskälte,Beleuchtung,IKT,Mechanische Antriebe,Total,
2020-01-01 00:00:00,0,0,600297,4698,0,11847,7149,1153713,1777907,
2020-01-01 00:15:00,0,0,600297,4698,0,11847,7149,1151917,1776111,
2020-01-01 00:30:00,0,0,600297,4698,0,11847,7149,1154471,1778665,
2020-01-01 00:45:00,0,0,600297,4698,0,11847,7149,1153429,1777623,
2020-01-01 01:00:00,0,0,600297,4698,0,11847,7149,1165979,1790173,
2020-01-01 01:15:00,0,0,600297,4698,0,11847,7149,1156822,1781016,
2020-01-01 01:30:00,0,0,600297,4698,0,11847,7149,1159898,1784092,
2020-01-01 01:45:00,0,0,600297,4698,0,11847,7149,1161404,1785598,
2020-01-01 02:00:00,0,0,600297,4698,0,11847,7149,1151225,1775419,
2020-01-01 02:15:00,0,0,600297,4698,0,11847,7149,1157763,1781957,
2020-01-01 02:30:00,0,0,600297,4698,0,11847,7149,1158693,1782887,
2020-01-01 02:45:00,0,0,600297,4698,0,11847,7149,1155031,1779225,
2020-01-01 03:00:00,0,0,600297,4698,0,11847,7149,1155133,1779327,
2020-01-01 03:15:00,0,0,600297,4698,0,11847,7149,1152209,1776403,
2020-01-01 03:30:00,0,0,600297,4698,0,11847,7149,1153273,1777467,
2020-01-01 03:45:00,0,0,600297,4698,0,11847,7149,1147024,1771218,
2020-01-01 04:00:00,0,0,600297,4698,0,11847,7149,1153648,1777842,
2020-01-01 04:15:00,0,0,600297,4698,0,11847,7149,1154971,1779165,
2020-01-01 04:30:00,0,0,600297,4698,0,11847,7149,1157524,1781718,
2020-01-01 04:45:00,0,0,600297,4698,0,11847,7149,1154478,1778672,
2020-01-01 05:00:00,0,0,600297,4698,0,11847,7149,1151871,1776065,
2020-01-01 05:15:00,0,0,600297,4698,0,11847,7149,1156720,1780914,
2020-01-01 05:30:00,0,0,600297,4698,0,11847,7149,1159796,1783990,
2020-01-01 05:45:00,0,0,600297,4698,0,11847,7149,1153016,1777210,
2020-01-01 06:00:00,0,0,600297,4698,0,11847,7149,1151788,1775982,
2020-01-01 06:15:00,0,0,600297,4698,0,11847,7149,1157121,1781315,
2020-01-01 06:30:00,0,0,600297,4698,0,11847,7149,1156501,1780695,
2020-01-01 06:45:00,0,0,600297,4698,0,11847,7149,1155485,1779679,
2020-01-01 07:00:00,0,0,600297,4698,0,11847,7149,1156066,1780260,
2020-01-01 07:15:00,0,0,600297,4698,0,11847,7149,1156644,1780838,
2020-01-01 07:30:00,0,0,600297,4698,0,11847,7149,1158780,1782974,
2020-01-01 07:45:00,0,0,600297,4698,0,11847,7149,1157052,1781246,
2020-01-01 08:00:00,0,0,600297,4698,0,11847,7149,1155509,1779703,
2020-01-01 08:15:00,0,0,600297,4698,0,11847,7149,1162001,1786195,
2020-01-01 08:30:00,0,0,600297,4698,0,11847,7149,1156256,1780450,
2020-01-01 08:45:00,0,0,600297,4698,0,11847,7149,1161678,1785872,
2020-01-01 09:00:00,0,0,600297,4698,0,11847,7149,1157995,1782189,
