,Iron_steel
0,48063.45
1,48014.9
2,48083.94
3,48055.78
4,48395.05
5,48147.5
6,48230.66
7,48271.37
8,47996.19
9,48172.94
10,48198.08
11,48099.08
12,48101.84
13,48022.79
14,48051.56
15,47882.62
16,48061.7
17,48097.46
18,48166.48
19,48084.13
20,48013.66
21,48144.74
22,48227.9
23,48044.61
24,48011.41
25,48155.58
26,48138.82
27,48111.36
28,48127.06
29,48142.69
30,48200.43
31,48153.72
32,48112.01
33,48287.51
34,48132.2
35,48278.78
36,48179.21
37,47928.8
38,48073.92
39,48292.65
40,48117.71
41,48281.34
42,48115.76
43,48111.19
44,48085.27
45,48209.89
46,48119.44
47,48193.97
48,48047.02
49,48145.07
50,48077.75
51,48129.71
52,47949.94
53,48082.3
54,48182.0
55,48200.7
56,48167.53
57,48079.65
58,48115.9
59,48401.75
60,48076.81
61,48048.77
62,47977.89
63,48188.97
64,48043.85
65,48024.93
66,48121.85
67,48143.45
68,48084.62
69,48050.56
70,48133.12
71,48256.12
72,48157.64
73,48131.98
74,48151.04
75,48088.49
76,48189.67
77,48217.36
78,48153.56
79,48121.33
80,48167.97
81,48125.74
82,48308.38
83,48410.38
84,48451.55
85,48824.43
86,49100.49
87,49432.36
88,50043.7
89,50534.01
90,51150.19
91,52051.87
92,53106.49
93,54178.83
94,54986.93
95,55147.75
96,55119.26
97,55169.54
98,55180.35
99,55238.83
100,55281.62
101,55298.38
102,55589.62
103,55840.54
104,55884.15
105,55698.35
106,55572.88
107,55641.17
108,55355.5
109,55189.62
110,55198.95
111,55152.64
112,55221.42
113,55394.7
114,55722.43
115,55880.15
116,56251.48
117,56804.54
118,57619.42
119,58136.52
120,58916.87
121,59765.0
122,60751.76
123,61552.96
124,62425.15
125,63166.36
126,63998.27
127,64626.77
128,65176.1
129,65700.74
130,66126.79
131,66282.54
132,66385.53
133,66551.14
134,66744.62
135,66637.79
136,66546.25
137,66620.43
138,66595.91
139,66516.92
140,66577.83
141,66714.32
142,66749.52
143,66693.69
144,66913.02
145,66929.51
146,66940.75
147,66919.91
148,66887.47
149,66882.39
150,66762.93
151,66668.39
152,66555.77
153,66363.45
154,66019.85
155,65687.69
156,65397.4
157,65191.54
158,64820.69
159,64449.24
160,64007.35
161,63813.3
162,63195.01
163,62838.2
164,62406.33
165,62179.6
166,61848.22
167,61450.99
168,61305.82
169,61258.37
170,60972.95
171,60992.2
172,60742.65
173,60856.95
174,60834.27
175,60936.45
176,60801.93
177,60630.78
178,60541.01
179,60720.83
180,60477.31
181,60383.75
182,60152.12
183,59978.68
184,59629.73
185,59195.75
186,58698.71
187,58186.45
188,57725.39
189,56719.08
190,55572.1
191,55265.45
192,55148.7
193,55372.48
194,55244.18
195,55285.86
196,55367.18
197,55556.23
198,55542.98
199,55811.32
200,55815.4
201,55907.13
202,55567.04
203,55464.21
204,55375.89
205,55190.08
206,55246.21
207,55167.57
208,55283.24
209,55432.5
210,55724.14
211,55900.94
212,56319.85
213,56801.08
214,57489.44
215,58260.47
216,58926.71
217,59947.61
218,60610.4
219,61538.6
220,62350.26
221,63205.1
222,64016.38
223,64641.78
224,65127.14
225,65540.73
226,66243.31
227,66400.81
228,66346.82
229,66703.07
230,66707.43
231,66650.28
232,66673.61
233,66491.78
234,66473.8
235,66601.8
236,66578.56
237,66636.11
238,66669.77
239,66739.73
240,66776.17
241,67000.88
242,66873.76
243,67015.23
244,66880.68
245,66759.11
246,66792.88
247,66774.74
248,66563.66
249,66327.36
250,66181.75
251,65873.65
252,65666.25
253,65219.03
254,64604.04
255,64360.95
256,63910.3
257,63719.63
258,63193.85
259,62736.33
260,62765.58
261,62143.65
262,61864.04
263,61641.79
264,61530.68
265,61293.98
266,61026.75
267,60920.91
268,60823.83
269,60847.84
270,60843.67
271,60697.31
272,60682.72
273,60546.6
274,60695.67
275,60682.09
276,60497.08
277,60156.04
278,60339.71
279,59845.43
280,59629.73
281,59371.36
282,58974.24
283,58480.06
284,57662.51
285,56731.95
286,55759.09
287,55231.23
288,55157.78
289,55239.18
290,55136.77
291,55335.77
292,55116.85
293,54513.65
294,53725.94
295,52850.91
296,52161.63
297,51444.86
298,50940.65
299,50733.55
300,50209.44
301,50111.69
302,49747.98
303,49748.65
304,49660.66
305,49426.28
306,49647.17
307,49690.78
308,49522.87
309,49628.33
310,49612.59
311,49691.05
312,49900.8
313,49868.31
314,50010.99
315,49809.67
316,50108.88
317,50098.85
318,50192.85
319,50161.51
320,50231.15
321,50164.0
322,50289.73
323,50311.39
324,50427.01
325,50240.86
326,50269.19
327,50203.44
328,50523.6
329,50341.69
330,50378.24
331,50526.14
332,50307.55
333,50437.28
334,50338.58
335,50510.28
336,50334.64
337,50426.42
338,50238.72
339,50239.4
340,50187.01
341,50334.72
342,50036.02
343,49939.76
344,49782.28
345,49867.6
346,49624.03
347,49441.85
348,49185.06
