,industry_demand,optimalBidamount,elecCons,elecStartUpCost,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isStarted
0,180.2,60.061,60.061,0.0,0.0,180.2,180.2,0.0,0.0,0.0,26.57,1.0,0.0
1,179.1,59.694,59.694,0.0,0.0,179.1,179.1,0.0,0.0,0.0,26.57,1.0,0.0
2,178.0,59.327,59.327,0.0,0.0,178.0,178.0,0.0,0.0,0.0,26.17,1.0,0.0
3,176.8,58.927,58.927,0.0,0.0,176.8,176.8,0.0,0.0,0.0,26.17,1.0,0.0
4,174.1,58.028,58.028,0.0,0.0,174.1,174.1,0.0,0.0,0.0,26.04,1.0,0.0
5,171.5,57.161,57.161,0.0,0.0,171.5,171.5,0.0,0.0,0.0,25.91,1.0,0.0
6,169.7,56.561,56.561,0.0,0.0,169.7,169.7,0.0,0.0,0.0,25.59,1.0,0.0
7,168.5,56.161,56.161,0.0,0.0,168.5,168.5,0.0,0.0,0.0,25.59,1.0,0.0
8,166.2,55.394,55.394,0.0,0.0,166.2,166.2,0.0,0.0,0.0,25.52,1.0,0.0
9,164.5,54.828,54.828,0.0,0.0,164.5,164.5,0.0,0.0,0.0,25.52,1.0,0.0
10,163.0,54.328,54.328,0.0,0.0,163.0,163.0,0.0,0.0,0.0,25.52,1.0,0.0
11,161.2,53.728,53.728,0.0,0.0,161.2,161.2,0.0,0.0,0.0,25.15,1.0,0.0
12,161.2,53.728,53.728,0.0,0.0,161.2,161.2,0.0,0.0,0.0,25.15,1.0,0.0
13,160.1,301.153,300.0,0.0,1.153,900.09,160.1,739.99,0.0,739.99,25.15,1.0,0.0
14,159.2,301.154,300.0,0.0,1.154,900.09,159.2,740.89,0.0,1480.88,25.15,1.0,0.0
15,158.2,301.156,300.0,0.0,1.156,900.09,158.2,741.89,0.0,2222.77,25.03,1.0,0.0
16,158.8,52.928,52.928,0.0,0.0,158.8,158.8,0.0,0.0,2222.77,25.15,1.0,0.0
17,158.4,52.795,52.795,0.0,0.0,158.4,158.4,0.0,0.0,2222.77,25.15,1.0,0.0
18,158.0,52.661,52.661,0.0,0.0,158.0,158.0,0.0,0.0,2222.77,25.15,1.0,0.0
19,157.8,52.595,52.595,0.0,0.0,157.8,157.8,0.0,0.0,2222.77,25.15,1.0,0.0
20,157.5,10.0,10.0,0.0,0.0,30.003,30.003,0.0,127.497,2095.273,25.52,1.0,0.0
21,155.7,51.895,51.895,0.0,0.0,155.7,155.7,0.0,0.0,2095.273,25.15,1.0,0.0
22,154.4,51.462,51.462,0.0,0.0,154.4,154.4,0.0,0.0,2095.273,25.15,1.0,0.0
23,152.4,186.261,185.63,0.0,0.63,556.947,152.4,404.547,0.0,2499.82,25.15,1.0,0.0
24,150.8,301.167,300.0,0.0,1.167,900.09,150.8,749.29,0.0,3249.11,25.03,1.0,0.0
25,149.2,301.17,300.0,0.0,1.17,900.09,149.2,750.89,0.0,4000.0,25.03,1.0,0.0
26,149.4,49.795,49.795,0.0,0.0,149.4,149.4,0.0,0.0,4000.0,25.15,1.0,0.0
27,149.6,49.862,49.862,0.0,0.0,149.6,149.6,0.0,0.0,4000.0,25.15,1.0,0.0
28,150.2,50.062,50.062,0.0,0.0,150.2,150.2,0.0,0.0,4000.0,25.52,1.0,0.0
29,150.8,50.262,50.262,0.0,0.0,150.8,150.8,0.0,0.0,4000.0,25.52,1.0,0.0
30,151.2,50.395,50.395,0.0,0.0,151.2,151.2,0.0,0.0,4000.0,25.52,1.0,0.0
31,152.1,50.695,50.695,0.0,0.0,152.1,152.1,0.0,0.0,4000.0,25.59,1.0,0.0
32,153.1,51.028,51.028,0.0,0.0,153.1,153.1,0.0,0.0,4000.0,25.91,1.0,0.0
33,153.1,51.028,51.028,0.0,0.0,153.1,153.1,0.0,0.0,4000.0,25.91,1.0,0.0
34,154.5,51.495,51.495,0.0,0.0,154.5,154.5,0.0,0.0,4000.0,25.91,1.0,0.0
35,156.0,51.995,51.995,0.0,0.0,156.0,156.0,0.0,0.0,4000.0,26.04,1.0,0.0
36,159.7,53.228,53.228,0.0,0.0,159.7,159.7,0.0,0.0,4000.0,26.17,1.0,0.0
37,161.8,53.928,53.928,0.0,0.0,161.8,161.8,0.0,0.0,4000.0,26.57,1.0,0.0
38,163.6,54.528,54.528,0.0,0.0,163.6,163.6,0.0,0.0,4000.0,26.57,1.0,0.0
39,166.3,55.428,55.428,0.0,0.0,166.3,166.3,0.0,0.0,4000.0,26.57,1.0,0.0
40,169.3,56.428,56.428,0.0,0.0,169.3,169.3,0.0,0.0,4000.0,26.64,1.0,0.0
41,172.1,57.361,57.361,0.0,0.0,172.1,172.1,0.0,0.0,4000.0,26.71,1.0,0.0
42,175.3,58.427,58.427,0.0,0.0,175.3,175.3,0.0,0.0,4000.0,27.21,1.0,0.0
43,178.4,59.461,59.461,0.0,0.0,178.4,178.4,0.0,0.0,4000.0,27.21,1.0,0.0
44,181.2,60.394,60.394,0.0,0.0,181.2,181.2,0.0,0.0,4000.0,27.87,1.0,0.0
45,184.5,61.494,61.494,0.0,0.0,184.5,184.5,0.0,0.0,4000.0,27.87,1.0,0.0
46,186.8,62.26,62.26,0.0,0.0,186.8,186.8,0.0,0.0,4000.0,28.49,1.0,0.0
47,187.8,62.594,62.594,0.0,0.0,187.8,187.8,0.0,0.0,4000.0,28.49,1.0,0.0
48,188.8,62.927,62.927,0.0,0.0,188.8,188.8,0.0,0.0,4000.0,28.57,1.0,0.0
49,188.8,62.927,62.927,0.0,0.0,188.8,188.8,0.0,0.0,4000.0,28.57,1.0,0.0
50,188.4,62.794,62.794,0.0,0.0,188.4,188.4,0.0,0.0,4000.0,28.57,1.0,0.0
51,188.0,62.66,62.66,0.0,0.0,188.0,188.0,0.0,0.0,4000.0,28.57,1.0,0.0
52,186.9,62.294,62.294,0.0,0.0,186.9,186.9,0.0,0.0,4000.0,28.57,1.0,0.0
53,185.5,61.827,61.827,0.0,0.0,185.5,185.5,0.0,0.0,4000.0,28.57,1.0,0.0
54,185.3,61.76,61.76,0.0,0.0,185.3,185.3,0.0,0.0,4000.0,29.17,1.0,0.0
55,184.7,61.561,61.561,0.0,0.0,184.7,184.7,0.0,0.0,4000.0,29.17,1.0,0.0
56,184.8,61.594,61.594,0.0,0.0,184.8,184.8,0.0,0.0,4000.0,29.17,1.0,0.0
57,183.9,61.294,61.294,0.0,0.0,183.9,183.9,0.0,0.0,4000.0,29.54,1.0,0.0
58,183.5,61.161,61.161,0.0,0.0,183.5,183.5,0.0,0.0,4000.0,29.54,1.0,0.0
59,182.8,60.927,60.927,0.0,0.0,182.8,182.8,0.0,0.0,4000.0,29.54,1.0,0.0
60,184.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,154.897,3845.103,29.85,1.0,0.0
61,185.5,10.0,10.0,0.0,0.0,30.003,30.003,0.0,155.497,3689.606,29.85,1.0,0.0
62,186.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,156.097,3533.509,29.85,1.0,0.0
63,186.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,156.697,3376.812,29.85,1.0,0.0
64,189.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,159.797,3217.015,29.98,1.0,0.0
65,193.6,10.0,10.0,0.0,0.0,30.003,30.003,0.0,163.597,3053.418,29.98,1.0,0.0
66,198.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,168.697,2884.721,29.98,1.0,0.0
67,203.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,173.697,2711.024,30.76,1.0,0.0
68,208.0,10.0,10.0,0.0,0.0,30.003,30.003,0.0,177.997,2533.027,31.58,1.0,0.0
69,210.3,10.0,10.0,0.0,0.0,30.003,30.003,0.0,180.297,2352.73,31.58,1.0,0.0
70,212.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,182.197,2170.533,32.16,1.0,0.0
71,212.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,182.797,1987.736,32.16,1.0,0.0
72,214.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,184.197,1803.539,32.16,1.0,0.0
73,213.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,183.697,1619.842,31.58,1.0,0.0
74,213.9,10.0,10.0,0.0,0.0,30.003,30.003,0.0,183.897,1435.945,31.58,1.0,0.0
75,211.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,181.797,1254.148,30.76,1.0,0.0
76,211.7,10.0,10.0,0.0,0.0,30.003,30.003,0.0,181.697,1072.451,30.76,1.0,0.0
77,209.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,179.097,893.354,29.98,1.0,0.0
78,207.5,10.0,10.0,0.0,0.0,30.003,30.003,0.0,177.497,715.857,29.98,1.0,0.0
79,204.6,10.0,10.0,0.0,0.0,30.003,30.003,0.0,174.597,541.26,29.98,1.0,0.0
80,204.2,10.0,10.0,0.0,0.0,30.003,30.003,0.0,174.197,367.063,29.98,1.0,0.0
81,201.4,10.0,10.0,0.0,0.0,30.003,30.003,0.0,171.397,195.666,29.85,1.0,0.0
82,198.1,10.0,10.0,0.0,0.0,30.003,30.003,0.0,168.097,27.569,29.56,1.0,0.0
83,196.1,56.171,56.171,0.0,0.0,168.531,168.531,0.0,27.569,0.0,29.54,1.0,0.0
84,195.9,65.293,65.293,0.0,0.0,195.9,195.9,0.0,0.0,0.0,29.17,1.0,0.0
85,195.2,65.06,65.06,0.0,0.0,195.2,195.2,0.0,0.0,0.0,29.17,1.0,0.0
86,193.9,64.627,64.627,0.0,0.0,193.9,193.9,0.0,0.0,0.0,29.17,1.0,0.0
87,193.6,120.38,120.12,0.0,0.26,360.397,193.6,166.797,0.0,166.797,28.57,1.0,0.0
88,196.8,10.0,10.0,0.0,0.0,30.003,30.003,0.0,166.797,0.0,29.17,1.0,0.0
89,194.4,64.794,64.794,0.0,0.0,194.4,194.4,0.0,0.0,0.0,28.57,1.0,0.0
90,191.4,63.794,63.794,0.0,0.0,191.4,191.4,0.0,0.0,0.0,28.49,1.0,0.0
91,188.8,62.927,62.927,0.0,0.0,188.8,188.8,0.0,0.0,0.0,27.87,1.0,0.0
92,184.8,61.594,61.594,0.0,0.0,184.8,184.8,0.0,0.0,0.0,27.21,1.0,0.0
93,181.2,60.394,60.394,0.0,0.0,181.2,181.2,0.0,0.0,0.0,27.21,1.0,0.0
94,177.5,59.161,59.161,0.0,0.0,177.5,177.5,0.0,0.0,0.0,26.64,1.0,0.0
95,174.5,58.161,58.161,0.0,0.0,174.5,174.5,0.0,0.0,0.0,26.57,1.0,0.0
96,171.1,57.028,57.028,0.0,0.0,171.1,171.1,0.0,0.0,0.0,26.17,1.0,0.0
97,166.9,55.628,55.628,0.0,0.0,166.9,166.9,0.0,0.0,0.0,25.91,1.0,0.0
98,165.1,55.028,55.028,0.0,0.0,165.1,165.1,0.0,0.0,0.0,25.52,1.0,0.0
99,162.9,54.295,54.295,0.0,0.0,162.9,162.9,0.0,0.0,0.0,25.52,1.0,0.0
100,161.3,53.761,53.761,0.0,0.0,161.3,161.3,0.0,0.0,0.0,25.15,1.0,0.0
101,158.8,52.928,52.928,0.0,0.0,158.8,158.8,0.0,0.0,0.0,24.62,1.0,0.0
102,158.1,52.695,52.695,0.0,0.0,158.1,158.1,0.0,0.0,0.0,23.94,1.0,0.0
103,157.3,52.428,52.428,0.0,0.0,157.3,157.3,0.0,0.0,0.0,23.89,1.0,0.0
104,156.1,52.028,52.028,0.0,0.0,156.1,156.1,0.0,0.0,0.0,23.78,1.0,0.0
105,155.4,51.795,51.795,0.0,0.0,155.4,155.4,0.0,0.0,0.0,23.78,1.0,0.0
106,154.8,51.595,51.595,0.0,0.0,154.8,154.8,0.0,0.0,0.0,23.78,1.0,0.0
107,154.6,51.528,51.528,0.0,0.0,154.6,154.6,0.0,0.0,0.0,23.51,1.0,0.0
108,154.6,51.528,51.528,0.0,0.0,154.6,154.6,0.0,0.0,0.0,23.51,1.0,0.0
109,154.3,51.428,51.428,0.0,0.0,154.3,154.3,0.0,0.0,0.0,23.51,1.0,0.0
110,154.2,51.395,51.395,0.0,0.0,154.2,154.2,0.0,0.0,0.0,23.51,1.0,0.0
