,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,all_isRunning,isIdle,isStandBy,isColdStarted,isHotStarted
0,180.2,34.32,0.0,34.32,0.0,180.2,180.2,0.0,0.0,0.0,45.53,1.0,0.0,0.0,0.0,0.0
1,179.1,34.111,0.0,34.111,0.0,179.1,179.1,0.0,0.0,0.0,26.13,1.0,0.0,0.0,0.0,0.0
2,178.0,57.768,0.0,57.574,0.194,302.295,178.0,124.295,0.0,124.295,24.97,1.0,0.0,0.0,0.0,0.0
3,176.8,10.0,0.0,10.0,0.0,52.505,52.505,0.0,124.295,0.0,27.13,1.0,0.0,0.0,0.0,0.0
4,174.1,56.007,0.0,55.822,0.185,293.095,174.1,118.995,0.0,118.995,24.31,1.0,0.0,0.0,0.0,0.0
5,171.5,10.0,0.0,10.0,0.0,52.505,52.505,0.0,118.995,0.0,25.0,1.0,0.0,0.0,0.0,0.0
6,169.7,54.152,0.0,53.975,0.177,283.395,169.7,113.695,0.0,113.695,23.72,1.0,0.0,0.0,0.0,0.0
7,168.5,32.092,0.0,32.092,0.0,168.5,168.5,0.0,0.0,113.695,23.73,1.0,0.0,0.0,0.0,0.0
8,166.2,10.0,0.0,10.0,0.0,52.505,52.505,0.0,113.695,0.0,24.27,1.0,0.0,0.0,0.0,0.0
9,164.5,31.33,0.0,31.33,0.0,164.5,164.5,0.0,0.0,0.0,23.68,1.0,0.0,0.0,0.0,0.0
10,163.0,31.045,0.0,31.045,0.0,163.0,163.0,0.0,0.0,0.0,23.68,1.0,0.0,0.0,0.0,0.0
11,161.2,30.702,0.0,30.702,0.0,161.2,161.2,0.0,0.0,0.0,23.68,1.0,0.0,0.0,0.0,0.0
12,161.2,30.702,0.0,30.702,0.0,161.2,161.2,0.0,0.0,0.0,23.68,1.0,0.0,0.0,0.0,0.0
13,160.1,71.274,0.0,70.943,0.331,372.489,160.1,212.389,0.0,212.389,23.32,1.0,0.0,0.0,0.0,0.0
14,159.2,10.0,0.0,10.0,0.0,52.505,52.505,0.0,106.695,105.695,23.66,1.0,0.0,0.0,0.0,0.0
15,158.2,10.0,0.0,10.0,0.0,52.505,52.505,0.0,105.695,0.0,23.68,1.0,0.0,0.0,0.0,0.0
16,158.8,30.245,0.0,30.245,0.0,158.8,158.8,0.0,0.0,0.0,23.32,1.0,0.0,0.0,0.0,0.0
17,158.4,30.168,0.0,30.168,0.0,158.4,158.4,0.0,0.0,0.0,23.21,1.0,0.0,0.0,0.0,0.0
18,158.0,30.092,0.0,30.092,0.0,158.0,158.0,0.0,0.0,0.0,22.16,1.0,0.0,0.0,0.0,0.0
19,157.8,127.584,0.0,126.793,0.791,665.729,157.8,507.929,0.0,507.929,22.16,1.0,0.0,0.0,0.0,0.0
20,157.5,10.0,0.0,10.0,0.0,52.505,52.505,0.0,104.995,402.934,23.68,1.0,0.0,0.0,0.0,0.0
21,155.7,503.848,0.0,500.0,3.848,2625.263,155.7,2469.563,0.0,2872.497,22.0,1.0,0.0,0.0,0.0,0.0
22,154.4,10.0,0.0,10.0,0.0,52.505,52.505,0.0,101.895,2770.602,23.66,1.0,0.0,0.0,0.0,0.0
23,152.4,503.853,0.0,500.0,3.853,2625.263,152.4,2472.863,0.0,5243.464,20.58,1.0,0.0,0.0,0.0,0.0
24,150.8,10.0,0.0,10.0,0.0,52.505,52.505,0.0,98.295,5145.17,23.73,1.0,0.0,0.0,0.0,0.0
25,149.2,503.858,0.0,500.0,3.858,2625.263,149.2,2476.063,0.0,7621.232,19.39,1.0,0.0,0.0,0.0,0.0
26,149.4,10.0,0.0,10.0,0.0,52.505,52.505,0.0,96.895,7524.337,23.84,1.0,0.0,0.0,0.0,0.0
27,149.6,503.857,0.0,500.0,3.857,2625.263,149.6,2475.663,0.0,10000.0,21.76,1.0,0.0,0.0,0.0,0.0
28,150.2,28.607,0.0,28.607,0.0,150.2,150.2,0.0,0.0,10000.0,23.84,1.0,0.0,0.0,0.0,0.0
29,150.8,28.721,0.0,28.721,0.0,150.8,150.8,0.0,0.0,10000.0,23.68,1.0,0.0,0.0,0.0,0.0
30,151.2,28.797,0.0,28.797,0.0,151.2,151.2,0.0,0.0,10000.0,23.84,1.0,0.0,0.0,0.0,0.0
31,152.1,28.969,0.0,28.969,0.0,152.1,152.1,0.0,0.0,10000.0,23.78,1.0,0.0,0.0,0.0,0.0
32,153.1,10.0,0.0,10.0,0.0,52.505,52.505,0.0,100.595,9899.405,24.27,1.0,0.0,0.0,0.0,0.0
33,153.1,48.475,0.0,48.318,0.157,253.695,153.1,100.595,0.0,10000.0,23.81,1.0,0.0,0.0,0.0,0.0
34,154.5,10.0,0.0,10.0,0.0,52.505,52.505,0.0,101.995,9898.005,24.53,1.0,0.0,0.0,0.0,0.0
35,156.0,49.296,0.0,49.137,0.159,257.995,156.0,101.995,0.0,10000.0,23.81,1.0,0.0,0.0,0.0,0.0
36,159.7,30.416,0.0,30.416,0.0,159.7,159.7,0.0,0.0,10000.0,24.65,1.0,0.0,0.0,0.0,0.0
37,161.8,30.816,0.0,30.816,0.0,161.8,161.8,0.0,0.0,10000.0,24.53,1.0,0.0,0.0,0.0,0.0
38,163.6,31.159,0.0,31.159,0.0,163.6,163.6,0.0,0.0,10000.0,24.65,1.0,0.0,0.0,0.0,0.0
39,166.3,10.075,0.0,10.075,0.0,52.9,52.9,0.0,113.4,9886.6,24.87,1.0,0.0,0.0,0.0,0.0
40,169.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.3,9717.3,24.92,0.0,1.0,0.0,0.0,0.0
41,172.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.1,9545.2,25.18,0.0,1.0,0.0,0.0,0.0
42,175.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.3,9369.9,25.18,0.0,1.0,0.0,0.0,0.0
43,178.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.4,9191.5,26.76,0.0,1.0,0.0,0.0,0.0
44,181.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.2,9010.3,27.0,0.0,1.0,0.0,0.0,0.0
45,184.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.5,8825.8,27.54,0.0,1.0,0.0,0.0,0.0
46,186.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.8,8639.0,25.3,0.0,1.0,0.0,0.0,0.0
47,187.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.8,8451.2,27.57,0.0,1.0,0.0,0.0,0.0
48,188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.8,8262.4,26.13,0.0,1.0,0.0,0.0,0.0
49,188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.8,8073.6,27.57,0.0,1.0,0.0,0.0,0.0
50,188.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.4,7885.2,26.5,0.0,1.0,0.0,0.0,0.0
51,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,7697.2,26.13,0.0,1.0,0.0,0.0,0.0
52,186.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.9,7510.3,25.18,0.0,1.0,0.0,0.0,0.0
53,185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.5,7324.8,25.3,0.0,1.0,0.0,0.0,0.0
54,185.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.3,7139.5,25.3,0.0,1.0,0.0,0.0,0.0
55,184.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.7,6954.8,25.18,0.0,1.0,0.0,0.0,0.0
56,184.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.8,6770.0,26.77,0.0,1.0,0.0,0.0,0.0
57,183.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.9,6586.1,25.12,0.0,1.0,0.0,0.0,0.0
58,183.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.5,6402.6,27.13,0.0,1.0,0.0,0.0,0.0
59,182.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.8,6219.8,25.3,0.0,1.0,0.0,0.0,0.0
60,184.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.9,6034.9,27.56,0.0,1.0,0.0,0.0,0.0
61,185.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.5,5849.4,27.56,0.0,1.0,0.0,0.0,0.0
62,186.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.1,5663.3,27.83,0.0,1.0,0.0,0.0,0.0
63,186.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.7,5476.6,27.92,0.0,1.0,0.0,0.0,0.0
64,189.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.8,5286.8,27.99,0.0,1.0,0.0,0.0,0.0
65,193.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.6,5093.2,28.23,0.0,1.0,0.0,0.0,0.0
66,198.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.7,4894.5,29.51,0.0,1.0,0.0,0.0,0.0
67,203.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.7,4690.8,29.75,0.0,1.0,0.0,0.0,0.0
68,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,4482.8,32.08,0.0,1.0,0.0,0.0,0.0
69,210.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.3,4272.5,29.69,0.0,1.0,0.0,0.0,0.0
70,212.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.2,4060.3,31.56,0.0,1.0,0.0,0.0,0.0
71,212.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.8,3847.5,30.97,0.0,1.0,0.0,0.0,0.0
72,214.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.2,3633.3,30.8,0.0,1.0,0.0,0.0,0.0
73,213.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.7,3419.6,29.46,0.0,1.0,0.0,0.0,0.0
74,213.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.9,3205.7,29.73,0.0,1.0,0.0,0.0,0.0
75,211.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.8,2993.9,28.23,0.0,1.0,0.0,0.0,0.0
76,211.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.7,2782.2,29.49,0.0,1.0,0.0,0.0,0.0
77,209.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.1,2573.1,27.86,0.0,1.0,0.0,0.0,0.0
78,207.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.5,2365.6,28.23,0.0,1.0,0.0,0.0,0.0
79,204.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.6,2161.0,25.53,0.0,1.0,0.0,0.0,0.0
80,204.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.2,1956.8,28.23,0.0,1.0,0.0,0.0,0.0
81,201.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.4,1755.4,24.92,0.0,1.0,0.0,0.0,0.0
82,198.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.1,1557.3,27.81,0.0,1.0,0.0,0.0,0.0
83,196.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.1,1361.2,24.73,0.0,1.0,0.0,0.0,0.0
84,195.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.9,1165.3,27.61,0.0,1.0,0.0,0.0,0.0
85,195.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.2,970.1,24.63,0.0,1.0,0.0,0.0,0.0
86,193.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.9,776.2,27.0,0.0,1.0,0.0,0.0,0.0
