industry_demand,allBidQuantity,allCurrentSOC,price
18.02,36.04,18.02,45.53
17.91,17.8,17.91,26.13
17.8,35.25,35.36,24.97
17.68,0.0,17.68,27.13
17.41,34.029999999999994,34.3,24.31
17.15,0.0,17.15,25.0
16.97,49.910000000000004,50.09,23.72
16.85,0.0,33.24,23.73
16.62,0.0,16.62,24.27
16.45,16.279999999999998,16.45,23.68
16.3,49.069999999999794,49.2199999999998,23.68
16.12,100.0,133.0999999999998,23.68
16.12,100.0,216.9799999999998,23.68
16.01,100.0,300.9699999999998,23.32
15.92,100.0,385.0499999999998,23.66
15.82,100.0,469.2299999999998,23.68
15.88,100.0,553.3499999999998,23.32
15.84,100.0,637.5099999999998,23.21
15.8,100.0,721.7099999999998,22.16
15.78,100.0,805.9299999999998,22.16
15.75,100.0,890.1799999999998,23.68
15.57,100.0,974.6099999999999,22.0
15.44,100.0,1059.1699999999998,23.66
15.24,100.0,1143.9299999999998,20.58
15.08,0.0,1128.85,23.73
14.92,100.0,1213.9299999999998,19.39
14.94,0.0,1198.9899999999998,23.84
14.96,100.0,1284.0299999999997,21.76
15.02,0.0,1269.0099999999998,23.84
15.08,0.0,1253.9299999999998,23.68
15.12,0.0,1238.81,23.84
15.21,0.0,1223.6,23.78
15.31,0.0,1208.29,24.27
15.31,0.0,1192.98,23.81
15.45,0.0,1177.53,24.53
15.6,0.0,1161.93,23.81
15.97,0.0,1145.96,24.65
16.18,0.0,1129.78,24.53
16.36,0.0,1113.42,24.65
16.63,0.0,1096.79,24.87
16.93,0.0,1079.86,24.92
17.21,0.0,1062.6499999999999,25.18
17.53,0.0,1045.12,25.18
17.84,0.0,1027.28,26.76
18.12,0.0,1009.16,27.0
18.45,0.0,990.7099999999999,27.54
18.68,0.0,972.03,25.3
18.78,0.0,953.25,27.57
18.88,0.0,934.37,26.13
18.88,0.0,915.49,27.57
18.84,0.0,896.65,26.5
18.8,0.0,877.85,26.13
18.69,0.0,859.16,25.18
18.55,0.0,840.61,25.3
18.53,0.0,822.08,25.3
18.47,0.0,803.61,25.18
18.48,0.0,785.13,26.77
18.39,0.0,766.74,25.12
18.35,0.0,748.39,27.13
18.28,0.0,730.11,25.3
18.49,0.0,711.62,27.56
18.55,0.0,693.07,27.56
18.61,0.0,674.46,27.83
18.67,0.0,655.7900000000001,27.92
18.98,0.0,636.8100000000001,27.99
19.36,0.0,617.45,28.23
19.87,0.0,597.58,29.51
20.37,0.0,577.21,29.75
20.8,0.0,556.4100000000001,32.08
21.03,0.0,535.3800000000001,29.69
21.22,0.0,514.1600000000001,31.56
21.28,0.0,492.88000000000005,30.97
21.42,0.0,471.46000000000004,30.8
21.37,0.0,450.09000000000003,29.46
21.39,0.0,428.70000000000005,29.73
21.18,0.0,407.52000000000004,28.23
21.17,0.0,386.35,29.49
20.91,0.0,365.44,27.86
20.75,0.0,344.69,28.23
20.46,0.0,324.23,25.53
20.42,0.0,303.81,28.23
20.14,0.0,283.67,24.92
19.81,0.0,263.86,27.81
19.61,0.0,244.25,24.73
19.59,0.0,224.66,27.61
19.52,0.0,205.14,24.63
19.39,0.0,185.75,27.0
19.36,0.0,166.39000000000001,24.56
19.68,0.0,146.71,27.92
19.44,0.0,127.27,24.63
19.14,0.0,108.13,25.3
18.88,0.0,89.25,24.53
18.48,0.0,70.77,25.12
18.12,0.0,52.65,23.84
17.75,0.0,34.9,24.56
17.45,0.0,17.45,23.81
17.11,34.22,17.11,24.53
16.69,32.60000000000001,33.02,21.91
16.51,0.0,16.51,23.84
16.29,100.0,100.22000000000001,21.74
16.13,0.0,84.09000000000002,23.72
15.88,100.0,168.21000000000004,19.52
15.81,0.0,152.40000000000003,23.68
15.73,100.0,236.67000000000002,19.39
15.61,0.0,221.06,22.16
15.54,100.0,305.52,19.33
15.48,0.0,290.03999999999996,22.11
15.46,100.0,374.5799999999999,19.28
15.46,0.0,359.11999999999995,22.06
15.43,100.0,443.68999999999994,19.11
15.42,0.0,428.2699999999999,21.8
15.48,100.0,512.79,17.91
15.61,100.0,597.18,17.91
15.66,100.0,681.52,17.91
15.74,100.0,765.78,17.89
15.83,100.0,849.9499999999999,17.89
15.96,0.0,833.9899999999999,21.8
15.96,100.0,918.0299999999999,16.13
16.06,58.80000000000007,960.77,21.74
16.18,100.0,1044.59,21.72
16.28,100.0,1128.31,17.19
16.33,100.0,1211.98,15.94
16.51,0.0,1195.47,21.8
16.8,100.0,1278.67,21.72
17.23,0.0,1261.44,23.21
17.49,0.0,1243.95,21.76
17.81,0.0,1226.14,23.32
18.33,0.0,1207.8100000000002,23.84
18.77,0.0,1189.0400000000002,23.81
19.15,0.0,1169.89,24.56
19.41,0.0,1150.48,23.84
19.84,0.0,1130.64,24.75
20.4,0.0,1110.24,24.87
20.73,0.0,1089.51,24.65
21.12,0.0,1068.39,25.18
21.39,0.0,1047.0,24.73
21.74,0.0,1025.26,24.87
21.87,0.0,1003.39,24.65
22.03,0.0,981.36,24.87
22.15,0.0,959.21,24.56
22.41,0.0,936.8000000000001,25.18
22.65,0.0,914.1500000000001,24.65
22.89,0.0,891.2600000000001,25.3
22.98,0.0,868.2800000000001,24.92
22.98,0.0,845.3000000000001,25.3
22.96,0.0,822.34,25.07
23.03,0.0,799.3100000000001,25.12
22.89,0.0,776.4200000000001,24.53
22.79,0.0,753.6300000000001,25.0
22.64,0.0,730.9900000000001,24.42
22.57,0.0,708.4200000000001,24.65
22.48,0.0,685.94,24.32
22.49,0.0,663.45,24.56
22.47,0.0,640.98,24.32
22.38,0.0,618.6,24.56
22.32,0.0,596.28,23.84
22.44,0.0,573.8399999999999,24.92
22.44,0.0,551.3999999999999,24.27
22.48,0.0,528.9199999999998,25.0
22.53,0.0,506.3899999999999,23.92
