industry_demand,allBidQuantity,allCurrentSOC,price
18.02,36.04,18.02,45.53
17.91,17.8,17.91,26.13
17.8,35.25,35.36,24.97
17.68,0.0,17.68,27.13
17.41,34.029999999999994,34.3,24.31
17.15,0.0,17.15,25.0
16.97,49.910000000000004,50.09,23.72
16.85,0.0,33.24,23.73
16.62,0.0,16.62,24.27
16.45,16.279999999999998,16.45,23.68
16.3,65.83999999999955,65.98999999999955,23.68
16.12,100.0,149.86999999999955,23.68
16.12,100.0,233.74999999999955,23.68
16.01,100.0,317.73999999999955,23.32
15.92,100.0,401.81999999999954,23.66
15.82,100.0,485.99999999999955,23.68
15.88,100.0,570.1199999999995,23.32
15.84,100.0,654.2799999999995,23.21
15.8,100.0,738.4799999999996,22.16
15.78,100.0,822.6999999999996,22.16
15.75,100.0,906.9499999999996,23.68
15.57,100.0,991.3799999999997,22.0
15.44,100.0,1075.9399999999996,23.66
15.24,100.0,1160.6999999999996,20.58
15.08,0.0,1145.6199999999997,23.73
14.92,100.0,1230.6999999999996,19.39
14.94,0.0,1215.7599999999995,23.84
14.96,100.0,1300.7999999999995,21.76
15.02,0.0,1285.7799999999995,23.84
15.08,0.0,1270.6999999999996,23.68
15.12,0.0,1255.5799999999997,23.84
15.21,0.0,1240.3699999999997,23.78
15.31,0.0,1225.0599999999997,24.27
15.31,0.0,1209.7499999999998,23.81
15.45,0.0,1194.2999999999997,24.53
15.6,0.0,1178.6999999999998,23.81
15.97,0.0,1162.7299999999998,24.65
16.18,0.0,1146.5499999999997,24.53
16.36,0.0,1130.1899999999998,24.65
16.63,0.0,1113.5599999999997,24.87
16.93,0.0,1096.6299999999997,24.92
17.21,0.0,1079.4199999999996,25.18
17.53,0.0,1061.8899999999996,25.18
17.84,0.0,1044.0499999999997,26.76
18.12,0.0,1025.9299999999998,27.0
18.45,0.0,1007.4799999999999,27.54
18.68,0.0,988.8,25.3
18.78,0.0,970.02,27.57
18.88,0.0,951.14,26.13
18.88,0.0,932.26,27.57
18.84,0.0,913.42,26.5
18.8,0.0,894.62,26.13
18.69,0.0,875.93,25.18
18.55,0.0,857.38,25.3
18.53,0.0,838.85,25.3
18.47,0.0,820.38,25.18
18.48,0.0,801.9,26.77
18.39,0.0,783.51,25.12
18.35,0.0,765.16,27.13
18.28,0.0,746.88,25.3
18.49,0.0,728.39,27.56
18.55,0.0,709.84,27.56
18.61,0.0,691.23,27.83
18.67,0.0,672.5600000000001,27.92
18.98,0.0,653.58,27.99
19.36,0.0,634.22,28.23
19.87,0.0,614.35,29.51
20.37,0.0,593.98,29.75
20.8,0.0,573.1800000000001,32.08
21.03,0.0,552.1500000000001,29.69
21.22,0.0,530.9300000000001,31.56
21.28,0.0,509.6500000000001,30.97
21.42,0.0,488.2300000000001,30.8
21.37,0.0,466.86000000000007,29.46
21.39,0.0,445.4700000000001,29.73
21.18,0.0,424.2900000000001,28.23
21.17,0.0,403.12000000000006,29.49
20.91,0.0,382.21000000000004,27.86
20.75,0.0,361.46000000000004,28.23
20.46,0.0,341.00000000000006,25.53
20.42,0.0,320.58000000000004,28.23
20.14,0.0,300.44000000000005,24.92
19.81,0.0,280.63000000000005,27.81
19.61,0.0,261.02000000000004,24.73
19.59,0.0,241.43000000000004,27.61
19.52,0.0,221.91000000000003,24.63
19.39,0.0,202.52000000000004,27.0
19.36,0.0,183.16000000000003,24.56
19.68,0.0,163.48000000000002,27.92
19.44,0.0,144.04000000000002,24.63
19.14,0.0,124.9,25.3
18.88,0.0,106.02000000000001,24.53
18.48,0.0,87.54,25.12
18.12,0.0,69.42,23.84
17.75,0.0,51.67,24.56
17.45,0.0,34.22,23.81
17.11,0.0,17.11,24.53
16.69,32.60000000000001,33.02,21.91
16.51,0.0,16.51,23.84
16.29,58.800000000000026,59.020000000000024,21.74
16.13,0.0,42.89000000000003,23.72
15.88,100.0,127.01000000000003,19.52
15.81,0.0,111.20000000000003,23.68
15.73,100.0,195.47000000000003,19.39
15.61,0.0,179.86000000000004,22.16
15.54,100.0,264.32000000000005,19.33
15.48,0.0,248.84000000000006,22.11
15.46,100.0,333.38000000000005,19.28
15.46,0.0,317.9200000000001,22.06
15.43,100.0,402.49000000000007,19.11
15.42,0.0,387.07000000000005,21.8
15.48,100.0,471.59000000000003,17.91
15.61,100.0,555.98,17.91
15.66,100.0,640.32,17.91
15.74,100.0,724.58,17.89
15.83,100.0,808.75,17.89
15.96,0.0,792.79,21.8
15.96,100.0,876.8299999999999,16.13
16.06,100.0,960.77,21.74
16.18,100.0,1044.59,21.72
16.28,100.0,1128.31,17.19
16.33,100.0,1211.98,15.94
16.51,0.0,1195.47,21.8
16.8,100.0,1278.67,21.72
17.23,0.0,1261.44,23.21
17.49,0.0,1243.95,21.76
17.81,0.0,1226.14,23.32
18.33,0.0,1207.8100000000002,23.84
18.77,0.0,1189.0400000000002,23.81
19.15,0.0,1169.89,24.56
19.41,0.0,1150.48,23.84
19.84,0.0,1130.64,24.75
20.4,0.0,1110.24,24.87
20.73,0.0,1089.51,24.65
21.12,0.0,1068.39,25.18
21.39,0.0,1047.0,24.73
21.74,0.0,1025.26,24.87
21.87,0.0,1003.39,24.65
22.03,0.0,981.36,24.87
22.15,0.0,959.21,24.56
22.41,0.0,936.8000000000001,25.18
22.65,0.0,914.1500000000001,24.65
22.89,0.0,891.2600000000001,25.3
22.98,0.0,868.2800000000001,24.92
22.98,0.0,845.3000000000001,25.3
22.96,0.0,822.34,25.07
23.03,0.0,799.3100000000001,25.12
22.89,0.0,776.4200000000001,24.53
22.79,0.0,753.6300000000001,25.0
22.64,0.0,730.9900000000001,24.42
22.57,0.0,708.4200000000001,24.65
22.48,0.0,685.94,24.32
22.49,0.0,663.45,24.56
