,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isIdle,isStandBy,isColdStarted
0,48084.11,10175.514,0.0,10175.514,0.0,48084.11,48084.11,0.0,0.0,0.0,49.11689655172414,1.0,0.0,0.0,0.0
1,48034.88,10165.096,0.0,10165.096,0.0,48034.88,48034.88,0.0,0.0,0.0,45.64,1.0,0.0,0.0,0.0
2,48104.89,10179.911,0.0,10179.911,0.0,48104.89,48104.89,0.0,0.0,0.0,44.61,1.0,0.0,0.0,0.0
3,48076.33,10173.867,0.0,10173.867,0.0,48076.33,48076.33,0.0,0.0,0.0,44.61,1.0,0.0,0.0,0.0
4,48420.37,10246.673,0.0,10246.673,0.0,48420.37,48420.37,0.0,0.0,0.0,44.5,1.0,0.0,0.0,0.0
5,48169.34,10193.55,0.0,10193.55,0.0,48169.34,48169.34,0.0,0.0,0.0,43.64,1.0,0.0,0.0,0.0
6,48253.67,10211.396,0.0,10211.396,0.0,48253.67,48253.67,0.0,0.0,0.0,43.3919540229885,1.0,0.0,0.0,0.0
7,48294.95,10220.131,0.0,10220.131,0.0,48294.95,48294.95,0.0,0.0,0.0,42.574375,1.0,0.0,0.0,0.0
8,48015.91,10161.081,0.0,10161.081,0.0,48015.91,48015.91,0.0,0.0,0.0,38.91,1.0,0.0,0.0,0.0
9,48195.14,10199.01,0.0,10199.01,0.0,48195.14,48195.14,0.0,0.0,0.0,58.24861111111111,1.0,0.0,0.0,0.0
10,48220.64,10204.406,0.0,10204.406,0.0,48220.64,48220.64,0.0,0.0,0.0,37.53142857142857,1.0,0.0,0.0,0.0
11,48120.25,10183.161,0.0,10183.161,0.0,48120.25,48120.25,0.0,0.0,0.0,60.06,1.0,0.0,0.0,0.0
12,48123.04,10183.752,0.0,10183.752,0.0,48123.04,48123.04,0.0,0.0,0.0,55.24020833333333,1.0,0.0,0.0,0.0
13,48042.88,10166.789,0.0,10166.789,0.0,48042.88,48042.88,0.0,0.0,0.0,54.10916666666667,1.0,0.0,0.0,0.0
14,48072.05,10172.961,0.0,10172.961,0.0,48072.05,48072.05,0.0,0.0,0.0,52.712,1.0,0.0,0.0,0.0
15,47900.74,10136.709,0.0,10136.709,0.0,47900.74,47900.74,0.0,0.0,0.0,50.8904,1.0,0.0,0.0,0.0
16,48082.33,10175.137,0.0,10175.137,0.0,48082.33,48082.33,0.0,0.0,0.0,49.192,1.0,0.0,0.0,0.0
17,48118.6,10182.812,0.0,10182.812,0.0,48118.6,48118.6,0.0,0.0,0.0,48.0216,1.0,0.0,0.0,0.0
18,48188.59,10197.624,0.0,10197.624,0.0,48188.59,48188.59,0.0,0.0,0.0,47.5816,1.0,0.0,0.0,0.0
19,48105.09,10179.953,0.0,10179.953,0.0,48105.09,48105.09,0.0,0.0,0.0,34.86,1.0,0.0,0.0,0.0
20,48033.62,10164.829,0.0,10164.829,0.0,48033.62,48033.62,0.0,0.0,0.0,34.78050420168067,1.0,0.0,0.0,0.0
21,48166.55,10192.959,0.0,10192.959,0.0,48166.55,48166.55,0.0,0.0,0.0,34.87,1.0,0.0,0.0,0.0
22,48250.87,10210.803,0.0,10210.803,0.0,48250.87,48250.87,0.0,0.0,0.0,34.67,1.0,0.0,0.0,0.0
23,48065.01,10171.472,0.0,10171.472,0.0,48065.01,48065.01,0.0,0.0,0.0,34.67,1.0,0.0,0.0,0.0
24,48031.34,10164.346,0.0,10164.346,0.0,48031.34,48031.34,0.0,0.0,0.0,47.9512,1.0,0.0,0.0,0.0
25,48177.54,10195.285,0.0,10195.285,0.0,48177.54,48177.54,0.0,0.0,0.0,48.84,1.0,0.0,0.0,0.0
26,48160.54,10191.688,0.0,10191.688,0.0,48160.54,48160.54,0.0,0.0,0.0,47.8808,1.0,0.0,0.0,0.0
27,48132.69,10185.794,0.0,10185.794,0.0,48132.69,48132.69,0.0,0.0,0.0,47.2472,1.0,0.0,0.0,0.0
28,48148.62,10189.165,0.0,10189.165,0.0,48148.62,48148.62,0.0,0.0,0.0,48.7256,1.0,0.0,0.0,0.0
29,48164.46,10192.517,0.0,10192.517,0.0,48164.46,48164.46,0.0,0.0,0.0,48.6904,1.0,0.0,0.0,0.0
30,48223.02,10204.91,0.0,10204.91,0.0,48223.02,48223.02,0.0,0.0,0.0,47.7224,1.0,0.0,0.0,0.0
31,48175.65,10194.885,0.0,10194.885,0.0,48175.65,48175.65,0.0,0.0,0.0,48.6112,1.0,0.0,0.0,0.0
32,48133.35,10185.934,0.0,10185.934,0.0,48133.35,48133.35,0.0,0.0,0.0,47.11,1.0,0.0,0.0,0.0
33,48311.32,10223.596,0.0,10223.596,0.0,48311.32,48311.32,0.0,0.0,0.0,47.34,1.0,0.0,0.0,0.0
34,48153.83,10190.268,0.0,10190.268,0.0,48153.83,48153.83,0.0,0.0,0.0,47.0536,1.0,0.0,0.0,0.0
35,48302.47,10221.723,0.0,10221.723,0.0,48302.47,48302.47,0.0,0.0,0.0,47.3,1.0,0.0,0.0,0.0
36,48201.5,10200.356,0.0,10200.356,0.0,48201.5,48201.5,0.0,0.0,0.0,47.62,1.0,0.0,0.0,0.0
37,47947.57,10146.619,0.0,10146.619,0.0,47947.57,47947.57,0.0,0.0,0.0,37.06,1.0,0.0,0.0,0.0
38,48094.72,10177.759,0.0,10177.759,0.0,48094.72,48094.72,0.0,0.0,0.0,39.0896,1.0,0.0,0.0,0.0
39,48316.53,10224.698,0.0,10224.698,0.0,48316.53,48316.53,0.0,0.0,0.0,40.119200000000006,1.0,0.0,0.0,0.0
40,48139.13,10187.157,0.0,10187.157,0.0,48139.13,48139.13,0.0,0.0,0.0,43.7096,1.0,0.0,0.0,0.0
41,48305.07,10222.273,0.0,10222.273,0.0,48305.07,48305.07,0.0,0.0,0.0,47.39,1.0,0.0,0.0,0.0
42,48137.16,10186.74,0.0,10186.74,0.0,48137.16,48137.16,0.0,0.0,0.0,47.6696,1.0,0.0,0.0,0.0
43,48132.53,10185.76,0.0,10185.76,0.0,48132.53,48132.53,0.0,0.0,0.0,47.0478354978355,1.0,0.0,0.0,0.0
44,48106.24,10180.197,0.0,10180.197,0.0,48106.24,48106.24,0.0,0.0,0.0,47.0578354978355,1.0,0.0,0.0,0.0
45,48232.62,10206.941,0.0,10206.941,0.0,48232.62,48232.62,0.0,0.0,0.0,47.36,1.0,0.0,0.0,0.0
46,48140.89,10187.529,0.0,10187.529,0.0,48140.89,48140.89,0.0,0.0,0.0,47.4,1.0,0.0,0.0,0.0
47,48216.47,10203.523,0.0,10203.523,0.0,48216.47,48216.47,0.0,0.0,0.0,47.36,1.0,0.0,0.0,0.0
