tick,Elec_x,Metal
0,180.2,0
1,179.1,0
2,178,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,163,0
11,161.2,0
12,161.2,0
13,160.1,0
14,159.2,0
15,158.2,0
16,158.8,0
17,158.4,0
18,158,0
19,157.8,0
20,157.5,0
21,155.7,0
22,154.4,0
23,152.4,0
24,150.8,0
25,149.2,0
26,149.4,0
27,149.6,0
28,150.2,0
29,150.8,0
30,151.2,0
31,152.1,0
32,153.1,0
33,153.1,0
34,154.5,0
35,156,0
36,159.7,0
37,161.8,0
38,163.6,0
39,166.3,0
40,169.3,0
41,172.1,0
42,175.3,0
43,178.4,0
44,181.2,0
45,184.5,0
46,186.8,0
47,187.8,0
48,188.8,0
49,188.8,0
50,188.4,0
51,188,0
52,186.9,0
53,185.5,0
54,185.3,0
55,184.7,0
56,184.8,0
57,183.9,0
58,183.5,0
59,182.8,0
60,184.9,0
61,185.5,0
62,186.1,0
63,186.7,0
64,189.8,0
65,193.6,0
66,198.7,0
67,203.7,0
68,208,0
69,210.3,0
70,212.2,0
71,212.8,0
72,214.2,0
73,213.7,0
74,213.9,0
75,211.8,0
76,211.7,0
77,209.1,0
78,207.5,0
79,204.6,0
80,204.2,0
81,201.4,0
82,198.1,0
83,196.1,0
84,195.9,0
85,195.2,0
86,193.9,0
87,193.6,0
88,196.8,0
89,194.4,0
90,191.4,0
91,188.8,0
92,184.8,0
93,181.2,0
94,177.5,0
95,174.5,0
96,171.1,0
97,166.9,0
98,165.1,0
99,162.9,0
100,161.3,0
101,158.8,0
102,158.1,0
103,157.3,0
104,156.1,0
105,155.4,0
106,154.8,0
107,154.6,0
108,154.6,0
109,154.3,0
110,154.2,0
111,154.8,0
112,156.1,0
113,156.6,0
114,157.4,0
115,158.3,0
116,159.6,0
117,159.6,0
118,160.6,0
119,161.8,0
120,162.8,0
121,163.3,0
122,165.1,0
123,168,0
124,172.3,0
125,174.9,0
126,178.1,94.0301473
127,183.3,623.7386267
128,187.7,108.6712359
129,191.5,152.8884171
130,194.1,188.7962223
131,198.4,201.9221656
132,204,210.6029231
133,207.3,224.5604875
134,211.2,240.8670967
135,213.9,231.8628044
136,217.4,224.1480945
137,218.7,230.4000626
138,220.3,228.3335411
139,221.5,221.6760153
140,224.1,226.8092821
141,226.5,238.3129946
142,228.9,241.2794897
143,229.8,236.5745647
144,229.8,255.0593378
145,229.6,256.4491703
146,230.3,257.3969906
147,228.9,255.6403333
148,227.9,252.9062365
149,226.4,252.4778947
150,225.7,24.2409583
151,224.8,234.4419691
152,224.9,224.9500963
153,224.7,208.7414588
154,223.8,179.7828164
155,223.2,151.7879431
156,224.4,127.3223332
157,224.4,109.9722103
158,224.8,787.1692656
159,225.3,474.1151769
160,228.1,101.6856185
161,230.1,0
162,233.4,0
163,237.8,0
164,241.9,0
165,244.4,0
166,246.4,0
167,247.8,0
168,248.2,0
169,248,0
170,246.7,0
171,244.6,0
172,244.4,0
173,241.7,0
174,240.1,0
175,237.7,0
176,232.9,0
177,228,0
178,224.1,0
179,220.3,0
180,218.2,0
181,217.3,0
182,214.9,0
183,214.3,0
184,216.3,0
185,214.4,0
186,211.8,0
187,208.9,0
188,205.9,0
189,203.1,0
190,199.3,0
191,195.5,0
192,192.4,0
193,188.8,0
194,184.8,0
195,182,0
196,178.9,0
197,177.2,0
198,174.8,0
199,173.4,0
200,172.8,0
201,171.4,0
202,170.4,0
203,170.2,0
204,169.4,0
205,169.5,0
206,169.6,0
207,168.6,0
208,169.1,0
209,168.9,0
210,169.5,0
211,168.6,0
212,168.8,0
213,167.5,0
214,166.5,0
215,165,0
216,163,0
217,163.8,0
