,Iron_steel,Olefin,Methanol,Ammonia
0,37024.77,113968.81,7083.87,10804.73
1,36986.86,113930.09,7081.46,10801.06
2,37040.77,113983.13,7084.76,10806.08
3,37018.77,113856.32,7076.88,10794.06
4,37283.69,113905.47,7079.93,10798.72
5,37090.4,113865.94,7077.48,10794.97
6,37155.33,113949.9,7082.7,10802.93
7,37187.12,114039.02,7088.24,10811.38
8,36972.25,113891.44,7079.06,10797.39
9,37110.26,113621.63,7062.29,10771.81
10,37129.89,113850.71,7076.53,10793.53
11,37052.59,114041.96,7088.42,10811.66
12,37054.74,113659.72,7064.66,10775.42
13,36993.02,113939.35,7082.04,10801.93
14,37015.48,113904.28,7079.86,10798.61
15,36883.57,114055.46,7089.26,10812.94
16,37023.4,113737.88,7069.52,10782.83
17,37051.32,113965.61,7083.67,10804.42
18,37105.21,113950.47,7082.73,10802.99
19,37040.92,114092.22,7091.54,10816.43
20,36985.89,113912.38,7080.36,10799.38
21,37088.24,113814.01,7074.25,10790.05
22,37153.17,113860.11,7077.11,10794.42
23,37010.06,113602.75,7061.12,10770.02
24,36984.13,113863.59,7077.33,10794.75
25,37096.71,113796.69,7073.17,10788.41
26,37083.62,114237.2,7100.55,10830.17
27,37062.17,114053.54,7089.14,10812.76
28,37074.44,113995.49,7085.53,10807.26
29,37086.64,113943.22,7082.28,10802.3
30,37131.73,113921.43,7080.93,10800.23
31,37095.25,113975.2,7084.27,10805.33
32,37062.68,113633.43,7063.03,10772.93
33,37199.72,114051.84,7089.03,10812.6
34,37078.45,114086.14,7091.16,10815.85
35,37192.9,114040.83,7088.35,10811.55
36,37115.16,113926.47,7081.24,10800.71
37,36919.63,114108.04,7092.53,10817.93
38,37032.94,114131.02,7093.95,10820.1
39,37203.73,113891.69,7079.08,10797.41
40,37067.13,113663.88,7064.92,10775.82
41,37194.9,113996.71,7085.61,10807.37
42,37065.61,113958.62,7083.24,10803.76
43,37062.05,113801.58,7073.48,10788.87
44,37041.8,113881.76,7078.46,10796.47
45,37139.11,113798.19,7073.27,10788.55
46,37068.48,113733.04,7069.22,10782.37
47,37126.68,113493.54,7054.33,10759.67
48,37011.93,113846.61,7076.28,10793.14
49,37088.5,113864.55,7077.39,10794.84
50,37035.93,114016.52,7086.84,10809.25
51,37076.51,113703.07,7067.35,10779.53
52,36936.13,113759.7,7070.87,10784.9
53,37039.48,114068.9,7090.09,10814.22
54,37117.33,113601.05,7061.01,10769.86
55,37131.94,113950.72,7082.75,10803.01
56,37106.04,114247.25,7101.18,10831.12
57,37037.41,113830.2,7075.26,10791.58
58,37065.72,113807.67,7073.86,10789.45
59,37288.92,113752.97,7070.46,10784.26
60,37035.2,113855.64,7076.84,10794.0
61,37013.31,114039.24,7088.25,10811.4
62,36957.96,113936.01,7081.83,10801.62
63,37122.78,113974.47,7084.22,10805.26
64,37009.46,113946.99,7082.52,10802.66
65,36994.69,114004.83,7086.11,10808.14
66,37070.36,114094.34,7091.67,10816.63
67,37087.23,113770.6,7071.55,10785.93
68,37041.3,113959.58,7083.3,10803.85
69,37014.7,113835.29,7075.57,10792.07
70,37079.17,113737.06,7069.47,10782.76
71,37175.21,113889.03,7078.91,10797.16
72,37098.31,113921.43,7080.93,10800.23
73,37078.28,113915.01,7080.53,10799.63
74,37093.16,114112.48,7092.8,10818.35
75,37044.32,113992.92,7085.37,10807.01
