,Iron_steel,Olefin,Methanol,Ammonia
0,18512.38,56984.4,3541.94,5402.36
1,18493.43,56965.05,3540.73,5400.53
2,18520.38,56991.56,3542.38,5403.04
3,18509.39,56928.16,3538.44,5397.03
4,18641.84,56952.74,3539.97,5399.36
5,18545.2,56932.97,3538.74,5397.49
6,18577.66,56974.95,3541.35,5401.47
7,18593.56,57019.51,3544.12,5405.69
8,18486.13,56945.72,3539.53,5398.7
9,18555.13,56810.81,3531.15,5385.91
10,18564.94,56925.36,3538.27,5396.76
11,18526.29,57020.98,3544.21,5405.83
12,18527.37,56829.86,3532.33,5387.71
13,18496.51,56969.67,3541.02,5400.97
14,18507.74,56952.14,3539.93,5399.3
15,18441.79,57027.73,3544.63,5406.47
16,18511.7,56868.94,3534.76,5391.42
17,18525.66,56982.8,3541.84,5402.21
18,18552.61,56975.23,3541.37,5401.49
19,18520.46,57046.11,3545.77,5408.21
20,18492.94,56956.19,3540.18,5399.69
21,18544.12,56907.0,3537.12,5395.03
22,18576.59,56930.05,3538.56,5397.21
23,18505.03,56801.38,3530.56,5385.01
24,18492.07,56931.79,3538.67,5397.38
25,18548.35,56898.34,3536.59,5394.2
26,18541.81,57118.6,3550.28,5415.09
27,18531.09,57026.77,3544.57,5406.38
28,18537.22,56997.75,3542.77,5403.63
29,18543.32,56971.61,3541.14,5401.15
30,18565.86,56960.72,3540.46,5400.12
31,18547.63,56987.6,3542.13,5402.67
32,18531.34,56816.71,3531.51,5386.47
33,18599.86,57025.92,3544.52,5406.3
34,18539.22,57043.07,3545.58,5407.92
35,18596.45,57020.41,3544.17,5405.78
36,18557.58,56963.24,3540.62,5400.36
37,18459.81,57054.02,3546.26,5408.96
38,18516.47,57065.51,3546.98,5410.05
39,18601.86,56945.85,3539.54,5398.71
40,18533.57,56831.94,3532.46,5387.91
41,18597.45,56998.36,3542.8,5403.69
42,18532.81,56979.31,3541.62,5401.88
43,18531.02,56900.79,3536.74,5394.44
44,18520.9,56940.88,3539.23,5398.24
45,18569.56,56899.09,3536.63,5394.28
46,18534.24,56866.52,3534.61,5391.19
47,18563.34,56746.77,3527.17,5379.83
48,18505.97,56923.3,3538.14,5396.57
49,18544.25,56932.28,3538.7,5397.42
50,18517.97,57008.26,3543.42,5404.62
51,18538.25,56851.54,3533.68,5389.77
52,18468.07,56879.85,3535.44,5392.45
53,18519.74,57034.45,3545.05,5407.11
54,18558.66,56800.53,3530.51,5384.93
55,18565.97,56975.36,3541.37,5401.51
56,18553.02,57123.62,3550.59,5415.56
57,18518.71,56915.1,3537.63,5395.79
58,18532.86,56903.83,3536.93,5394.72
59,18644.46,56876.48,3535.23,5392.13
60,18517.6,56927.82,3538.42,5397.0
61,18506.65,57019.62,3544.12,5405.7
62,18478.98,56968.0,3540.92,5400.81
63,18561.39,56987.23,3542.11,5402.63
64,18504.73,56973.49,3541.26,5401.33
65,18497.34,57002.42,3543.06,5404.07
66,18535.18,57047.17,3545.84,5408.31
67,18543.61,56885.3,3535.78,5392.97
68,18520.65,56979.79,3541.65,5401.93
69,18507.35,56917.64,3537.79,5396.03
70,18539.58,56868.53,3534.73,5391.38
71,18587.6,56944.52,3539.46,5398.58
72,18549.16,56960.72,3540.46,5400.12
73,18539.14,56957.5,3540.26,5399.81
74,18546.58,57056.24,3546.4,5409.17
75,18522.16,56996.46,3542.68,5403.51
76,18561.66,57070.05,3547.26,5410.48
77,18572.47,56976.45,3541.44,5401.61
78,18547.56,57028.03,3544.65,5406.5
79,18534.98,56801.52,3530.57,5385.02
80,18555.34,56908.66,3537.23,5395.18
81,18536.7,56985.14,3541.98,5402.43
82,18605.84,57306.21,3561.94,5432.87
83,18645.67,57639.3,3582.64,5464.45
84,18661.74,58050.14,3608.18,5503.4
85,18805.16,58624.7,3643.89,5557.87
86,18908.63,59254.27,3683.02,5617.56
87,19033.88,60080.39,3734.37,5695.88
88,19268.24,61406.32,3816.79,5821.58
89,19453.21,62739.42,3899.65,5947.96
90,19687.3,64260.71,3994.2,6092.19
91,20028.55,66386.25,4126.32,6293.7
92,20431.67,68629.12,4265.73,6506.33
93,20837.4,71194.0,4425.15,6749.49
94,21144.25,73037.37,4539.73,6924.25
95,21207.04,73681.27,4579.75,6985.3
96,21254.12,73896.03,4593.1,7005.66
97,21273.75,74099.28,4605.73,7024.93
98,21277.98,74129.49,4607.61,7027.79
99,21300.8,74035.05,4601.74,7018.84
100,21317.51,74131.53,4607.74,7027.98
101,21324.07,74162.04,4609.63,7030.88
102,21433.45,74330.06,4620.08,7046.8
103,21531.42,74465.51,4628.5,7059.65
104,21548.43,74416.28,4625.44,7054.98
105,21475.9,74406.44,4624.82,7054.05
106,21426.92,74346.76,4621.11,7048.39
107,21457.88,74184.34,4611.02,7032.99
108,21344.2,74279.0,4616.9,7041.96
109,21283.75,74133.27,4607.84,7028.15
110,21287.39,74137.99,4608.14,7028.6
111,21267.16,74047.82,4602.53,7020.05
112,21296.17,74070.68,4603.95,7022.21
113,21361.66,74128.44,4607.54,7027.69
114,21487.46,74403.37,4624.63,7053.76
115,21544.71,74670.21,4641.22,7079.05
116,21685.38,74986.2,4660.86,7109.01
117,21892.67,75379.13,4685.28,7146.26
118,22204.35,75779.46,4710.17,7184.21
119,22399.76,76105.37,4730.42,7215.11
120,22695.8,76806.24,4773.99,7281.56
121,23016.15,77518.82,4818.28,7349.11
122,23390.61,77921.57,4843.31,7387.29
123,23694.79,78787.21,4897.12,7469.36
124,24026.67,79269.05,4927.07,7515.04
125,24307.43,79877.54,4964.89,7572.73
126,24623.59,80537.92,5005.93,7635.34
127,24862.51,80929.16,5030.25,7672.43
