Unnamed: 0,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
0,41087.8,12615.08,0.0,1604.0,4961.44
1,42698.53,12603.17,0.0,1579.0,4972.52
2,44266.03,12575.4,0.0,1525.0,4961.44
3,44873.57,11992.06,0.0,1524.0,4969.5
4,45814.06,11357.14,0.0,1553.0,4951.37
5,47357.77,11376.98,0.0,1552.0,4946.33
6,48575.01,11392.86,0.0,1556.0,4942.3
7,48830.14,11396.83,0.0,1554.0,4917.12
8,49031.21,10198.41,0.0,1535.0,4898.99
9,49433.35,9476.19,0.0,1507.0,4903.02
10,48808.52,9480.16,0.0,1506.0,4898.99
11,49459.3,9884.92,0.0,1496.0,4905.04
12,50940.31,10674.6,0.0,1519.0,4897.99
13,51000.85,10742.06,0.0,1511.0,4893.96
14,51926.21,10722.22,0.0,1483.0,4909.06
15,52568.34,10682.54,0.0,1466.0,4902.01
16,54827.69,10202.38,0.0,1525.0,4903.02
17,55791.97,10380.95,0.0,1482.0,4892.95
18,56637.34,10194.44,0.0,1433.0,4901.01
19,56918.41,10146.83,0.0,1393.0,4912.09
20,58594.0,9642.86,0.0,1384.0,4896.98
21,58890.2,9599.21,0.0,1377.0,4894.96
22,59668.55,9603.17,0.0,1388.0,4901.01
23,60059.88,8912.7,0.0,1391.0,4885.9
24,62074.92,7615.08,0.0,1413.0,4900.0
25,62518.14,7694.44,0.0,1386.0,4905.04
26,63266.22,7698.41,0.0,1414.0,4905.04
27,63685.66,7630.95,0.0,1452.0,4903.02
28,63888.89,7630.95,0.0,1443.0,4918.13
29,64520.21,8079.37,0.0,1438.0,4909.06
30,65177.48,8202.38,0.0,1422.0,4913.09
31,65041.27,8539.68,0.0,1425.0,4926.19
32,65692.05,8757.94,30.8,1406.0,4938.27
33,65709.34,8773.81,158.41,1414.0,4935.25
34,65711.51,9055.56,435.63,1452.0,4935.25
35,66135.27,8460.32,858.06,1512.0,4936.26
36,65713.67,8357.14,1377.3,1449.0,4931.22
37,65633.67,8035.71,2046.15,1472.0,4927.19
38,64541.83,8226.19,2970.22,1502.0,4938.27
39,65285.58,8317.46,3863.49,1510.0,4948.35
40,66474.71,8503.97,4818.36,1510.0,4961.44
41,67164.41,8619.05,5636.82,1570.0,4947.34
42,68085.45,8492.06,6415.68,1539.0,4943.31
43,69060.54,8595.24,7220.94,1523.0,4924.17
44,70426.96,10404.76,7863.39,1542.0,4939.28
45,71047.47,11003.97,8910.66,1572.0,4930.22
