tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
0,0.9,1.8,11.88,33.84,60.0,20.7,87
1,0.9,1.8,11.88,33.84,60.0,20.7,87
2,0.9,1.8,11.88,33.84,60.0,20.7,87
3,0.9,1.8,11.88,33.84,60.0,20.7,87
4,0.9,1.8,11.88,33.84,60.0,20.7,87
5,0.9,1.8,11.88,33.84,60.0,20.7,87
6,0.9,1.8,11.88,33.84,60.0,20.7,87
7,0.9,1.8,11.88,33.84,60.0,20.7,87
8,0.9,1.8,11.88,33.84,60.0,20.7,87
9,0.9,1.8,11.88,33.84,60.0,20.7,87
10,0.9,1.8,11.88,33.84,60.0,20.7,87
11,0.9,1.8,11.88,33.84,60.0,20.7,87
12,0.9,1.8,11.88,33.84,60.0,20.7,87
13,0.9,1.8,11.88,33.84,60.0,20.7,87
14,0.9,1.8,11.88,33.84,60.0,20.7,87
15,0.9,1.8,11.88,33.84,60.0,20.7,87
16,0.9,1.8,11.88,33.84,60.0,20.7,87
17,0.9,1.8,11.88,33.84,60.0,20.7,87
18,0.9,1.8,11.88,33.84,60.0,20.7,87
19,0.9,1.8,11.88,33.84,60.0,20.7,87
20,0.9,1.8,11.88,33.84,60.0,20.7,87
21,0.9,1.8,11.88,33.84,60.0,20.7,87
22,0.9,1.8,11.88,33.84,60.0,20.7,87
23,0.9,1.8,11.88,33.84,60.0,20.7,87
24,0.9,1.8,11.88,33.84,60.0,20.7,87
25,0.9,1.8,11.88,33.84,60.0,20.7,87
26,0.9,1.8,11.88,33.84,60.0,20.7,87
27,0.9,1.8,11.88,33.84,60.0,20.7,87
28,0.9,1.8,11.88,33.84,60.0,20.7,87
29,0.9,1.8,11.88,33.84,60.0,20.7,87
30,0.9,1.8,11.88,33.84,60.0,20.7,87
31,0.9,1.8,11.88,33.84,60.0,20.7,87
32,0.9,1.8,11.88,33.84,60.0,20.7,87
33,0.9,1.8,11.88,33.84,60.0,20.7,87
34,0.9,1.8,11.88,33.84,60.0,20.7,87
35,0.9,1.8,11.88,33.84,60.0,20.7,87
36,0.9,1.8,11.88,33.84,60.0,20.7,87
37,0.9,1.8,11.88,33.84,60.0,20.7,87
38,0.9,1.8,11.88,33.84,60.0,20.7,87
39,0.9,1.8,11.88,33.84,60.0,20.7,87
40,0.9,1.8,11.88,33.84,60.0,20.7,87
41,0.9,1.8,11.88,33.84,60.0,20.7,87
42,0.9,1.8,11.88,33.84,60.0,20.7,87
43,0.9,1.8,11.88,33.84,60.0,20.7,87
44,0.9,1.8,11.88,33.84,60.0,20.7,87
45,0.9,1.8,11.88,33.84,60.0,20.7,87
46,0.9,1.8,11.88,33.84,60.0,20.7,87
47,0.9,1.8,11.88,33.84,60.0,20.7,87
48,0.9,1.8,11.88,33.84,60.0,20.7,87
49,0.9,1.8,11.88,33.84,60.0,20.7,87
50,0.9,1.8,11.88,33.84,60.0,20.7,87
51,0.9,1.8,11.88,33.84,60.0,20.7,87
52,0.9,1.8,11.88,33.84,60.0,20.7,87
53,0.9,1.8,11.88,33.84,60.0,20.7,87
54,0.9,1.8,11.88,33.84,60.0,20.7,87
55,0.9,1.8,11.88,33.84,60.0,20.7,87
56,0.9,1.8,11.88,33.84,60.0,20.7,87
57,0.9,1.8,11.88,33.84,60.0,20.7,87
58,0.9,1.8,11.88,33.84,60.0,20.7,87
59,0.9,1.8,11.88,33.84,60.0,20.7,87
60,0.9,1.8,11.88,33.84,60.0,20.7,87
61,0.9,1.8,11.88,33.84,60.0,20.7,87
62,0.9,1.8,11.88,33.84,60.0,20.7,87
63,0.9,1.8,11.88,33.84,60.0,20.7,87
64,0.9,1.8,11.88,33.84,60.0,20.7,87
65,0.9,1.8,11.88,33.84,60.0,20.7,87
66,0.9,1.8,11.88,33.84,60.0,20.7,87
67,0.9,1.8,11.88,33.84,60.0,20.7,87
68,0.9,1.8,11.88,33.84,60.0,20.7,87
69,0.9,1.8,11.88,33.84,60.0,20.7,87
70,0.9,1.8,11.88,33.84,60.0,20.7,87
71,0.9,1.8,11.88,33.84,60.0,20.7,87
72,0.9,1.8,11.88,33.84,60.0,20.7,87
73,0.9,1.8,11.88,33.84,60.0,20.7,87
