,demand
0,48465.44
1,47958.49
2,47470.66
3,47271.05
4,46939.67
5,46447.479999999996
6,45924.86
7,44992.36
8,45084.92
9,44652.229999999996
10,43985.55
11,43792.42
12,44053.62
13,43695.020000000004
14,43643.72
15,43614.63
16,43621.18
17,43566.96
18,43565.89
19,43404.64
20,43390.11
21,43122.41
22,43071.1
23,42745.93
24,42357.12
25,42438.59
26,42565.8
27,42381.2
28,42920.88
29,43108.66
30,43138.93
31,43497.75
32,43533.62
33,43661.34
34,44102.76
35,44484.74
36,45406.05
37,46153.729999999996
38,46872.87
39,47502.67
40,48230.43
41,48832.06
42,49547.69
43,50108.63
44,51128.88
45,51941.14
46,52619.770000000004
47,52858.88
48,53282.47
49,53435.34
50,53438.97
51,53563.7
52,53316.39
53,53112.13
54,53132.270000000004
55,53039.479999999996
56,53099.32
57,52903.68
58,52868.95
59,52809.22
60,53080.01
61,53142.04
62,53300.88
63,53415.37
64,53832.14
65,54432.31
66,55562.43
67,56481.56
68,57626.26
69,58006.42
70,58448.47
71,58856.93
72,59004.95
73,58987.65
74,58960.11
75,58879.04
76,58794.4
77,58304.29
78,57859.21
79,57233.5
80,56683.8
81,56188.36
82,55548.22
83,54897.03
84,54517.83
85,54331.7
86,54162.82
87,54059.66
88,54339.58
89,53705.89
90,53220.87
91,52654.49
92,52063.7
93,51624.91
94,50764.2
95,50311.01
96,50248.39
97,49574.1
98,48807.69
99,48474.979999999996
100,48200.46
101,47558.35
102,47417.43
103,47293.979999999996
104,47362.22
105,47221.25
106,47121.26
107,46763.05
108,47216.979999999996
109,47600.51
110,47645.12
111,47923.44
112,48571.72
113,48945.6
114,49618.51
115,50174.99
116,50899.15
117,51550.03
118,52941.56
119,54432.6
120,56065.17
121,57641.07
122,59036.16
123,60487.68
124,62252.57
125,63415.99
126,64541.49
127,65544.06
128,66734.72
129,67069.8
130,67450.73
131,67927.89
132,68509.5
133,68657.59
134,69285.07
135,69630.79
136,69839.37
137,69971.75
138,70319.32
139,70574.25
140,70908.07
141,71370.45
142,71846.69
143,71802.61
144,71939.05
145,71784.58
146,71743.52
147,71696.0
148,71680.11
149,71294.98
150,71044.03
151,70326.94
152,70324.82
153,69956.96
154,69713.81
155,69287.9
156,69891.37
157,69692.8
158,69534.99
159,69335.18
160,69843.46
161,69941.56
162,70938.35
163,72050.16
164,73247.29
165,73836.21
166,73962.98
167,74070.31
168,73737.85
169,73480.65
170,73408.79
171,73240.26
172,72885.96
173,71955.04
174,71227.97
175,70588.74
176,69454.25
177,68443.69
178,67331.83
179,66538.52
180,65583.81
