,demand
0,48600.86
1,48093.81
2,47606.11
3,47406.38
4,47075.54
5,46582.95
6,46060.5
7,45128.12
8,45220.19
9,44787.6
10,44121.09
11,43927.93
12,44188.91
13,43830.36
14,43779.08
15,43749.83
16,43756.45
17,43702.42
18,43701.44
19,43540.15
20,43525.42
21,43257.85
22,43206.69
23,42881.11
24,42492.4
25,42574.04
26,42701.479999999996
27,42516.729999999996
28,43056.4
29,43244.17
30,43274.520000000004
31,43633.29
32,43668.91
33,43797.13
34,44238.34
35,44620.51
36,45541.6
37,46289.020000000004
38,47008.39
39,47638.38
40,48365.75
41,48967.8
42,49683.17
43,50244.01
44,51264.270000000004
45,52076.67
46,52755.12
47,52994.21
48,53417.78
49,53570.81
50,53574.43
51,53699.05
52,53451.51
53,53247.63
54,53267.65
55,53175.09
56,53235.04
57,53039.04
58,53004.35
59,52945.0
60,53215.38
61,53277.47
62,53436.15
63,53550.97
64,53967.51
65,54567.69
66,55698.0
67,56616.979999999996
68,57761.7
69,58141.74
70,58583.85
71,58992.58
72,59140.47
73,59123.13
74,59095.729999999996
75,59014.5
76,58930.1
77,58439.92
78,57994.8
79,57368.78
80,56819.29
81,56323.86
82,55684.35
83,55033.7
84,54655.03
85,54470.11
86,54302.34
87,54200.6
88,54482.93
89,53851.479999999996
90,53369.09
91,52806.44
92,52219.76
93,51785.44
94,50928.020000000004
95,50475.81
96,50413.61
97,49739.62
98,48973.270000000004
99,48640.53
100,48366.19
101,47724.14
102,47583.83
103,47460.9
104,47529.14
105,47387.89
106,47287.65
107,46929.37
108,47382.979999999996
109,47766.12
110,47810.74
111,48088.89
112,48737.3
113,49111.49
114,49785.19
115,50342.19
116,51067.25
117,51719.36
118,53112.53
119,54604.68
120,56239.18
121,57817.1
122,59214.07
123,60667.729999999996
124,62434.43
125,63599.61
126,64727.06
127,65730.98
128,66923.0
129,67259.07
130,67641.04
131,68118.61
132,68700.4
133,68848.88
134,69476.59
135,69822.24
136,70030.46
137,70163.11
138,70510.66
139,70765.56
140,71099.31
141,71562.02
142,72038.26
143,71994.31
144,72131.15
145,71976.85
146,71935.5
147,71888.13
148,71872.11
149,71487.08
150,71235.91
151,70518.4
152,70516.08
153,70147.85
154,69903.84
155,69477.48
156,70080.05
157,69880.89
158,69722.26
159,69521.57
160,70028.84
161,70126.63
162,71121.92
163,72232.83
164,73429.11
165,74017.43
166,74143.52
167,74250.06
168,73917.21
169,73659.97
170,73587.48
171,73418.81
172,73064.18
173,72133.3
174,71406.25
175,70767.18
176,69632.48
177,68621.58
178,67509.6
179,66716.5
180,65761.33
181,65213.35
182,64653.87
183,64229.89
184,64250.34
185,63538.59
186,62513.59
187,61467.87
188,60783.07
189,59576.67
190,58435.36
191,57543.06
192,56629.81
193,56443.44
194,55987.979999999996
195,55195.229999999996
196,55298.43
197,55146.67
198,55152.729999999996
199,54908.57
200,54855.04
201,54818.39
202,54887.36
203,54841.94
204,54805.99
205,54550.770000000004
206,54630.520000000004
207,54853.34
208,54987.66
209,55237.78
210,55679.94
211,56175.71
212,57211.29
213,57633.61
214,58530.6
215,59667.97
216,61250.32
217,62614.14
218,64006.16
219,65221.43
220,66484.85
221,67375.14
222,68404.3
223,69307.65
224,69864.57
225,70368.15
226,70816.3
227,71284.02
228,71739.0
229,71917.56
230,72044.1
231,72328.77
232,72482.86
233,72508.88
234,72751.73
235,72914.89
236,73277.26
237,73657.86
238,73881.9
239,73801.67
240,74089.67
241,73907.42
242,73868.69
243,73669.93
244,73347.84
245,72835.42
246,72466.18
247,72034.23
248,72120.91
249,71869.91
250,71705.48
251,71362.45
252,71475.58
253,70989.99
254,70728.85
255,70888.42
256,71133.54
257,71630.1
258,72344.87
259,73496.83
260,74589.24
261,75100.42
262,75379.02
263,75429.19
264,75162.47
265,74878.25
266,74567.89
267,74402.15
268,73903.37
269,73070.24
270,72345.75
271,71757.34
272,70631.68
273,69344.33
274,68518.83
275,67705.67
276,67016.93
277,66521.18
278,65538.1
279,65174.81
280,65027.979999999996
281,64252.21
282,63192.26
283,62579.09
284,61700.28
285,60613.020000000004
286,59724.15
287,59091.25
288,57923.61
289,57251.91
290,56725.81
291,56167.18
292,55295.7
293,54883.54
