Iron_steel,Olefin,Methanol,Ammonia
3216.38,2612.41,162.38,247.67
3213.09,2611.52,162.32,247.58
3217.77,2612.74,162.4,247.7
3215.86,2609.83,162.22,247.42
3238.88,2610.96,162.29,247.53
3222.09,2610.05,162.23,247.44
3227.73,2611.97,162.35,247.63
3230.49,2614.02,162.48,247.82
3211.82,2610.63,162.27,247.5
3223.81,2604.45,161.88,246.91
3225.52,2609.7,162.21,247.41
3218.8,2614.08,162.48,247.83
3218.99,2605.32,161.94,247.0
3213.63,2611.73,162.34,247.6
3215.58,2610.93,162.29,247.53
3204.12,2614.39,162.5,247.86
3216.27,2607.11,162.05,247.17
3218.69,2612.33,162.37,247.66
3223.37,2611.99,162.35,247.63
3217.79,2615.24,162.55,247.94
3213.01,2611.11,162.3,247.54
3221.9,2608.86,162.16,247.33
3227.54,2609.92,162.22,247.43
3215.11,2604.02,161.86,246.87
3212.86,2610.0,162.23,247.44
3222.63,2608.46,162.13,247.29
3221.5,2618.56,162.76,248.25
3219.63,2614.35,162.5,247.85
3220.7,2613.02,162.42,247.73
3221.76,2611.82,162.34,247.61
3225.68,2611.32,162.31,247.56
3222.51,2612.55,162.39,247.68
3219.68,2604.72,161.9,246.94
3231.58,2614.31,162.5,247.85
3221.05,2615.1,162.54,247.92
3230.99,2614.06,162.48,247.82
3224.24,2611.44,162.32,247.58
3207.25,2615.6,162.58,247.97
3217.09,2616.13,162.61,248.02
3231.93,2610.64,162.27,247.5
3220.07,2605.42,161.94,247.0
3231.16,2613.05,162.42,247.73
3219.93,2612.17,162.36,247.65
3219.62,2608.57,162.14,247.3
3217.86,2610.41,162.25,247.48
3226.32,2608.5,162.13,247.3
3220.18,2607.0,162.04,247.15
3225.24,2601.51,161.7,246.63
3215.27,2609.61,162.2,247.4
3221.92,2610.02,162.23,247.44
3217.35,2613.5,162.45,247.77
3220.88,2606.32,162.0,247.09
3208.69,2607.61,162.08,247.21
3217.66,2614.7,162.52,247.88
3224.43,2603.98,161.85,246.87
3225.69,2611.99,162.35,247.63
3223.44,2618.79,162.77,248.27
3217.48,2609.23,162.18,247.37
3219.94,2608.71,162.15,247.32
3239.33,2607.46,162.07,247.2
3217.29,2609.81,162.22,247.42
3215.39,2614.02,162.48,247.82
3210.58,2611.66,162.33,247.6
3224.9,2612.54,162.39,247.68
3215.06,2611.91,162.35,247.62
3213.77,2613.23,162.43,247.75
3220.35,2615.28,162.56,247.94
3221.81,2607.86,162.09,247.24
3217.82,2612.2,162.36,247.65
3215.51,2609.35,162.19,247.38
3221.11,2607.09,162.05,247.16
3229.45,2610.58,162.26,247.49
3222.77,2611.32,162.31,247.56
3221.03,2611.17,162.3,247.55
3222.33,2615.7,162.58,247.98
3218.08,2612.96,162.41,247.72
3224.95,2616.33,162.62,248.04
3226.82,2612.04,162.35,247.63
3222.5,2614.41,162.5,247.86
3220.31,2604.02,161.86,246.87
3223.85,2608.93,162.16,247.34
3220.61,2612.44,162.38,247.67
3232.62,2627.16,163.29,249.07
3239.54,2642.43,164.24,250.51
3242.33,2661.26,165.41,252.3
3267.25,2687.61,167.05,254.8
3285.23,2716.47,168.85,257.53
3306.99,2754.34,171.2,261.12
3347.71,2815.13,174.98,266.89
3379.85,2876.24,178.78,272.68
3420.52,2945.98,183.11,279.29
3479.81,3043.43,189.17,288.53
3549.85,3146.25,195.56,298.28
3620.34,3263.84,202.87,309.43
3673.65,3348.34,208.12,317.44
3684.56,3377.86,209.96,320.24
3692.74,3387.71,210.57,321.17
3696.15,3397.03,211.15,322.05
3696.89,3398.41,211.23,322.18
3700.85,3394.08,210.96,321.77
3703.75,3398.5,211.24,322.19
3704.89,3399.9,211.33,322.33
3723.9,3407.61,211.8,323.06
3740.92,3413.82,212.19,323.64
3743.87,3411.56,212.05,323.43
3731.27,3411.11,212.02,323.39
3722.76,3408.37,211.85,323.13
3728.14,3400.93,211.39,322.42
3708.39,3405.26,211.66,322.83
3697.89,3398.58,211.24,322.2
3698.52,3398.8,211.26,322.22
3695.01,3394.67,211.0,321.83
3700.05,3395.71,211.06,321.93
3711.42,3398.36,211.23,322.18
3733.28,3410.97,212.01,323.37
3743.23,3423.2,212.77,324.53
3767.67,3437.69,213.67,325.91
3803.68,3455.7,214.79,327.61
3857.84,3474.05,215.93,329.35
3891.79,3488.99,216.86,330.77
3943.22,3521.12,218.86,333.82
3998.88,3553.79,220.89,336.91
4063.94,3572.26,222.04,338.66
4116.79,3611.94,224.5,342.43
4174.45,3634.03,225.88,344.52
4223.23,3661.93,227.61,347.17
4278.16,3692.2,229.49,350.04
4319.67,3710.14,230.61,351.74
4355.43,3733.16,232.04,353.92
4389.9,3742.66,232.63,354.82
4418.42,3759.64,233.68,356.43
4428.24,3767.78,234.19,357.2
4434.85,3769.16,234.28,357.33
4446.08,3774.74,234.62,357.86
4459.21,3772.85,234.51,357.68
4451.96,3776.24,234.72,358.0
4445.75,3767.16,234.15,357.14
4450.78,3773.41,234.54,357.74
4448.74,3774.62,234.62,357.85
4443.76,3777.58,234.8,358.13
4447.89,3771.25,234.41,357.53
4456.78,3776.7,234.75,358.05
4458.79,3775.26,234.66,357.91
4455.38,3783.17,235.15,358.66
4470.25,3786.03,235.33,358.93
4471.37,3792.05,235.7,359.5
4471.76,3780.26,234.97,358.39
4470.35,3787.16,235.4,359.04
4468.15,3784.13,235.21,358.75
4467.8,3788.07,235.45,359.12
4460.07,3785.96,235.32,358.93
4453.66,3774.96,234.64,357.88
4446.4,3773.49,234.55,357.74
4433.72,3769.46,234.3,357.36
4411.17,3754.63,233.37,355.95
4389.01,3756.19,233.47,356.1
4370.07,3736.49,232.25,354.24
4356.48,3724.77,231.52,353.12
4332.07,3713.23,230.8,352.03
4307.63,3699.21,229.93,350.7
4278.4,3684.36,229.01,349.29
4266.37,3682.25,228.88,349.09
4225.17,3658.17,227.38,346.81
4201.72,3642.8,226.42,345.35
4173.17,3633.51,225.85,344.47
4158.17,3622.36,225.15,343.41
4136.07,3614.62,224.67,342.68
4110.25,3605.74,224.12,341.84
4100.4,3598.51,223.67,341.15
4097.55,3599.45,223.73,341.24
4078.57,3590.75,223.19,340.42
4079.87,3583.9,222.76,339.77
4062.95,3585.5,222.86,339.92
4071.07,3579.86,222.51,339.39
4069.91,3582.03,222.65,339.59
4076.84,3582.07,222.65,339.6
4067.34,3582.07,222.65,339.6
4055.73,3578.75,222.44,339.28
4050.02,3578.82,222.45,339.29
4061.84,3577.05,222.34,339.12
4046.07,3572.09,222.03,338.65
4040.1,3567.48,221.74,338.21
4024.39,3566.99,221.71,338.17
4013.0,3552.35,220.8,336.78
3990.08,3543.31,220.24,335.92
3961.39,3524.3,219.06,334.12
3928.42,3517.27,218.62,333.45
3894.8,3495.2,217.25,331.36
3864.65,3476.17,216.07,329.56
3798.26,3447.29,214.27,326.82
3722.71,3408.06,211.83,323.1
3702.66,3395.62,211.06,321.92
3694.74,3396.03,211.08,321.96
3709.92,3399.61,211.31,322.3
3701.21,3398.0,211.21,322.14
3704.04,3394.63,211.0,321.83
3709.56,3388.88,210.64,321.28
3722.38,3402.59,211.49,322.58
3720.73,3411.44,212.04,323.42
3738.94,3405.32,211.66,322.84
3739.21,3413.01,212.14,323.57
3745.44,3411.74,212.06,323.45
3722.37,3408.35,211.85,323.13
3716.14,3402.19,211.47,322.54
3709.77,3402.85,211.51,322.6
3697.92,3399.36,211.29,322.27
3701.73,3395.76,211.07,321.93
