Iron_steel,Olefin,Methanol,Ammonia
10721.28,8708.02,541.26,825.56
10710.31,8705.07,541.07,825.28
10725.92,8709.12,541.33,825.66
10719.55,8699.43,540.72,824.74
10796.26,8703.18,540.96,825.1
10740.29,8700.16,540.77,824.81
10759.09,8706.58,541.17,825.42
10768.29,8713.39,541.59,826.07
10706.08,8702.11,540.89,825.0
10746.04,8681.5,539.61,823.04
10751.72,8699.0,540.7,824.7
10729.34,8713.61,541.61,826.09
10729.96,8684.41,539.79,823.32
10712.09,8705.77,541.12,825.34
10718.59,8703.09,540.95,825.09
10680.4,8714.64,541.67,826.19
10720.89,8690.38,540.16,823.88
10728.97,8707.78,541.24,825.53
10744.58,8706.62,541.17,825.42
10725.96,8717.45,541.84,826.45
10710.02,8703.71,540.99,825.15
10739.66,8696.2,540.52,824.44
10758.47,8699.72,540.74,824.77
10717.02,8680.05,539.52,822.91
10709.52,8699.98,540.76,824.8
10742.11,8694.87,540.44,824.31
10738.32,8728.53,542.53,827.5
10732.11,8714.5,541.66,826.17
10735.67,8710.06,541.38,825.75
10739.2,8706.07,541.14,825.37
10752.25,8704.4,541.03,825.21
10741.69,8708.51,541.29,825.6
10732.26,8682.4,539.67,823.13
10771.94,8714.37,541.65,826.16
10736.83,8716.99,541.82,826.41
10769.97,8713.53,541.6,826.08
10747.46,8704.79,541.06,825.25
10690.84,8718.66,541.92,826.57
10723.65,8720.42,542.03,826.73
10773.1,8702.13,540.89,825.0
10733.55,8684.72,539.81,823.35
10770.55,8710.16,541.39,825.76
10733.11,8707.25,541.21,825.48
10732.08,8695.25,540.46,824.35
10726.22,8701.37,540.84,824.93
10754.39,8694.99,540.45,824.32
10733.94,8690.01,540.14,823.85
10750.79,8671.71,539.0,822.11
10717.57,8698.69,540.68,824.67
10739.74,8700.06,540.76,824.8
10724.52,8711.67,541.48,825.9
10736.26,8687.72,540.0,823.63
10695.62,8692.05,540.26,824.04
10725.54,8715.67,541.73,826.28
10748.09,8679.92,539.51,822.89
10752.32,8706.64,541.17,825.43
10744.82,8729.3,542.58,827.57
10724.94,8697.43,540.6,824.55
10733.14,8695.71,540.49,824.39
10797.77,8691.53,540.23,823.99
10724.3,8699.38,540.72,824.74
10717.96,8713.41,541.59,826.07
10701.94,8705.52,541.1,825.32
10749.66,8708.46,541.28,825.6
10716.85,8706.36,541.15,825.4
10712.57,8710.78,541.43,825.82
10734.49,8717.62,541.85,826.47
10739.37,8692.88,540.32,824.12
10726.07,8707.32,541.21,825.49
10718.37,8697.82,540.62,824.59
10737.03,8690.32,540.16,823.88
10764.85,8701.93,540.88,824.98
10742.58,8704.4,541.03,825.21
10736.78,8703.91,541.0,825.17
10741.09,8719.0,541.94,826.6
10726.94,8709.87,541.37,825.73
10749.82,8721.11,542.07,826.8
10756.08,8706.81,541.18,825.44
10741.66,8714.69,541.67,826.19
10734.37,8680.08,539.52,822.91
10746.16,8696.45,540.54,824.46
10735.37,8708.14,541.26,825.57
10775.41,8757.2,544.31,830.22
10798.48,8808.1,547.48,835.05
10807.78,8870.88,551.38,841.0
10890.84,8958.68,556.84,849.32
10950.76,9054.89,562.82,858.44
11023.3,9181.13,570.66,870.41
11159.03,9383.75,583.26,889.62
11266.15,9587.47,595.92,908.93
11401.73,9819.95,610.37,930.97
11599.36,10144.76,630.56,961.77
11832.82,10487.5,651.86,994.26
12067.79,10879.45,676.23,1031.42
12245.51,11161.14,693.73,1058.12
12281.87,11259.54,699.85,1067.45
12309.14,11292.36,701.89,1070.56
12320.51,11323.42,703.82,1073.51
12322.95,11328.04,704.11,1073.95
12336.17,11313.6,703.21,1072.58
12345.85,11328.35,704.13,1073.98
12349.64,11333.01,704.42,1074.42
12412.99,11358.69,706.01,1076.85
12469.73,11379.38,707.3,1078.81
12479.58,11371.86,706.83,1078.1
12437.58,11370.36,706.74,1077.96
12409.21,11361.24,706.17,1077.09
12427.14,11336.42,704.63,1074.74
12361.31,11350.88,705.53,1076.11
12326.29,11328.61,704.14,1074.0
12328.4,11329.34,704.19,1074.07
12316.69,11315.55,703.33,1072.76
12333.49,11319.05,703.55,1073.09
12371.42,11327.88,704.1,1073.93
12444.27,11369.89,706.71,1077.91
12477.43,11410.67,709.24,1081.78
12558.9,11458.95,712.25,1086.36
12678.95,11519.0,715.98,1092.05
12859.45,11580.17,719.78,1097.85
12972.62,11629.98,722.88,1102.57
13144.07,11737.08,729.53,1112.72
13329.6,11845.97,736.3,1123.05
13546.47,11907.52,740.13,1128.88
13722.63,12039.8,748.35,1141.42
13914.83,12113.43,752.93,1148.4
14077.44,12206.42,758.7,1157.22
14260.53,12307.33,764.98,1166.79
14398.9,12367.12,768.69,1172.46
14518.11,12443.87,773.46,1179.73
14632.99,12475.54,775.43,1182.73
14728.07,12532.12,778.95,1188.1
14760.79,12559.28,780.64,1190.67
14782.83,12563.86,780.92,1191.11
14820.27,12582.48,782.08,1192.87
14864.02,12576.17,781.69,1192.27
14839.86,12587.45,782.39,1193.34
14819.17,12557.2,780.51,1190.48
14835.94,12578.04,781.8,1192.45
14829.15,12582.08,782.05,1192.83
14812.54,12591.95,782.67,1193.77
14826.31,12570.85,781.36,1191.77
14855.92,12589.0,782.48,1193.49
14862.63,12584.19,782.19,1193.03
14851.26,12610.55,783.82,1195.53
14900.85,12620.11,784.42,1196.44
14904.58,12640.18,785.67,1198.34
14905.87,12600.88,783.22,1194.62
