,Price
2016-01-01 00:00:00,30.825
2016-01-01 00:15:00,36.502399999999994
2016-01-01 00:30:00,30.23
2016-01-01 00:45:00,29.64
2016-01-01 01:00:00,27.1568
2016-01-01 01:15:00,27.0776
2016-01-01 01:30:00,27.104
2016-01-01 01:45:00,29.64
2016-01-01 02:00:00,37.114285714285714
2016-01-01 02:15:00,35.3496
2016-01-01 02:30:00,26.708571428571428
2016-01-01 02:45:00,36.7
2016-01-01 03:00:00,37.7344
2016-01-01 03:15:00,37.65
2016-01-01 03:30:00,37.27
2016-01-01 03:45:00,37.7344
2016-01-01 04:00:00,34.6896
2016-01-01 04:15:00,35.3496
2016-01-01 04:30:00,35.3496
2016-01-01 04:45:00,36.67
2016-01-01 05:00:00,26.338571428571427
2016-01-01 05:15:00,37.1096
2016-01-01 05:30:00,37.1096
2016-01-01 05:45:00,37.1096
2016-01-01 06:00:00,42.0728
2016-01-01 06:15:00,43.60845238095238
2016-01-01 06:30:00,26.44
2016-01-01 06:45:00,26.892799999999998
2016-01-01 07:00:00,25.45481232763096
2016-01-01 07:15:00,25.49514083047591
2016-01-01 07:30:00,29.242399999999996
2016-01-01 07:45:00,32.947199999999995
2016-01-01 08:00:00,25.761490809835934
2016-01-01 08:15:00,27.456
2016-01-01 08:30:00,31.65
2016-01-01 08:45:00,34.276
2016-01-01 09:00:00,29.849600000000002
2016-01-01 09:15:00,28.063200000000002
2016-01-01 09:30:00,29.506400000000003
2016-01-01 09:45:00,34.012
2016-01-01 10:00:00,31.65
2016-01-01 10:15:00,34.276
2016-01-01 10:30:00,35.3496
2016-01-01 10:45:00,37.232800000000005
2016-01-01 11:00:00,35.912800000000004
2016-01-01 11:15:00,37.7344
2016-01-01 11:30:00,37.7344
2016-01-01 11:45:00,37.7344
2016-01-01 12:00:00,37.232800000000005
2016-01-01 12:15:00,37.232800000000005
2016-01-01 12:30:00,35.43
2016-01-01 12:45:00,35.6488
2016-01-01 13:00:00,35.32
2016-01-01 13:15:00,35.32
2016-01-01 13:30:00,35.43
2016-01-01 13:45:00,36.502399999999994
2016-01-01 14:00:00,36.502399999999994
2016-01-01 14:15:00,36.502399999999994
2016-01-01 14:30:00,37.232800000000005
2016-01-01 14:45:00,37.7344
2016-01-01 15:00:00,36.502399999999994
2016-01-01 15:15:00,37.232800000000005
2016-01-01 15:30:00,37.7344
2016-01-01 15:45:00,38.2536
2016-01-01 16:00:00,37.7344
2016-01-01 16:15:00,38.57536796536797
2016-01-01 16:30:00,39.12
2016-01-01 16:45:00,39.55
2016-01-01 17:00:00,40.0664
2016-01-01 17:15:00,40.0664
2016-01-01 17:30:00,40.17
2016-01-01 17:45:00,40.17
2016-01-01 18:00:00,39.55
2016-01-01 18:15:00,39.12
2016-01-01 18:30:00,39.12
2016-01-01 18:45:00,37.7344
2016-01-01 19:00:00,38.931200000000004
2016-01-01 19:15:00,37.383676470588235
2016-01-01 19:30:00,35.3496
2016-01-01 19:45:00,34.616485507246374
2016-01-01 20:00:00,38.1392
2016-01-01 20:15:00,35.912800000000004
2016-01-01 20:30:00,34.18523809523809
2016-01-01 20:45:00,29.98
2016-01-01 21:00:00,30.7032
2016-01-01 21:15:00,29.98
2016-01-01 21:30:00,29.98
2016-01-01 21:45:00,29.98
2016-01-01 22:00:00,30.685599999999997
2016-01-01 22:15:00,29.98
