,Power
2016-01-01 00:00:00,0.0
2016-01-01 00:15:00,0.0
2016-01-01 00:30:00,0.0
2016-01-01 00:45:00,0.0
2016-01-01 01:00:00,-17.14
2016-01-01 01:15:00,-34.03
2016-01-01 01:30:00,-34.03
2016-01-01 01:45:00,-34.03
2016-01-01 02:00:00,-34.03
2016-01-01 02:15:00,-34.03
2016-01-01 02:30:00,-34.03
2016-01-01 02:45:00,-34.03
2016-01-01 03:00:00,-34.03
2016-01-01 03:15:00,-34.03
2016-01-01 03:30:00,-34.03
2016-01-01 03:45:00,-34.03
2016-01-01 04:00:00,-34.03
2016-01-01 04:15:00,-34.03
2016-01-01 04:30:00,-34.03
2016-01-01 04:45:00,-34.03
2016-01-01 05:00:00,-34.03
2016-01-01 05:15:00,-34.03
2016-01-01 05:30:00,-34.03
2016-01-01 05:45:00,-34.03
2016-01-01 06:00:00,-34.03
2016-01-01 06:15:00,-34.03
2016-01-01 06:30:00,-34.03
2016-01-01 06:45:00,-34.03
2016-01-01 07:00:00,-49.04999999999998
2016-01-01 07:15:00,-64.13000000000002
2016-01-01 07:30:00,-64.13000000000002
2016-01-01 07:45:00,-64.13000000000002
2016-01-01 08:00:00,-79.43999999999997
2016-01-01 08:15:00,-79.43999999999997
2016-01-01 08:30:00,-79.43999999999997
2016-01-01 08:45:00,-79.43999999999997
2016-01-01 09:00:00,-79.43999999999997
2016-01-01 09:15:00,-95.61999999999992
2016-01-01 09:30:00,-111.97999999999993
2016-01-01 09:45:00,-111.97999999999993
2016-01-01 10:00:00,-111.97999999999993
2016-01-01 10:15:00,-111.97999999999993
2016-01-01 10:30:00,-111.97999999999993
2016-01-01 10:45:00,-111.97999999999993
2016-01-01 11:00:00,-111.97999999999993
2016-01-01 11:15:00,-111.97999999999993
2016-01-01 11:30:00,-111.97999999999993
2016-01-01 11:45:00,-111.97999999999993
2016-01-01 12:00:00,-111.97999999999993
2016-01-01 12:15:00,-111.97999999999993
2016-01-01 12:30:00,-111.97999999999993
2016-01-01 12:45:00,-111.97999999999993
2016-01-01 13:00:00,-111.97999999999993
2016-01-01 13:15:00,-111.97999999999993
2016-01-01 13:30:00,-111.97999999999993
2016-01-01 13:45:00,-111.97999999999993
2016-01-01 14:00:00,-111.97999999999993
2016-01-01 14:15:00,-111.97999999999993
2016-01-01 14:30:00,-111.97999999999993
2016-01-01 14:45:00,-111.97999999999993
2016-01-01 15:00:00,-111.97999999999993
2016-01-01 15:15:00,-111.97999999999993
2016-01-01 15:30:00,-111.97999999999993
2016-01-01 15:45:00,-111.97999999999993
2016-01-01 16:00:00,-111.97999999999993
2016-01-01 16:15:00,-111.97999999999993
2016-01-01 16:30:00,-111.97999999999993
2016-01-01 16:45:00,-111.97999999999993
2016-01-01 17:00:00,-111.97999999999993
2016-01-01 17:15:00,-111.97999999999993
2016-01-01 17:30:00,-111.97999999999993
2016-01-01 17:45:00,-111.97999999999993
2016-01-01 18:00:00,-111.97999999999993
2016-01-01 18:15:00,-111.97999999999993
2016-01-01 18:30:00,-111.97999999999993
2016-01-01 18:45:00,-111.97999999999993
2016-01-01 19:00:00,-111.97999999999993
2016-01-01 19:15:00,-111.97999999999993
2016-01-01 19:30:00,-111.97999999999993
2016-01-01 19:45:00,-111.97999999999993
2016-01-01 20:00:00,-111.97999999999993
2016-01-01 20:15:00,-111.97999999999993
2016-01-01 20:30:00,-111.97999999999993
2016-01-01 20:45:00,-111.97999999999993
2016-01-01 21:00:00,-111.97999999999993
2016-01-01 21:15:00,-111.97999999999993
2016-01-01 21:30:00,-111.97999999999993
2016-01-01 21:45:00,-111.97999999999993
2016-01-01 22:00:00,-111.97999999999993
2016-01-01 22:15:00,-111.97999999999993
2016-01-01 22:30:00,-111.97999999999993
2016-01-01 22:45:00,-130.59999999999994
2016-01-01 23:00:00,-130.59999999999994
2016-01-01 23:15:00,-130.59999999999994
2016-01-01 23:30:00,-147.97999999999993
2016-01-01 23:45:00,-165.12999999999994
2016-01-02 00:00:00,-199.34999999999994
2016-01-02 00:15:00,-215.61999999999995
2016-01-02 00:30:00,-231.94999999999996
2016-01-02 00:45:00,-248.01999999999995
2016-01-02 01:00:00,-263.98999999999995
2016-01-02 01:15:00,-279.61999999999995
2016-01-02 01:30:00,-295.35999999999996
2016-01-02 01:45:00,-311.00999999999993
2016-01-02 02:00:00,-326.49999999999994
2016-01-02 02:15:00,-341.96999999999997
2016-01-02 02:30:00,-357.39
2016-01-02 02:45:00,-372.83
2016-01-02 03:00:00,-388.28999999999996
2016-01-02 03:15:00,-403.68999999999994
2016-01-02 03:30:00,-419.09999999999997
2016-01-02 03:45:00,-450.38
2016-01-02 04:00:00,-450.38
2016-01-02 04:15:00,-513.92
2016-01-02 04:30:00,-513.92
2016-01-02 04:45:00,-513.92
2016-01-02 05:00:00,-513.92
2016-01-02 05:15:00,-595.28
2016-01-02 05:30:00,-695.28
2016-01-02 05:45:00,-795.28
2016-01-02 06:00:00,-895.28
2016-01-02 06:15:00,-995.28
2016-01-02 06:30:00,-1095.28
2016-01-02 06:45:00,-1112.08
2016-01-02 07:00:00,-1112.08
2016-01-02 07:15:00,-1112.08
2016-01-02 07:30:00,-1112.08
