,Power
2016-01-01 00:00:00,0.0
2016-01-01 00:15:00,370.0
2016-01-01 00:30:00,443.7872697196101
2016-01-01 00:45:00,340.0
2016-01-01 01:00:00,340.0
2016-01-01 01:15:00,340.0
2016-01-01 01:30:00,340.0
2016-01-01 01:45:00,340.0
2016-01-01 02:00:00,340.0
2016-01-01 02:15:00,340.0
2016-01-01 02:30:00,340.0
2016-01-01 02:45:00,743.6544793249544
2016-01-01 03:00:00,727.6
2016-01-01 03:15:00,727.6
2016-01-01 03:30:00,727.6
2016-01-01 03:45:00,727.6
2016-01-01 04:00:00,340.0
2016-01-01 04:15:00,340.0
2016-01-01 04:30:00,340.0
2016-01-01 04:45:00,447.5541770301046
2016-01-01 05:00:00,340.0
2016-01-01 05:15:00,340.0
2016-01-01 05:30:00,340.0
2016-01-01 05:45:00,574.7567702493528
2016-01-01 06:00:00,727.6
2016-01-01 06:15:00,727.6
2016-01-01 06:30:00,340.0
2016-01-01 06:45:00,546.9657128036982
2016-01-01 07:00:00,340.0
2016-01-01 07:15:00,340.0
2016-01-01 07:30:00,768.4
2016-01-01 07:45:00,727.6
2016-01-01 08:00:00,340.0
2016-01-01 08:15:00,340.0
2016-01-01 08:30:00,768.4
2016-01-01 08:45:00,727.6
2016-01-01 09:00:00,340.0
2016-01-01 09:15:00,340.0
2016-01-01 09:30:00,340.0
2016-01-01 09:45:00,340.0
2016-01-01 10:00:00,340.0
2016-01-01 10:15:00,377.43198783085097
2016-01-01 10:30:00,759.4163229205958
2016-01-01 10:45:00,727.6
2016-01-01 11:00:00,340.0
2016-01-01 11:15:00,340.0
2016-01-01 11:30:00,340.0
2016-01-01 11:45:00,340.0
2016-01-01 12:00:00,340.0
2016-01-01 12:15:00,340.0
2016-01-01 12:30:00,340.0
2016-01-01 12:45:00,768.4
2016-01-01 13:00:00,727.6
2016-01-01 13:15:00,727.6
2016-01-01 13:30:00,727.6
2016-01-01 13:45:00,727.6
2016-01-01 14:00:00,727.6
2016-01-01 14:15:00,727.6
2016-01-01 14:30:00,727.6
2016-01-01 14:45:00,727.6
2016-01-01 15:00:00,727.6
2016-01-01 15:15:00,727.6
2016-01-01 15:30:00,727.6
2016-01-01 15:45:00,727.6
2016-01-01 16:00:00,727.6
2016-01-01 16:15:00,727.6
2016-01-01 16:30:00,727.6
2016-01-01 16:45:00,727.6
2016-01-01 17:00:00,727.6
2016-01-01 17:15:00,727.6
2016-01-01 17:30:00,727.6
2016-01-01 17:45:00,727.6
2016-01-01 18:00:00,727.6
2016-01-01 18:15:00,727.6
2016-01-01 18:30:00,727.6
2016-01-01 18:45:00,727.6
2016-01-01 19:00:00,727.6
2016-01-01 19:15:00,727.6
2016-01-01 19:30:00,727.6
2016-01-01 19:45:00,727.6
2016-01-01 20:00:00,727.6
2016-01-01 20:15:00,727.6
2016-01-01 20:30:00,514.1217658880138
2016-01-01 20:45:00,340.0
2016-01-01 21:00:00,612.9345909348543
2016-01-01 21:15:00,340.0
2016-01-01 21:30:00,340.0
2016-01-01 21:45:00,340.0
2016-01-01 22:00:00,540.6687102293275
2016-01-01 22:15:00,340.0
2016-01-01 22:30:00,340.0
2016-01-01 22:45:00,340.0
2016-01-01 23:00:00,340.0
2016-01-01 23:15:00,340.0
2016-01-01 23:30:00,340.0
2016-01-01 23:45:00,340.0
2016-01-02 00:00:00,340.0
2016-01-02 00:15:00,340.0
2016-01-02 00:30:00,340.0
2016-01-02 00:45:00,340.0
2016-01-02 01:00:00,340.0
2016-01-02 01:15:00,340.0
2016-01-02 01:30:00,340.0
2016-01-02 01:45:00,340.0
2016-01-02 02:00:00,340.0
2016-01-02 02:15:00,340.0
2016-01-02 02:30:00,340.0
2016-01-02 02:45:00,340.0
2016-01-02 03:00:00,340.0
2016-01-02 03:15:00,340.0
2016-01-02 03:30:00,340.0
2016-01-02 03:45:00,340.0
2016-01-02 04:00:00,340.0
2016-01-02 04:15:00,340.0
2016-01-02 04:30:00,340.0
2016-01-02 04:45:00,340.0
2016-01-02 05:00:00,340.0
2016-01-02 05:15:00,340.0
2016-01-02 05:30:00,340.0
2016-01-02 05:45:00,340.0
2016-01-02 06:00:00,340.0
2016-01-02 06:15:00,340.0
2016-01-02 06:30:00,340.0
2016-01-02 06:45:00,340.0
2016-01-02 07:00:00,340.0
2016-01-02 07:15:00,527.4214770882376
2016-01-02 07:30:00,727.6
2016-01-02 07:45:00,727.6
2016-01-02 08:00:00,727.6
2016-01-02 08:15:00,340.0
2016-01-02 08:30:00,768.4
2016-01-02 08:45:00,340.0
2016-01-02 09:00:00,340.0
2016-01-02 09:15:00,530.8130705584539
2016-01-02 09:30:00,727.6
2016-01-02 09:45:00,573.0715791298804
2016-01-02 10:00:00,727.6
2016-01-02 10:15:00,727.6
2016-01-02 10:30:00,727.6
2016-01-02 10:45:00,727.6
2016-01-02 11:00:00,340.0
2016-01-02 11:15:00,340.0
2016-01-02 11:30:00,390.9172588505302
2016-01-02 11:45:00,554.2386203306426
2016-01-02 12:00:00,340.0
2016-01-02 12:15:00,340.0
2016-01-02 12:30:00,454.1509894666582
2016-01-02 12:45:00,340.0
2016-01-02 13:00:00,340.0
2016-01-02 13:15:00,340.0
2016-01-02 13:30:00,340.0
2016-01-02 13:45:00,340.0
2016-01-02 14:00:00,340.0
2016-01-02 14:15:00,340.0
2016-01-02 14:30:00,340.0
2016-01-02 14:45:00,340.0
2016-01-02 15:00:00,340.0
2016-01-02 15:15:00,340.0
2016-01-02 15:30:00,340.0
2016-01-02 15:45:00,340.0
2016-01-02 16:00:00,340.0
2016-01-02 16:15:00,340.0
2016-01-02 16:30:00,768.4
2016-01-02 16:45:00,727.6
2016-01-02 17:00:00,727.6
2016-01-02 17:15:00,727.6
2016-01-02 17:30:00,727.6
2016-01-02 17:45:00,727.6
2016-01-02 18:00:00,727.6
2016-01-02 18:15:00,727.6
2016-01-02 18:30:00,727.6
2016-01-02 18:45:00,727.6
2016-01-02 19:00:00,727.6
2016-01-02 19:15:00,727.6
2016-01-02 19:30:00,727.6
2016-01-02 19:45:00,727.6
2016-01-02 20:00:00,727.6
2016-01-02 20:15:00,340.0
2016-01-02 20:30:00,340.0
2016-01-02 20:45:00,340.0
2016-01-02 21:00:00,340.0
2016-01-02 21:15:00,340.0
2016-01-02 21:30:00,340.0
2016-01-02 21:45:00,340.0
2016-01-02 22:00:00,340.0
2016-01-02 22:15:00,340.0
2016-01-02 22:30:00,340.0
2016-01-02 22:45:00,340.0
2016-01-02 23:00:00,340.0
2016-01-02 23:15:00,340.0
2016-01-02 23:30:00,340.0
2016-01-02 23:45:00,340.0
2016-01-03 00:00:00,340.0
2016-01-03 00:15:00,340.0
2016-01-03 00:30:00,340.0
2016-01-03 00:45:00,340.0
2016-01-03 01:00:00,340.0
2016-01-03 01:15:00,340.0
2016-01-03 01:30:00,340.0
2016-01-03 01:45:00,340.0
2016-01-03 02:00:00,340.0
2016-01-03 02:15:00,340.0
2016-01-03 02:30:00,340.0
2016-01-03 02:45:00,340.0
2016-01-03 03:00:00,340.0
2016-01-03 03:15:00,340.0
2016-01-03 03:30:00,340.0
2016-01-03 03:45:00,340.0
2016-01-03 04:00:00,340.0
2016-01-03 04:15:00,340.0
2016-01-03 04:30:00,340.0
2016-01-03 04:45:00,340.0
2016-01-03 05:00:00,340.0
2016-01-03 05:15:00,340.0
2016-01-03 05:30:00,340.0
2016-01-03 05:45:00,340.0
2016-01-03 06:00:00,340.0
2016-01-03 06:15:00,340.0
2016-01-03 06:30:00,340.0
2016-01-03 06:45:00,340.0
2016-01-03 07:00:00,340.0
2016-01-03 07:15:00,340.0
2016-01-03 07:30:00,340.0
2016-01-03 07:45:00,340.0
2016-01-03 08:00:00,340.0
2016-01-03 08:15:00,340.0
2016-01-03 08:30:00,340.0
2016-01-03 08:45:00,340.0
2016-01-03 09:00:00,340.0
2016-01-03 09:15:00,340.0
2016-01-03 09:30:00,340.0
2016-01-03 09:45:00,340.0
2016-01-03 10:00:00,340.0
2016-01-03 10:15:00,365.2289505599823
2016-01-03 10:30:00,762.3450518656042
2016-01-03 10:45:00,727.6
2016-01-03 11:00:00,446.08786481293794
2016-01-03 11:15:00,742.9389124448949
2016-01-03 11:30:00,727.6
2016-01-03 11:45:00,727.6
2016-01-03 12:00:00,727.6
2016-01-03 12:15:00,727.6
2016-01-03 12:30:00,693.3713939200039
2016-01-03 12:45:00,340.0
2016-01-03 13:00:00,587.1646654666678
2016-01-03 13:15:00,474.844665466671
2016-01-03 13:30:00,622.6326254666689
2016-01-03 13:45:00,340.0
2016-01-03 14:00:00,768.4
2016-01-03 14:15:00,727.6
2016-01-03 14:30:00,727.6
2016-01-03 14:45:00,727.6
2016-01-03 15:00:00,340.0
2016-01-03 15:15:00,340.0
2016-01-03 15:30:00,340.0
2016-01-03 15:45:00,340.0
2016-01-03 16:00:00,717.1245264403682
2016-01-03 16:15:00,727.6
2016-01-03 16:30:00,727.6
2016-01-03 16:45:00,727.6
2016-01-03 17:00:00,727.6
2016-01-03 17:15:00,727.6
2016-01-03 17:30:00,727.6
2016-01-03 17:45:00,727.6
2016-01-03 18:00:00,727.6
2016-01-03 18:15:00,727.6
2016-01-03 18:30:00,727.6
2016-01-03 18:45:00,727.6
2016-01-03 19:00:00,727.6
2016-01-03 19:15:00,727.6
2016-01-03 19:30:00,727.6
2016-01-03 19:45:00,727.6
2016-01-03 20:00:00,727.6
2016-01-03 20:15:00,727.6
2016-01-03 20:30:00,727.6
2016-01-03 20:45:00,727.6
2016-01-03 21:00:00,410.73948621635793
2016-01-03 21:15:00,340.0
2016-01-03 21:30:00,340.0
2016-01-03 21:45:00,374.8231919306403
2016-01-03 22:00:00,459.54477162666706
2016-01-03 22:15:00,340.0
2016-01-03 22:30:00,340.0
2016-01-03 22:45:00,340.0
2016-01-03 23:00:00,340.0
2016-01-03 23:15:00,340.0
2016-01-03 23:30:00,340.0
2016-01-03 23:45:00,340.0
2016-01-04 00:00:00,340.0
2016-01-04 00:15:00,340.0
2016-01-04 00:30:00,340.0
2016-01-04 00:45:00,340.0
2016-01-04 01:00:00,340.0
2016-01-04 01:15:00,340.0
2016-01-04 01:30:00,340.0
2016-01-04 01:45:00,340.0
2016-01-04 02:00:00,340.0
2016-01-04 02:15:00,340.0
2016-01-04 02:30:00,340.0
2016-01-04 02:45:00,340.0
2016-01-04 03:00:00,340.0
2016-01-04 03:15:00,340.0
2016-01-04 03:30:00,340.0
2016-01-04 03:45:00,340.0
2016-01-04 04:00:00,340.0
2016-01-04 04:15:00,340.0
2016-01-04 04:30:00,340.0
2016-01-04 04:45:00,340.0
2016-01-04 05:00:00,768.4
2016-01-04 05:15:00,727.6
2016-01-04 05:30:00,727.6
2016-01-04 05:45:00,727.6
2016-01-04 06:00:00,727.6
2016-01-04 06:15:00,727.6
2016-01-04 06:30:00,727.6
2016-01-04 06:45:00,727.6
2016-01-04 07:00:00,727.6
2016-01-04 07:15:00,727.6
2016-01-04 07:30:00,727.6
2016-01-04 07:45:00,727.6
2016-01-04 08:00:00,727.6
2016-01-04 08:15:00,727.6
2016-01-04 08:30:00,727.6
2016-01-04 08:45:00,727.6
2016-01-04 09:00:00,727.6
2016-01-04 09:15:00,727.6
2016-01-04 09:30:00,727.6
2016-01-04 09:45:00,727.6
2016-01-04 10:00:00,727.6
2016-01-04 10:15:00,727.6
2016-01-04 10:30:00,727.6
2016-01-04 10:45:00,727.6
2016-01-04 11:00:00,727.6
2016-01-04 11:15:00,727.6
2016-01-04 11:30:00,727.6
2016-01-04 11:45:00,727.6
2016-01-04 12:00:00,727.6
2016-01-04 12:15:00,727.6
2016-01-04 12:30:00,727.6
2016-01-04 12:45:00,727.6
2016-01-04 13:00:00,727.6
2016-01-04 13:15:00,727.6
2016-01-04 13:30:00,727.6
2016-01-04 13:45:00,727.6
2016-01-04 14:00:00,727.6
2016-01-04 14:15:00,727.6
2016-01-04 14:30:00,727.6
2016-01-04 14:45:00,727.6
2016-01-04 15:00:00,727.6
