,Power
2016-01-01 00:00:00,515.2
2016-01-01 00:15:00,573.4184571039999
2016-01-01 00:30:00,591.0344571039999
2016-01-01 00:45:00,591.0344571039999
2016-01-01 01:00:00,583.697427424
2016-01-01 01:15:00,555.617427424
2016-01-01 01:30:00,555.617427424
2016-01-01 01:45:00,555.617427424
2016-01-01 02:00:00,573.226298656
2016-01-01 02:15:00,573.226298656
2016-01-01 02:30:00,320.0
2016-01-01 02:45:00,533.2
2016-01-01 03:00:00,513.261942496
2016-01-01 03:15:00,513.261942496
2016-01-01 03:30:00,513.261942496
2016-01-01 03:45:00,513.261942496
2016-01-01 04:00:00,496.24
2016-01-01 04:15:00,496.24
2016-01-01 04:30:00,496.24
2016-01-01 04:45:00,496.24
2016-01-01 05:00:00,320.0
2016-01-01 05:15:00,533.2
2016-01-01 05:30:00,496.24
2016-01-01 05:45:00,496.24
2016-01-01 06:00:00,496.24
2016-01-01 06:15:00,496.24
2016-01-01 06:30:00,496.24
2016-01-01 06:45:00,496.24
2016-01-01 07:00:00,320.0
2016-01-01 07:15:00,320.0
2016-01-01 07:30:00,533.2
2016-01-01 07:45:00,496.24
2016-01-01 08:00:00,320.0
2016-01-01 08:15:00,320.0
2016-01-01 08:30:00,533.2
2016-01-01 08:45:00,496.24
2016-01-01 09:00:00,496.24
2016-01-01 09:15:00,320.0
2016-01-01 09:30:00,320.0
2016-01-01 09:45:00,533.2
2016-01-01 10:00:00,496.24
2016-01-01 10:15:00,496.24
2016-01-01 10:30:00,496.24
2016-01-01 10:45:00,496.24
2016-01-01 11:00:00,320.0
2016-01-01 11:15:00,320.0
2016-01-01 11:30:00,533.2
2016-01-01 11:45:00,320.0
2016-01-01 12:00:00,533.2
2016-01-01 12:15:00,496.24
2016-01-01 12:30:00,496.24
2016-01-01 12:45:00,496.24
2016-01-01 13:00:00,496.24
2016-01-01 13:15:00,496.24
2016-01-01 13:30:00,496.24
2016-01-01 13:45:00,496.24
2016-01-01 14:00:00,496.24
2016-01-01 14:15:00,496.24
2016-01-01 14:30:00,496.24
2016-01-01 14:45:00,496.24
2016-01-01 15:00:00,496.24
2016-01-01 15:15:00,496.24
2016-01-01 15:30:00,496.24
2016-01-01 15:45:00,496.24
2016-01-01 16:00:00,525.001189984
2016-01-01 16:15:00,525.001189984
2016-01-01 16:30:00,525.001189984
2016-01-01 16:45:00,525.001189984
2016-01-01 17:00:00,511.79453656
2016-01-01 17:15:00,511.79453656
2016-01-01 17:30:00,511.79453656
2016-01-01 17:45:00,511.79453656
2016-01-01 18:00:00,545.5448730879999
2016-01-01 18:15:00,545.5448730879999
2016-01-01 18:30:00,545.5448730879999
2016-01-01 18:45:00,545.5448730879999
2016-01-01 19:00:00,538.2078434079998
2016-01-01 19:15:00,538.2078434079998
2016-01-01 19:30:00,538.2078434079998
2016-01-01 19:45:00,538.2078434079998
2016-01-01 20:00:00,541.14265528
2016-01-01 20:15:00,541.14265528
2016-01-01 20:30:00,541.14265528
2016-01-01 20:45:00,541.14265528
2016-01-01 21:00:00,557.08483336
2016-01-01 21:15:00,585.16483336
2016-01-01 21:30:00,585.16483336
2016-01-01 21:45:00,557.08483336
2016-01-01 22:00:00,601.1070114399998
2016-01-01 22:15:00,610.0
2016-01-01 22:30:00,601.1070114399998
2016-01-01 22:45:00,601.1070114399998
2016-01-01 23:00:00,586.43295208
2016-01-01 23:15:00,586.43295208
2016-01-01 23:30:00,586.43295208
2016-01-01 23:45:00,586.43295208
2016-01-02 00:00:00,605.008635184
2016-01-02 00:15:00,320.0
2016-01-02 00:30:00,320.0
2016-01-02 00:45:00,320.0
2016-01-02 01:00:00,320.0
2016-01-02 01:15:00,320.0
2016-01-02 01:30:00,320.0
2016-01-02 01:45:00,320.0
2016-01-02 02:00:00,320.0
2016-01-02 02:15:00,320.0
2016-01-02 02:30:00,320.0
2016-01-02 02:45:00,320.0
2016-01-02 03:00:00,320.0
2016-01-02 03:15:00,320.0
2016-01-02 03:30:00,320.0
2016-01-02 03:45:00,320.0
2016-01-02 04:00:00,320.0
2016-01-02 04:15:00,320.0
2016-01-02 04:30:00,320.0
2016-01-02 04:45:00,320.0
2016-01-02 05:00:00,320.0
2016-01-02 05:15:00,320.0
2016-01-02 05:30:00,320.0
2016-01-02 05:45:00,320.0
2016-01-02 06:00:00,320.0
2016-01-02 06:15:00,320.0
2016-01-02 06:30:00,320.0
2016-01-02 06:45:00,320.0
2016-01-02 07:00:00,533.2
2016-01-02 07:15:00,496.24
2016-01-02 07:30:00,496.24
2016-01-02 07:45:00,496.24
2016-01-02 08:00:00,496.24
2016-01-02 08:15:00,320.0
2016-01-02 08:30:00,533.2
2016-01-02 08:45:00,496.24
2016-01-02 09:00:00,496.24
2016-01-02 09:15:00,496.24
2016-01-02 09:30:00,496.24
2016-01-02 09:45:00,496.24
2016-01-02 10:00:00,522.0663781119999
2016-01-02 10:15:00,522.0663781119999
2016-01-02 10:30:00,522.0663781119999
2016-01-02 10:45:00,522.0663781119999
2016-01-02 11:00:00,532.338219664
2016-01-02 11:15:00,510.17187413546196
2016-01-02 11:30:00,504.25821966399997
2016-01-02 11:45:00,532.338219664
2016-01-02 12:00:00,548.47968496
2016-01-02 12:15:00,548.47968496
2016-01-02 12:30:00,548.47968496
2016-01-02 12:45:00,548.47968496
2016-01-02 13:00:00,541.3200607039968
2016-01-02 13:15:00,551.4144968319999
2016-01-02 13:30:00,538.4778935963401
2016-01-02 13:45:00,550.8018799728982
2016-01-02 14:00:00,549.8356013590977
2016-01-02 14:15:00,535.0737443199998
2016-01-02 14:30:00,535.0737443199998
2016-01-02 14:45:00,535.0737443199998
2016-01-02 15:00:00,533.606338384
2016-01-02 15:15:00,533.606338384
2016-01-02 15:30:00,533.606338384
2016-01-02 15:45:00,533.606338384
2016-01-02 16:00:00,527.7367146399998
2016-01-02 16:15:00,527.7367146399998
2016-01-02 16:30:00,555.81671464
2016-01-02 16:45:00,555.81671464
2016-01-02 17:00:00,545.5448730879999
2016-01-02 17:15:00,545.5448730879999
2016-01-02 17:30:00,545.5448730879999
2016-01-02 17:45:00,545.5448730879999
2016-01-02 18:00:00,522.0663781119999
2016-01-02 18:15:00,522.0663781119999
2016-01-02 18:30:00,522.0663781119999
2016-01-02 18:45:00,522.0663781119999
2016-01-02 19:00:00,523.5337840479999
2016-01-02 19:15:00,523.5337840479999
2016-01-02 19:30:00,523.5337840479999
2016-01-02 19:45:00,523.5337840479999
2016-01-02 20:00:00,535.273031536
2016-01-02 20:15:00,535.273031536
2016-01-02 20:30:00,507.1930315359999
2016-01-02 20:45:00,507.1930315359999
2016-01-02 21:00:00,532.138932448
2016-01-02 21:15:00,532.138932448
2016-01-02 21:30:00,532.138932448
2016-01-02 21:45:00,532.138932448
2016-01-02 22:00:00,555.617427424
2016-01-02 22:15:00,555.617427424
2016-01-02 22:30:00,555.617427424
2016-01-02 22:45:00,400.9811208967692
2016-01-02 23:00:00,320.0
2016-01-02 23:15:00,320.0
2016-01-02 23:30:00,320.0
2016-01-02 23:45:00,320.0
2016-01-03 00:00:00,320.0
2016-01-03 00:15:00,320.0
2016-01-03 00:30:00,320.0
2016-01-03 00:45:00,320.0
2016-01-03 01:00:00,320.0
2016-01-03 01:15:00,320.0
2016-01-03 01:30:00,320.0
2016-01-03 01:45:00,320.0
2016-01-03 02:00:00,320.0
2016-01-03 02:15:00,320.0
2016-01-03 02:30:00,320.0
2016-01-03 02:45:00,320.0
2016-01-03 03:00:00,320.0
2016-01-03 03:15:00,320.0
2016-01-03 03:30:00,320.0
2016-01-03 03:45:00,320.0
2016-01-03 04:00:00,320.0
2016-01-03 04:15:00,320.0
2016-01-03 04:30:00,320.0
2016-01-03 04:45:00,320.0
2016-01-03 05:00:00,320.0
2016-01-03 05:15:00,320.0
