,Price
2019-01-01 00:00:00,49.11689655172414
2019-01-01 00:15:00,45.64
2019-01-01 00:30:00,44.61
2019-01-01 00:45:00,44.61
2019-01-01 01:00:00,44.5
2019-01-01 01:15:00,43.64
2019-01-01 01:30:00,43.3919540229885
2019-01-01 01:45:00,42.574374999999996
2019-01-01 02:00:00,38.91
2019-01-01 02:15:00,58.24861111111111
2019-01-01 02:30:00,37.53142857142857
2019-01-01 02:45:00,60.06
2019-01-01 03:00:00,55.24020833333333
2019-01-01 03:15:00,54.10916666666667
2019-01-01 03:30:00,52.711999999999996
2019-01-01 03:45:00,50.8904
2019-01-01 04:00:00,49.192
2019-01-01 04:15:00,48.0216
2019-01-01 04:30:00,47.5816
2019-01-01 04:45:00,34.86
2019-01-01 05:00:00,34.78050420168067
2019-01-01 05:15:00,34.87
2019-01-01 05:30:00,34.67
2019-01-01 05:45:00,34.67
2019-01-01 06:00:00,47.9512
2019-01-01 06:15:00,54.62
2019-01-01 06:30:00,54.58
2019-01-01 06:45:00,53.94
2019-01-01 07:00:00,54.49
2019-01-01 07:15:00,54.45
2019-01-01 07:30:00,53.9088
2019-01-01 07:45:00,53.76
2019-01-01 08:00:00,51.9376
2019-01-01 08:15:00,51.9376
2019-01-01 08:30:00,51.0576
2019-01-01 08:45:00,50.204
2019-01-01 09:00:00,44.088
2019-01-01 09:15:00,36.14
2019-01-01 09:30:00,36.96
2019-01-01 09:45:00,37.06
2019-01-01 10:00:00,38.4384
2019-01-01 10:15:00,46.45
2019-01-01 10:30:00,46.82
2019-01-01 10:45:00,44.105599999999995
2019-01-01 11:00:00,46.46
2019-01-01 11:15:00,47.0578354978355
2019-01-01 11:30:00,46.83
2019-01-01 11:45:00,46.83
2019-01-01 12:00:00,47.0888
2019-01-01 12:15:00,47.12428571428571
2019-01-01 12:30:00,46.83
2019-01-01 12:45:00,47.0888
2019-01-01 13:00:00,47.0888
2019-01-01 13:15:00,46.84
2019-01-01 13:30:00,46.84
2019-01-01 13:45:00,46.84
2019-01-01 14:00:00,47.42
2019-01-01 14:15:00,47.66
2019-01-01 14:30:00,47.38
2019-01-01 14:45:00,47.6872
2019-01-01 15:00:00,49.93
2019-01-01 15:15:00,49.5
2019-01-01 15:30:00,49.89
2019-01-01 15:45:00,48.89
2019-01-01 16:00:00,50.239200000000004
2019-01-01 16:15:00,50.9041798941799
2019-01-01 16:30:00,53.77
2019-01-01 16:45:00,54.37
2019-01-01 17:00:00,52.3
2019-01-01 17:15:00,52.9144
2019-01-01 17:30:00,53.78
2019-01-01 17:45:00,54.38
2019-01-01 18:00:00,37.64
2019-01-01 18:15:00,37.63142857142857
2019-01-01 18:30:00,48.91
2019-01-01 18:45:00,56.36057692307692
2019-01-01 19:00:00,37.14
2019-01-01 19:15:00,36.96333333333334
2019-01-01 19:30:00,58.29
2019-01-01 19:45:00,52.008
2019-01-01 20:00:00,52.008
2019-01-01 20:15:00,50.2656
2019-01-01 20:30:00,48.637600000000006
2019-01-01 20:45:00,47.7224
2019-01-01 21:00:00,45.79
2019-01-01 21:15:00,45.79
2019-01-01 21:30:00,45.79
2019-01-01 21:45:00,45.8
2019-01-01 22:00:00,49.94
2019-01-01 22:15:00,47.1328
2019-01-01 22:30:00,46.684
2019-01-01 22:45:00,45.57
2019-01-01 23:00:00,45.57
2019-01-01 23:15:00,45.57
2019-01-01 23:30:00,45.58
2019-01-01 23:45:00,44.78
2019-01-02 00:00:00,47.18
2019-01-02 00:15:00,47.74
2019-01-02 00:30:00,45.78
2019-01-02 00:45:00,47.13
2019-01-02 01:00:00,47.1328
2019-01-02 01:15:00,45.72
2019-01-02 01:30:00,45.71
2019-01-02 01:45:00,45.69
2019-01-02 02:00:00,46.49
2019-01-02 02:15:00,46.39
2019-01-02 02:30:00,46.37
2019-01-02 02:45:00,46.36
2019-01-02 03:00:00,47.004285714285714
2019-01-02 03:15:00,46.95
2019-01-02 03:30:00,46.97
2019-01-02 03:45:00,47.071200000000005
2019-01-02 04:00:00,44.51
