,Power
2019-01-01 00:00:00,10175.513563809523
2019-01-01 00:15:00,10165.095558095234
2019-01-01 00:30:00,10179.911007619046
2019-01-01 00:45:00,10173.867167619046
2019-01-01 01:00:00,10246.672584761904
2019-01-01 01:15:00,10193.549855238094
2019-01-01 01:30:00,10211.395689523808
2019-01-01 01:45:00,10220.131323809524
2019-01-01 02:00:00,10161.081144761903
2019-01-01 02:15:00,10199.009626666666
2019-01-01 02:30:00,10204.405912380951
2019-01-01 02:45:00,10183.161476190477
2019-01-01 03:00:00,10183.751893333332
2019-01-01 03:15:00,10166.78851047619
2019-01-01 03:30:00,10172.961438095235
2019-01-01 03:45:00,10136.708979047618
2019-01-01 04:00:00,10175.136881904762
2019-01-01 04:15:00,10182.812304761905
2019-01-01 04:30:00,10197.62352190476
2019-01-01 04:45:00,10179.953331428567
2019-01-01 05:00:00,10164.828918095238
2019-01-01 05:15:00,10192.95943809524
2019-01-01 05:30:00,10210.803156190475
2019-01-01 05:45:00,10171.47164
2019-01-01 06:00:00,10164.346426666663
2019-01-01 06:15:00,12347.302854336282
2019-01-01 06:30:00,14311.37126218542
2019-01-01 06:45:00,14311.504942185418
2019-01-01 07:00:00,14311.428478185418
2019-01-01 07:15:00,14311.352446185418
2019-01-01 07:30:00,14311.071358185418
2019-01-01 07:45:00,14311.29873418542
2019-01-01 08:00:00,14311.50177418542
2019-01-01 08:15:00,14310.647518185418
2019-01-01 08:30:00,14311.403470185418
2019-01-01 08:45:00,14310.68999818542
2019-01-01 09:00:00,10200.355523809523
2019-01-01 09:15:00,10146.61909904762
2019-01-01 09:30:00,10177.75884190476
2019-01-01 09:45:00,10224.698062857142
2019-01-01 10:00:00,10187.156843809522
2019-01-01 10:15:00,10222.272908571427
2019-01-01 10:30:00,10186.739954285717
2019-01-01 10:45:00,10185.760158095238
2019-01-01 11:00:00,10180.19669333333
2019-01-01 11:15:00,10206.941108571427
2019-01-01 11:30:00,10187.529293333331
2019-01-01 11:45:00,10203.52346095238
2019-01-01 12:00:00,10171.98799047619
2019-01-01 12:15:00,10193.02927238095
2019-01-01 12:30:00,10178.584156190474
2019-01-01 12:45:00,10189.734363809524
2019-01-01 13:00:00,10151.154095238096
2019-01-01 13:15:00,10179.557603809522
2019-01-01 13:30:00,10200.952289523808
2019-01-01 13:45:00,10204.966702857142
2019-01-01 14:00:00,10197.849954285712
2019-01-01 14:15:00,10178.990464761904
2019-01-01 14:30:00,10186.769580952378
2019-01-01 14:45:00,10248.11159428571
2019-01-01 15:00:00,10178.38100190476
2019-01-01 15:15:00,10172.364672380954
2019-01-01 15:30:00,10157.153495238092
2019-01-01 15:45:00,10202.450552380951
2019-01-01 16:00:00,10171.30869333333
2019-01-01 16:15:00,10167.24772380952
2019-01-01 16:30:00,10188.045643809524
2019-01-01 16:45:00,10192.680100952382
2019-01-01 17:00:00,10180.057024761909
2019-01-01 17:15:00,10172.747702857145
2019-01-01 17:30:00,10190.46444952381
2019-01-01 17:45:00,10216.859693333332
2019-01-01 18:00:00,592.5
2019-01-01 18:15:00,592.5
2019-01-01 18:30:00,6297.590297142859
2019-01-01 18:45:00,10180.886571428571
2019-01-01 19:00:00,592.5
2019-01-01 19:15:00,592.5
2019-01-01 19:30:00,10194.851312380952
2019-01-01 19:45:00,10187.93560190476
2019-01-01 20:00:00,10199.126017142857
2019-01-01 20:15:00,10188.881539047616
2019-01-01 20:30:00,10226.884087619046
2019-01-01 20:45:00,10248.778194285713
2019-01-01 21:00:00,10257.609057142858
2019-01-01 21:15:00,10336.441384761903
2019-01-01 21:30:00,10393.311887619046
2019-01-01 21:45:00,10462.162144761904
2019-01-01 22:00:00,10590.97889142857
2019-01-01 22:15:00,10692.64703047619
2019-01-01 22:30:00,10821.319876190477
2019-01-01 22:45:00,11008.89265142857
2019-01-01 23:00:00,11230.466259047618
2019-01-01 23:15:00,11453.480992380952
2019-01-01 23:30:00,11622.145605714284
2019-01-01 23:45:00,11656.658556190476
2019-01-02 00:00:00,14277.555406185416
2019-01-02 00:15:00,14277.310654185416
2019-01-02 00:30:00,14277.257998185416
2019-01-02 00:45:00,14276.973406185416
2019-01-02 01:00:00,14276.765086185416
2019-01-02 01:15:00,14276.68339018542
2019-01-02 01:30:00,14275.31961418542
2019-01-02 01:45:00,14274.09820618542
2019-01-02 02:00:00,14273.886094185418
2019-01-02 02:15:00,14274.790366185418
2019-01-02 02:30:00,14275.40107018542
2019-01-02 02:45:00,14275.015006185418
2019-01-02 03:00:00,14276.432302185418
2019-01-02 03:15:00,14277.18604618542
2019-01-02 03:30:00,14277.14063818542
2019-01-02 03:45:00,14277.39287818542
2019-01-02 04:00:00,11705.650481904762
2019-01-02 04:15:00,12018.733907800244
2019-01-02 04:30:00,14274.646270185418
2019-01-02 04:45:00,11842.26539047619
2019-01-02 05:00:00,11919.58464190476
2019-01-02 05:15:00,12033.522453333331
2019-01-02 05:30:00,12204.838653333334
2019-01-02 05:45:00,12312.250133333331
2019-01-02 06:00:00,12474.970367619047
2019-01-02 06:15:00,12651.05222857143
2019-01-02 06:30:00,12856.881379047618
2019-01-02 06:45:00,13024.07312380952
2019-01-02 07:00:00,13206.49509142857
2019-01-02 07:15:00,13360.820398095237
2019-01-02 07:30:00,13534.597727619048
2019-01-02 07:45:00,13665.92216
2019-01-02 08:00:00,13779.064283809525
2019-01-02 08:15:00,13888.094649523808
2019-01-02 08:30:00,13978.33959238095
2019-01-02 08:45:00,14009.388339047617
2019-01-02 09:00:00,14030.30688190476
2019-01-02 09:15:00,14065.846184761904
2019-01-02 09:30:00,14107.36584190476
2019-01-02 09:45:00,14084.439034285711
2019-01-02 10:00:00,14064.796554285713
2019-01-02 10:15:00,14080.714539047618
2019-01-02 10:30:00,14074.268622857144
2019-01-02 10:45:00,14058.500887619046
2019-01-02 11:00:00,14071.57682857143
2019-01-02 11:15:00,14099.679838095237
2019-01-02 11:30:00,14106.04957142857
2019-01-02 11:45:00,14095.252767619046
2019-01-02 12:00:00,14142.31896
2019-01-02 12:15:00,14145.863579047618
2019-01-02 12:30:00,14147.086737142856
2019-01-02 12:45:00,14142.608878095236
2019-01-02 13:00:00,14135.65296
2019-01-02 13:15:00,14134.561005714284
2019-01-02 13:30:00,14110.104192380952
2019-01-02 13:45:00,14089.822622857144
2019-01-02 14:00:00,14066.83867809524
2019-01-02 14:15:00,14026.75168190476
2019-01-02 14:30:00,13955.395855238094
2019-01-02 14:45:00,13885.2864647619
2019-01-02 15:00:00,13825.370763809524
2019-01-02 15:15:00,13782.371889523807
2019-01-02 15:30:00,13705.16268
2019-01-02 15:45:00,13627.824382857145
2019-01-02 16:00:00,13535.363788571423
2019-01-02 16:15:00,13497.285057142855
2019-01-02 16:30:00,13366.970047619046
2019-01-02 16:45:00,13292.772177142857
2019-01-02 17:00:00,13202.4574
2019-01-02 17:15:00,13154.991247619044
2019-01-02 17:30:00,13085.063849523807
2019-01-02 17:45:00,13003.374664761905
2019-01-02 18:00:00,12972.222224761905
2019-01-02 18:15:00,12963.224182857142
2019-01-02 18:30:00,592.5
2019-01-02 18:45:00,592.5
2019-01-02 19:00:00,592.5
2019-01-02 19:15:00,7442.341944761906
2019-01-02 19:30:00,12875.770495238094
2019-01-02 19:45:00,12897.704809523808
2019-01-02 20:00:00,12867.642207619048
2019-01-02 20:15:00,12830.919954285711
2019-01-02 20:30:00,12812.837106666666
2019-01-02 20:45:00,12850.238657142856
2019-01-02 21:00:00,12800.34735047619
2019-01-02 21:15:00,12781.458234285714
2019-01-02 21:30:00,12731.753152380952
