,Power
2019-01-01 00:00:00,10175.513563809523
2019-01-01 00:15:00,10165.095558095236
2019-01-01 00:30:00,10179.911007619046
2019-01-01 00:45:00,10173.867167619048
2019-01-01 01:00:00,10246.672584761904
2019-01-01 01:15:00,10193.549855238094
2019-01-01 01:30:00,10211.395689523808
2019-01-01 01:45:00,10220.131323809523
2019-01-01 02:00:00,10161.081144761905
2019-01-01 02:15:00,10199.009626666666
2019-01-01 02:30:00,10204.405912380951
2019-01-01 02:45:00,10183.161476190475
2019-01-01 03:00:00,10183.751893333334
2019-01-01 03:15:00,10166.78851047619
2019-01-01 03:30:00,10172.961438095237
2019-01-01 03:45:00,10136.708979047618
2019-01-01 04:00:00,10175.136881904762
2019-01-01 04:15:00,10182.812304761903
2019-01-01 04:30:00,10197.623521904761
2019-01-01 04:45:00,10179.95333142857
2019-01-01 05:00:00,10164.828918095238
2019-01-01 05:15:00,10192.959438095239
2019-01-01 05:30:00,10210.803156190477
2019-01-01 05:45:00,10171.47164
2019-01-01 06:00:00,10164.346426666665
2019-01-01 06:15:00,10195.28513142857
2019-01-01 06:30:00,10191.687607619047
2019-01-01 06:45:00,10185.794017142858
2019-01-01 07:00:00,10189.16510857143
2019-01-01 07:15:00,10192.517154285713
2019-01-01 07:30:00,10204.909565714284
2019-01-01 07:45:00,10194.885171428572
2019-01-01 08:00:00,10185.933685714284
2019-01-01 08:15:00,10223.595527619047
2019-01-01 08:30:00,10190.267643809524
2019-01-01 08:45:00,10221.722699047617
2019-01-01 09:00:00,10200.355523809523
2019-01-01 09:15:00,10146.619099047619
2019-01-01 09:30:00,10177.75884190476
2019-01-01 09:45:00,10224.698062857142
2019-01-01 10:00:00,10187.156843809522
2019-01-01 10:15:00,10222.272908571427
2019-01-01 10:30:00,10186.739954285715
2019-01-01 10:45:00,10185.760158095238
2019-01-01 11:00:00,10180.196693333333
2019-01-01 11:15:00,10206.94110857143
2019-01-01 11:30:00,10187.529293333333
2019-01-01 11:45:00,10203.523460952381
2019-01-01 12:00:00,10171.98799047619
2019-01-01 12:15:00,10193.02927238095
2019-01-01 12:30:00,10178.584156190476
2019-01-01 12:45:00,10189.734363809523
2019-01-01 13:00:00,10151.154095238095
2019-01-01 13:15:00,10179.557603809522
2019-01-01 13:30:00,10200.952289523808
2019-01-01 13:45:00,10204.966702857142
2019-01-01 14:00:00,10197.849954285715
2019-01-01 14:15:00,10178.990464761904
2019-01-01 14:30:00,10186.769580952381
2019-01-01 14:45:00,10248.111594285712
2019-01-01 15:00:00,10178.381001904761
2019-01-01 15:15:00,10172.364672380952
2019-01-01 15:30:00,10157.153495238095
2019-01-01 15:45:00,10202.450552380953
2019-01-01 16:00:00,10171.308693333332
2019-01-01 16:15:00,10167.247723809525
2019-01-01 16:30:00,10188.045643809524
2019-01-01 16:45:00,10192.68010095238
2019-01-01 17:00:00,10180.057024761905
2019-01-01 17:15:00,10172.747702857143
2019-01-01 17:30:00,10190.46444952381
2019-01-01 17:45:00,10216.859693333332
2019-01-01 18:00:00,10195.725299047619
2019-01-01 18:15:00,10190.221087619047
2019-01-01 18:30:00,10194.311683809523
2019-01-01 18:45:00,10180.886571428571
2019-01-01 19:00:00,10202.60080190476
2019-01-01 19:15:00,10208.540948571428
2019-01-01 19:30:00,10194.851312380952
2019-01-01 19:45:00,10187.935601904761
2019-01-01 20:00:00,10199.126017142858
