,Power
2019-01-01 00:00:00,4926.0
2019-01-01 00:15:00,4937.0
2019-01-01 00:30:00,4926.0
2019-01-01 00:45:00,4934.0
2019-01-01 01:00:00,4916.0
2019-01-01 01:15:00,4911.0
2019-01-01 01:30:00,4907.0
2019-01-01 01:45:00,4882.0
2019-01-01 02:00:00,4864.0
2019-01-01 02:15:00,4868.0
2019-01-01 02:30:00,4864.0
2019-01-01 02:45:00,4870.0
2019-01-01 03:00:00,4863.0
2019-01-01 03:15:00,4859.0
2019-01-01 03:30:00,4874.0
2019-01-01 03:45:00,4867.0
2019-01-01 04:00:00,4868.0
2019-01-01 04:15:00,4858.0
2019-01-01 04:30:00,4866.0
2019-01-01 04:45:00,4877.0
2019-01-01 05:00:00,4862.0
2019-01-01 05:15:00,4860.0
2019-01-01 05:30:00,4866.0
2019-01-01 05:45:00,4851.0
2019-01-01 06:00:00,4865.0
2019-01-01 06:15:00,4870.0
2019-01-01 06:30:00,4870.0
2019-01-01 06:45:00,4868.0
2019-01-01 07:00:00,4883.0
2019-01-01 07:15:00,4874.0
2019-01-01 07:30:00,4878.0
2019-01-01 07:45:00,4891.0
2019-01-01 08:00:00,4903.0
2019-01-01 08:15:00,4900.0
2019-01-01 08:30:00,4900.0
2019-01-01 08:45:00,4901.0
2019-01-01 09:00:00,4896.0
2019-01-01 09:15:00,4892.0
2019-01-01 09:30:00,4903.0
2019-01-01 09:45:00,4913.0
2019-01-01 10:00:00,4926.0
2019-01-01 10:15:00,4912.0
2019-01-01 10:30:00,4908.0
2019-01-01 10:45:00,4889.0
2019-01-01 11:00:00,4904.0
2019-01-01 11:15:00,4895.0
2019-01-01 11:30:00,4913.0
2019-01-01 11:45:00,4907.0
2019-01-01 12:00:00,4909.0
2019-01-01 12:15:00,4914.0
2019-01-01 12:30:00,4900.0
2019-01-01 12:45:00,4907.0
2019-01-01 13:00:00,4909.0
2019-01-01 13:15:00,4908.0
2019-01-01 13:30:00,4905.0
2019-01-01 13:45:00,4894.0
2019-01-01 14:00:00,4897.0
2019-01-01 14:15:00,4900.0
2019-01-01 14:30:00,4909.0
2019-01-01 14:45:00,4906.0
2019-01-01 15:00:00,4898.0
2019-01-01 15:15:00,4898.0
2019-01-01 15:30:00,4894.0
2019-01-01 15:45:00,4897.0
2019-01-01 16:00:00,4899.0
2019-01-01 16:15:00,4892.0
2019-01-01 16:30:00,4901.0
2019-01-01 16:45:00,4885.0
2019-01-01 17:00:00,4894.0
2019-01-01 17:15:00,4871.0
2019-01-01 17:30:00,4894.0
2019-01-01 17:45:00,4900.0
2019-01-01 18:00:00,4915.0
2019-01-01 18:15:00,4912.0
2019-01-01 18:30:00,4908.0
2019-01-01 18:45:00,4905.0
2019-01-01 19:00:00,4890.0
2019-01-01 19:15:00,4901.0
2019-01-01 19:30:00,4882.0
2019-01-01 19:45:00,4885.0
2019-01-01 20:00:00,4883.0
2019-01-01 20:15:00,4888.0
2019-01-01 20:30:00,4891.0
2019-01-01 20:45:00,4867.0
2019-01-01 21:00:00,4893.0
2019-01-01 21:15:00,4881.0
2019-01-01 21:30:00,4889.0
2019-01-01 21:45:00,4879.0
2019-01-01 22:00:00,4858.0
2019-01-01 22:15:00,4858.0
2019-01-01 22:30:00,4856.0
2019-01-01 22:45:00,4851.0
2019-01-01 23:00:00,4851.0
2019-01-01 23:15:00,4855.0
2019-01-01 23:30:00,4839.0
2019-01-01 23:45:00,4849.0
2019-01-02 00:00:00,4830.0
2019-01-02 00:15:00,4817.0
2019-01-02 00:30:00,4815.0
2019-01-02 00:45:00,4816.0
2019-01-02 01:00:00,4800.0
2019-01-02 01:15:00,4794.0
2019-01-02 01:30:00,4815.0
2019-01-02 01:45:00,4817.0
2019-01-02 02:00:00,4816.0
2019-01-02 02:15:00,4811.0
2019-01-02 02:30:00,4805.0
2019-01-02 02:45:00,4804.0
2019-01-02 03:00:00,4807.0
2019-01-02 03:15:00,4799.0
2019-01-02 03:30:00,4792.0
2019-01-02 03:45:00,4792.0
2019-01-02 04:00:00,4781.0
2019-01-02 04:15:00,4784.0
2019-01-02 04:30:00,4786.0
2019-01-02 04:45:00,4769.0
2019-01-02 05:00:00,4787.0
2019-01-02 05:15:00,4789.0
2019-01-02 05:30:00,4793.0
2019-01-02 05:45:00,4783.0
2019-01-02 06:00:00,4794.0
2019-01-02 06:15:00,4792.0
2019-01-02 06:30:00,4791.0
2019-01-02 06:45:00,4794.0
2019-01-02 07:00:00,4812.0
2019-01-02 07:15:00,4830.0
2019-01-02 07:30:00,4831.0
2019-01-02 07:45:00,4838.0
2019-01-02 08:00:00,4861.0
2019-01-02 08:15:00,4863.0
2019-01-02 08:30:00,4865.0
2019-01-02 08:45:00,4832.0
2019-01-02 09:00:00,4851.0
2019-01-02 09:15:00,4870.0
2019-01-02 09:30:00,4870.0
2019-01-02 09:45:00,4853.0
2019-01-02 10:00:00,4875.0
2019-01-02 10:15:00,4875.0
2019-01-02 10:30:00,4860.0
2019-01-02 10:45:00,4866.0
2019-01-02 11:00:00,4890.0
2019-01-02 11:15:00,4886.0
2019-01-02 11:30:00,4883.0
2019-01-02 11:45:00,4870.0
2019-01-02 12:00:00,4880.0
2019-01-02 12:15:00,4898.0
2019-01-02 12:30:00,4891.0
2019-01-02 12:45:00,4889.0
2019-01-02 13:00:00,4893.0
2019-01-02 13:15:00,4885.0
2019-01-02 13:30:00,4903.0
2019-01-02 13:45:00,4884.0
2019-01-02 14:00:00,4907.0
2019-01-02 14:15:00,4895.0
2019-01-02 14:30:00,4915.0
2019-01-02 14:45:00,4900.0
2019-01-02 15:00:00,4913.0
2019-01-02 15:15:00,4912.0
2019-01-02 15:30:00,4905.0
2019-01-02 15:45:00,4905.0
2019-01-02 16:00:00,4903.0
2019-01-02 16:15:00,4909.0
2019-01-02 16:30:00,4900.0
2019-01-02 16:45:00,4913.0
2019-01-02 17:00:00,4901.0
2019-01-02 17:15:00,4896.0
2019-01-02 17:30:00,4920.0
2019-01-02 17:45:00,4921.0
2019-01-02 18:00:00,4917.0
2019-01-02 18:15:00,4913.0
2019-01-02 18:30:00,4905.0
2019-01-02 18:45:00,4919.0
2019-01-02 19:00:00,4911.0
2019-01-02 19:15:00,4917.0
2019-01-02 19:30:00,4903.0
2019-01-02 19:45:00,4903.0
2019-01-02 20:00:00,4897.0
2019-01-02 20:15:00,4901.0
2019-01-02 20:30:00,4888.0
2019-01-02 20:45:00,4897.0
2019-01-02 21:00:00,4898.0
2019-01-02 21:15:00,4891.0
2019-01-02 21:30:00,4893.0
2019-01-02 21:45:00,4879.0
2019-01-02 22:00:00,4873.0
2019-01-02 22:15:00,4859.0
2019-01-02 22:30:00,4864.0
2019-01-02 22:45:00,4839.0
2019-01-02 23:00:00,4846.0
2019-01-02 23:15:00,4849.0
2019-01-02 23:30:00,4854.0
2019-01-02 23:45:00,4838.0
2019-01-03 00:00:00,4844.0
2019-01-03 00:15:00,4839.0
2019-01-03 00:30:00,4825.0
2019-01-03 00:45:00,4826.0
2019-01-03 01:00:00,4807.0
2019-01-03 01:15:00,4791.0
2019-01-03 01:30:00,4811.0
2019-01-03 01:45:00,4796.0
2019-01-03 02:00:00,4804.0
2019-01-03 02:15:00,4798.0
2019-01-03 02:30:00,4773.0
2019-01-03 02:45:00,4793.0
2019-01-03 03:00:00,4804.0
2019-01-03 03:15:00,4777.0
2019-01-03 03:30:00,4789.0
2019-01-03 03:45:00,4806.0
2019-01-03 04:00:00,4828.0
2019-01-03 04:15:00,4792.0
2019-01-03 04:30:00,4805.0
2019-01-03 04:45:00,4792.0
2019-01-03 05:00:00,4810.0
2019-01-03 05:15:00,4809.0
2019-01-03 05:30:00,4811.0
2019-01-03 05:45:00,4789.0
2019-01-03 06:00:00,4797.0
2019-01-03 06:15:00,4803.0
2019-01-03 06:30:00,4815.0
2019-01-03 06:45:00,4807.0
2019-01-03 07:00:00,4846.0
2019-01-03 07:15:00,4849.0
