,Power
2019-01-01 00:00:00,97.106562284
2019-01-01 00:15:00,188.69442505184
2019-01-01 00:30:00,187.106562284
2019-01-01 00:45:00,90.0
2019-01-01 01:00:00,90.0
2019-01-01 01:15:00,90.0
2019-01-01 01:30:00,90.0
2019-01-01 01:45:00,90.0
2019-01-01 02:00:00,90.0
2019-01-01 02:15:00,90.0
2019-01-01 02:30:00,202.033346588
2019-01-01 02:45:00,202.033346588
2019-01-01 03:00:00,197.85211614800002
2019-01-01 03:15:00,197.85211614800002
2019-01-01 03:30:00,197.85211614800002
2019-01-01 03:45:00,197.85211614800002
2019-01-01 04:00:00,90.0
2019-01-01 04:15:00,90.0
2019-01-01 04:30:00,90.0
2019-01-01 04:45:00,90.0
2019-01-01 05:00:00,90.0
2019-01-01 05:15:00,90.0
2019-01-01 05:30:00,90.0
2019-01-01 05:45:00,90.0
2019-01-01 06:00:00,90.0
2019-01-01 06:15:00,90.0
2019-01-01 06:30:00,190.4
2019-01-01 06:45:00,185.57716434800003
2019-01-01 07:00:00,183.793680008
2019-01-01 07:15:00,183.793680008
2019-01-01 07:30:00,183.793680008
2019-01-01 07:45:00,183.793680008
2019-01-01 08:00:00,185.511624812
2019-01-01 08:15:00,185.511624812
2019-01-01 08:30:00,185.511624812
2019-01-01 08:45:00,185.511624812
2019-01-01 09:00:00,90.0
2019-01-01 09:15:00,90.0
2019-01-01 09:30:00,90.0
2019-01-01 09:45:00,90.0
2019-01-01 10:00:00,97.95685078640818
2019-01-01 10:15:00,188.82904965199998
2019-01-01 10:30:00,188.82904965199998
2019-01-01 10:45:00,188.82904965199998
2019-01-01 11:00:00,190.3635386
2019-01-01 11:15:00,190.3635386
2019-01-01 11:30:00,90.0
2019-01-01 11:45:00,90.0
2019-01-01 12:00:00,90.0
2019-01-01 12:15:00,90.0
2019-01-01 12:30:00,157.76239376408503
2019-01-01 12:45:00,193.118941352
2019-01-01 13:00:00,193.250363204
2019-01-01 13:15:00,90.0
2019-01-01 13:30:00,90.0
2019-01-01 13:45:00,90.0
2019-01-01 14:00:00,195.545755196
2019-01-01 14:15:00,195.545755196
2019-01-01 14:30:00,116.0698621794883
2019-01-01 14:45:00,195.545755196
2019-01-01 15:00:00,196.15967417599998
2019-01-01 15:15:00,188.01597276655914
2019-01-01 15:30:00,196.15967417599998
2019-01-01 15:45:00,90.0
2019-01-01 16:00:00,198.432991136
2019-01-01 16:15:00,198.432991136
2019-01-01 16:30:00,198.432991136
2019-01-01 16:45:00,198.432991136
2019-01-01 17:00:00,197.796448676
2019-01-01 17:15:00,197.796448676
2019-01-01 17:30:00,197.796448676
2019-01-01 17:45:00,197.796448676
2019-01-01 18:00:00,90.0
2019-01-01 18:15:00,90.0
2019-01-01 18:30:00,199.36021103599998
2019-01-01 18:45:00,199.36021103599998
2019-01-01 19:00:00,90.0
2019-01-01 19:15:00,90.0
2019-01-01 19:30:00,199.038066392
2019-01-01 19:45:00,199.038066392
2019-01-01 20:00:00,199.148167328
2019-01-01 20:15:00,199.148167328
2019-01-01 20:30:00,199.148167328
2019-01-01 20:45:00,199.148167328
2019-01-01 21:00:00,201.267233288
2019-01-01 21:15:00,201.267233288
