,Power
2019-01-01 00:00:00,3179.0
2019-01-01 00:15:00,3176.0
2019-01-01 00:30:00,3169.0
2019-01-01 00:45:00,3022.0
2019-01-01 01:00:00,2862.0
2019-01-01 01:15:00,2867.0
2019-01-01 01:30:00,2871.0
2019-01-01 01:45:00,2872.0
2019-01-01 02:00:00,2570.0
2019-01-01 02:15:00,2388.0
2019-01-01 02:30:00,2389.0
2019-01-01 02:45:00,2491.0
2019-01-01 03:00:00,2690.0
2019-01-01 03:15:00,2707.0
2019-01-01 03:30:00,2702.0
2019-01-01 03:45:00,2692.0
2019-01-01 04:00:00,2571.0
2019-01-01 04:15:00,2616.0
2019-01-01 04:30:00,2569.0
2019-01-01 04:45:00,2557.0
2019-01-01 05:00:00,2430.0
2019-01-01 05:15:00,2419.0
2019-01-01 05:30:00,2420.0
2019-01-01 05:45:00,2246.0
2019-01-01 06:00:00,1919.0
2019-01-01 06:15:00,1939.0
2019-01-01 06:30:00,1940.0
2019-01-01 06:45:00,1923.0
2019-01-01 07:00:00,1923.0
2019-01-01 07:15:00,2036.0
2019-01-01 07:30:00,2067.0
2019-01-01 07:45:00,2152.0
2019-01-01 08:00:00,2207.0
2019-01-01 08:15:00,2211.0
2019-01-01 08:30:00,2282.0
2019-01-01 08:45:00,2132.0
2019-01-01 09:00:00,2106.0
2019-01-01 09:15:00,2025.0
2019-01-01 09:30:00,2073.0
2019-01-01 09:45:00,2096.0
2019-01-01 10:00:00,2143.0
2019-01-01 10:15:00,2172.0
2019-01-01 10:30:00,2140.0
2019-01-01 10:45:00,2166.0
2019-01-01 11:00:00,2622.0
2019-01-01 11:15:00,2773.0
2019-01-01 11:30:00,2753.0
2019-01-01 11:45:00,2741.0
2019-01-01 12:00:00,2740.0
2019-01-01 12:15:00,2530.0
2019-01-01 12:30:00,2481.0
2019-01-01 12:45:00,2333.0
2019-01-01 13:00:00,2282.0
2019-01-01 13:15:00,2294.0
2019-01-01 13:30:00,2265.0
2019-01-01 13:45:00,2291.0
2019-01-01 14:00:00,2277.0
2019-01-01 14:15:00,2258.0
2019-01-01 14:30:00,2241.0
2019-01-01 14:45:00,2202.0
2019-01-01 15:00:00,1979.0
2019-01-01 15:15:00,2219.0
2019-01-01 15:30:00,2113.0
2019-01-01 15:45:00,2170.0
2019-01-01 16:00:00,2094.0
2019-01-01 16:15:00,2223.0
2019-01-01 16:30:00,2262.0
2019-01-01 16:45:00,2286.0
2019-01-01 17:00:00,2291.0
2019-01-01 17:15:00,2290.0
2019-01-01 17:30:00,2228.0
2019-01-01 17:45:00,2258.0
2019-01-01 18:00:00,2270.0
2019-01-01 18:15:00,2128.0
2019-01-01 18:30:00,2235.0
2019-01-01 18:45:00,2195.0
2019-01-01 19:00:00,2109.0
2019-01-01 19:15:00,2184.0
2019-01-01 19:30:00,2235.0
2019-01-01 19:45:00,2165.0
2019-01-01 20:00:00,2133.0
2019-01-01 20:15:00,2144.0
2019-01-01 20:30:00,2230.0
2019-01-01 20:45:00,2062.0
2019-01-01 21:00:00,1844.0
2019-01-01 21:15:00,1814.0
2019-01-01 21:30:00,1853.0
2019-01-01 21:45:00,1870.0
2019-01-01 22:00:00,1865.0
2019-01-01 22:15:00,1847.0
2019-01-01 22:30:00,1825.0
2019-01-01 22:45:00,1821.0
2019-01-01 23:00:00,1669.0
2019-01-01 23:15:00,1849.0
2019-01-01 23:30:00,1741.0
2019-01-01 23:45:00,1805.0
2019-01-02 00:00:00,1668.0
2019-01-02 00:15:00,1641.0
2019-01-02 00:30:00,1678.0
2019-01-02 00:45:00,1689.0
2019-01-02 01:00:00,1775.0
2019-01-02 01:15:00,1912.0
2019-01-02 01:30:00,2119.0
2019-01-02 01:45:00,2333.0
2019-01-02 02:00:00,2322.0
2019-01-02 02:15:00,2628.0
2019-01-02 02:30:00,2776.0
2019-01-02 02:45:00,2910.0
2019-01-02 03:00:00,2976.0
2019-01-02 03:15:00,3070.0
2019-01-02 03:30:00,3076.0
2019-01-02 03:45:00,3089.0
2019-01-02 04:00:00,3101.0
2019-01-02 04:15:00,3086.0
2019-01-02 04:30:00,3084.0
2019-01-02 04:45:00,3109.0
2019-01-02 05:00:00,3170.0
2019-01-02 05:15:00,3191.0
2019-01-02 05:30:00,3258.0
2019-01-02 05:45:00,3431.0
2019-01-02 06:00:00,3697.0
2019-01-02 06:15:00,3923.0
2019-01-02 06:30:00,3913.0
2019-01-02 06:45:00,3976.0
2019-01-02 07:00:00,4426.0
2019-01-02 07:15:00,4585.0
2019-01-02 07:30:00,4586.0
2019-01-02 07:45:00,4602.0
2019-01-02 08:00:00,4543.0
2019-01-02 08:15:00,4280.0
2019-01-02 08:30:00,4262.0
2019-01-02 08:45:00,4267.0
2019-01-02 09:00:00,4254.0
2019-01-02 09:15:00,4254.0
2019-01-02 09:30:00,4240.0
2019-01-02 09:45:00,4192.0
2019-01-02 10:00:00,4179.0
2019-01-02 10:15:00,4154.0
2019-01-02 10:30:00,4125.0
2019-01-02 10:45:00,4047.0
2019-01-02 11:00:00,3954.0
2019-01-02 11:15:00,3859.0
2019-01-02 11:30:00,3699.0
2019-01-02 11:45:00,3535.0
2019-01-02 12:00:00,3419.0
2019-01-02 12:15:00,3352.0
2019-01-02 12:30:00,3402.0
2019-01-02 12:45:00,3391.0
2019-01-02 13:00:00,3284.0
2019-01-02 13:15:00,3204.0
2019-01-02 13:30:00,3143.0
2019-01-02 13:45:00,3045.0
2019-01-02 14:00:00,3136.0
2019-01-02 14:15:00,2975.0
2019-01-02 14:30:00,2863.0
2019-01-02 14:45:00,2899.0
2019-01-02 15:00:00,3010.0
2019-01-02 15:15:00,3075.0
2019-01-02 15:30:00,3251.0
2019-01-02 15:45:00,3132.0
2019-01-02 16:00:00,2865.0
2019-01-02 16:15:00,2936.0
2019-01-02 16:30:00,2798.0
2019-01-02 16:45:00,2939.0
2019-01-02 17:00:00,3056.0
2019-01-02 17:15:00,3018.0
2019-01-02 17:30:00,2810.0
2019-01-02 17:45:00,2561.0
2019-01-02 18:00:00,2535.0
2019-01-02 18:15:00,2618.0
2019-01-02 18:30:00,2732.0
2019-01-02 18:45:00,2908.0
2019-01-02 19:00:00,2918.0
2019-01-02 19:15:00,2989.0
2019-01-02 19:30:00,3007.0
2019-01-02 19:45:00,2933.0
2019-01-02 20:00:00,2808.0
2019-01-02 20:15:00,2560.0
2019-01-02 20:30:00,2728.0
2019-01-02 20:45:00,2767.0
2019-01-02 21:00:00,2620.0
2019-01-02 21:15:00,2706.0
2019-01-02 21:30:00,3030.0
2019-01-02 21:45:00,3037.0
2019-01-02 22:00:00,3102.0
2019-01-02 22:15:00,3046.0
2019-01-02 22:30:00,3230.0
2019-01-02 22:45:00,2875.0
2019-01-02 23:00:00,2910.0
2019-01-02 23:15:00,2753.0
2019-01-02 23:30:00,2717.0
2019-01-02 23:45:00,2901.0
2019-01-03 00:00:00,3062.0
2019-01-03 00:15:00,3318.0
2019-01-03 00:30:00,3153.0
2019-01-03 00:45:00,3304.0
2019-01-03 01:00:00,3622.0
2019-01-03 01:15:00,3763.0
2019-01-03 01:30:00,3929.0
2019-01-03 01:45:00,3968.0
2019-01-03 02:00:00,3655.0
2019-01-03 02:15:00,3919.0
2019-01-03 02:30:00,3838.0
2019-01-03 02:45:00,3699.0
2019-01-03 03:00:00,3852.0
2019-01-03 03:15:00,4142.0
2019-01-03 03:30:00,4079.0
2019-01-03 03:45:00,4189.0
2019-01-03 04:00:00,3942.0
2019-01-03 04:15:00,4149.0
2019-01-03 04:30:00,4236.0
2019-01-03 04:45:00,4297.0
2019-01-03 05:00:00,4384.0
2019-01-03 05:15:00,4393.0
2019-01-03 05:30:00,4483.0
2019-01-03 05:45:00,4256.0
2019-01-03 06:00:00,4276.0
2019-01-03 06:15:00,4295.0
2019-01-03 06:30:00,4260.0
2019-01-03 06:45:00,4027.0
2019-01-03 07:00:00,4074.0
2019-01-03 07:15:00,4191.0
2019-01-03 07:30:00,4154.0
2019-01-03 07:45:00,4048.0
2019-01-03 08:00:00,4039.0
2019-01-03 08:15:00,4047.0
2019-01-03 08:30:00,4038.0
2019-01-03 08:45:00,4086.0
2019-01-03 09:00:00,3817.0
2019-01-03 09:15:00,3641.0
2019-01-03 09:30:00,3696.0
2019-01-03 09:45:00,3430.0
2019-01-03 10:00:00,3348.0
2019-01-03 10:15:00,3280.0
2019-01-03 10:30:00,3110.0
2019-01-03 10:45:00,2853.0
2019-01-03 11:00:00,2753.0
2019-01-03 11:15:00,2719.0
2019-01-03 11:30:00,2554.0
2019-01-03 11:45:00,2335.0
2019-01-03 12:00:00,2455.0
2019-01-03 12:15:00,2301.0
