,Power
2030-01-01 00:00:00,41087.8
2030-01-01 00:15:00,42698.53
2030-01-01 00:30:00,44266.03
2030-01-01 00:45:00,44873.57
2030-01-01 01:00:00,45814.06
2030-01-01 01:15:00,46047.64225333334
2030-01-01 01:30:00,45509.34302095239
2030-01-01 01:45:00,44600.167474285714
2030-01-01 02:00:00,40662.7910247619
2030-01-01 02:15:00,40976.39020761904
2030-01-01 02:30:00,40310.93748952381
2030-01-01 02:45:00,39716.96993333333
2030-01-01 03:00:00,39361.32052952381
2030-01-01 03:15:00,38947.33800380953
2030-01-01 03:30:00,38928.797508571435
2030-01-01 03:45:00,38963.275123809515
2030-01-01 04:00:00,39907.05131619048
2030-01-01 04:15:00,39727.52108952382
2030-01-01 04:30:00,39953.99089333334
2030-01-01 04:45:00,39869.232133333324
2030-01-01 05:00:00,41254.57629904762
2030-01-01 05:15:00,41039.679718095234
2030-01-01 05:30:00,40967.51156190475
2030-01-01 05:45:00,41344.505619047624
2030-01-01 06:00:00,42666.31841142857
2030-01-01 06:15:00,42690.56229142858
2030-01-01 06:30:00,42786.03070095238
2030-01-01 06:45:00,42632.7619695238
2030-01-01 07:00:00,43522.317611428574
2030-01-01 07:15:00,43275.739062857145
2030-01-01 07:30:00,43195.05015047619
2030-01-01 07:45:00,43200.42276
2030-01-01 08:00:00,43412.89629714286
2030-01-01 08:15:00,43392.65901333334
2030-01-01 08:30:00,43236.902390476185
2030-01-01 08:45:00,43730.86685333334
2030-01-01 09:00:00,43618.94383999999
2030-01-01 09:15:00,43999.96845523809
2030-01-01 09:30:00,43563.71126285714
2030-01-01 09:45:00,43191.07796571428
2030-01-01 10:00:00,43069.9764247619
2030-01-01 10:15:00,42692.594278095254
2030-01-01 10:30:00,42791.11810476191
2030-01-01 10:45:00,42478.662864761915
2030-01-01 11:00:00,41151.841039999985
2030-01-01 11:15:00,40296.82059999999
2030-01-01 11:30:00,40297.454064761914
2030-01-01 11:45:00,40487.80775428572
2030-01-01 12:00:00,40304.70451619047
2030-01-01 12:15:00,41259.84046857142
2030-01-01 12:30:00,41535.81167047621
2030-01-01 12:45:00,42570.90423047621
2030-01-01 13:00:00,43271.34212761905
2030-01-01 13:15:00,43031.65731809524
2030-01-01 13:30:00,43571.39676380952
2030-01-01 13:45:00,44167.205173333336
2030-01-01 14:00:00,45913.5745657143
2030-01-01 14:15:00,46657.4051847619
2030-01-01 14:30:00,47567.17933904762
2030-01-01 14:45:00,48763.902041904745
2030-01-01 15:00:00,51609.92800761905
2030-01-01 15:15:00,51696.90092
2030-01-01 15:30:00,53145.70870095238
2030-01-01 15:45:00,53740.16666666666
2030-01-01 16:00:00,55321.529211428584
2030-01-01 16:15:00,55633.256971428564
2030-01-01 16:30:00,56649.749567619045
2030-01-01 16:45:00,57503.40573142856
2030-01-01 17:00:00,57362.21523619049
2030-01-01 17:15:00,57801.400076190475
2030-01-01 17:30:00,58468.3741504762
2030-01-01 17:45:00,58755.01343619048
2030-01-01 18:00:00,57847.1737942857
2030-01-01 18:15:00,58401.347897142856
2030-01-01 18:30:00,57955.37484380952
2030-01-01 18:45:00,58036.89362095238
2030-01-01 19:00:00,57650.868628571436
2030-01-01 19:15:00,56857.99106857144
2030-01-01 19:30:00,56230.62948761905
2030-01-01 19:45:00,55886.373558095234
2030-01-01 20:00:00,55704.86661142857
2030-01-01 20:15:00,55184.75433142857
2030-01-01 20:30:00,54205.9490552381
2030-01-01 20:45:00,54253.14546857141
2030-01-01 21:00:00,54286.37341714285
2030-01-01 21:15:00,54260.57675809524
2030-01-01 21:30:00,53933.00228761905
2030-01-01 21:45:00,53768.870095238104
2030-01-01 22:00:00,53775.19300190476
2030-01-01 22:15:00,53260.158127619055
2030-01-01 22:30:00,52872.08861333334
2030-01-01 22:45:00,52335.34732380953
2030-01-01 23:00:00,52199.83520761905
