,Power
2030-01-01 00:00:00,2268.8270628571427
2030-01-01 00:15:00,2266.505601904761
2030-01-01 00:30:00,2269.808975238095
2030-01-01 00:45:00,2268.460961904761
2030-01-01 01:00:00,2284.6942590476187
2030-01-01 01:15:00,2272.849940952381
2030-01-01 01:30:00,2276.828379047619
2030-01-01 01:45:00,2278.775274285714
2030-01-01 02:00:00,2265.610453333333
2030-01-01 02:15:00,2274.0667504761905
2030-01-01 02:30:00,2275.268746666666
2030-01-01 02:45:00,2270.532712380952
2030-01-01 03:00:00,2270.663916190476
2030-01-01 03:15:00,2266.8822838095234
2030-01-01 03:30:00,2268.2578076190475
2030-01-01 03:45:00,2260.176076190476
2030-01-01 04:00:00,2268.744531428571
2030-01-01 04:15:00,2270.454413333333
2030-01-01 04:30:00,2273.7577866666666
2030-01-01 04:45:00,2269.81744
2030-01-01 05:00:00,2266.444232380952
2030-01-01 05:15:00,2272.7166209523807
2030-01-01 05:30:00,2276.697175238095
2030-01-01 05:45:00,2267.9255657142858
2030-01-01 06:00:00,2266.338422857142
2030-01-01 06:15:00,2273.235087619048
2030-01-01 06:30:00,2272.433051428571
2030-01-01 06:45:00,2271.118897142857
2030-01-01 07:00:00,2271.8722609523807
2030-01-01 07:15:00,2272.6192761904763
2030-01-01 07:30:00,2275.3809047619047
2030-01-01 07:45:00,2273.146207619048
2030-01-01 08:00:00,2271.15064
2030-01-01 08:15:00,2279.547683809524
2030-01-01 08:30:00,2272.1177390476187
2030-01-01 08:45:00,2279.130794285714
2030-01-01 09:00:00,2274.3672495238093
2030-01-01 09:15:00,2262.3853790476187
2030-01-01 09:30:00,2269.3286
2030-01-01 09:45:00,2279.7931619047617
2030-01-01 10:00:00,2271.4236285714283
2030-01-01 10:15:00,2279.253533333333
2030-01-01 10:30:00,2271.330516190476
2030-01-01 10:45:00,2271.1125485714283
2030-01-01 11:00:00,2269.8724609523806
2030-01-01 11:15:00,2275.833769523809
2030-01-01 11:30:00,2271.50616
2030-01-01 11:45:00,2275.071940952381
2030-01-01 12:00:00,2268.041956190476
2030-01-01 12:15:00,2272.73355047619
2030-01-01 12:30:00,2269.5127085714284
2030-01-01 12:45:00,2271.997116190476
2030-01-01 13:00:00,2263.396918095238
2030-01-01 13:15:00,2269.72856
2030-01-01 13:30:00,2274.500569523809
2030-01-01 13:45:00,2275.395718095238
