,Power
2030-01-01 00:00:00,1842.782899047619
2030-01-01 00:15:00,1842.1586228571423
2030-01-01 00:30:00,1843.01568
2030-01-01 00:45:00,1840.9650914285712
2030-01-01 01:00:00,1841.7586628571428
2030-01-01 01:15:00,1841.1195733333327
2030-01-01 01:30:00,1842.4781676190476
2030-01-01 01:45:00,1843.919293333333
2030-01-01 02:00:00,1841.5322304761903
2030-01-01 02:15:00,1837.1707619047615
2030-01-01 02:30:00,1840.874095238095
2030-01-01 02:45:00,1843.9658495238093
2030-01-01 03:00:00,1837.786573333333
2030-01-01 03:15:00,1842.306756190476
2030-01-01 03:30:00,1841.739617142857
2030-01-01 03:45:00,1844.183817142857
2030-01-01 04:00:00,1839.0499390476184
2030-01-01 04:15:00,1842.7321104761904
2030-01-01 04:30:00,1842.4866323809524
2030-01-01 04:45:00,1844.7784666666664
2030-01-01 05:00:00,1841.8708209523809
2030-01-01 05:15:00,1840.281561904762
2030-01-01 05:30:00,1841.0264609523808
2030-01-01 05:45:00,1836.863914285714
2030-01-01 06:00:00,1841.0814819047616
2030-01-01 06:15:00,1840.0001085714284
2030-01-01 06:30:00,1847.1232057142856
2030-01-01 06:45:00,1844.1541904761905
2030-01-01 07:00:00,1843.2146019047616
2030-01-01 07:15:00,1842.370241904761
2030-01-01 07:30:00,1842.0168380952375
2030-01-01 07:45:00,1842.886592380952
2030-01-01 08:00:00,1837.3612190476188
2030-01-01 08:15:00,1844.12668
2030-01-01 08:30:00,1844.6811219047615
2030-01-01 08:45:00,1843.94892
2030-01-01 09:00:00,1842.0993695238092
2030-01-01 09:15:00,1845.0345257142856
2030-01-01 09:30:00,1845.4069752380951
2030-01-01 09:45:00,1841.5364628571424
2030-01-01 10:00:00,1837.8521752380948
2030-01-01 10:15:00,1843.235763809524
2030-01-01 10:30:00,1842.619952380952
2030-01-01 10:45:00,1840.080523809524
2030-01-01 11:00:00,1841.3756323809523
2030-01-01 11:15:00,1840.0255028571423
2030-01-01 11:30:00,1838.97164
2030-01-01 11:45:00,1835.099011428571
2030-01-01 12:00:00,1840.8084933333328
2030-01-01 12:15:00,1841.0984114285711
2030-01-01 12:30:00,1843.5553085714284
2030-01-01 12:45:00,1838.487032380952
2030-01-01 13:00:00,1839.4033428571424
2030-01-01 13:15:00,1844.4017847619043
2030-01-01 13:30:00,1836.8364038095235
2030-01-01 13:45:00,1842.4908647619045
2030-01-01 14:00:00,1847.286152380952
2030-01-01 14:15:00,1840.5418533333327
2030-01-01 14:30:00,1840.177868571428
2030-01-01 14:45:00,1839.2933009523808
2030-01-01 15:00:00,1840.95451047619
2030-01-01 15:15:00,1843.9235257142852
2030-01-01 15:30:00,1842.2538514285716
2030-01-01 15:45:00,1842.876011428571
2030-01-01 16:00:00,1842.4316114285716
2030-01-01 16:15:00,1843.3669676190475
2030-01-01 16:30:00,1844.814441904762
2030-01-01 16:45:00,1839.5789866666664
2030-01-01 17:00:00,1842.634765714285
2030-01-01 17:15:00,1840.6243847619048
2030-01-01 17:30:00,1839.0372419047617
2030-01-01 17:45:00,1841.494139047619
2030-01-01 18:00:00,1842.0168380952375
2030-01-01 18:15:00,1841.9131447619045
2030-01-01 18:30:00,1845.106476190476
2030-01-01 18:45:00,1843.1743942857145
2030-01-01 19:00:00,1845.552992380952
2030-01-01 19:15:00,1842.52684
2030-01-01 19:30:00,1844.194398095238
2030-01-01 19:45:00,1836.8702628571427
2030-01-01 20:00:00,1840.334466666667
2030-01-01 20:15:00,1842.808293333333
2030-01-01 20:30:00,1853.190323809524
2030-01-01 20:45:00,1863.9617333333333
2030-01-01 21:00:00,1877.2471771428568
2030-01-01 21:15:00,1895.827329523809
2030-01-01 21:30:00,1916.1871980952376
2030-01-01 21:45:00,1942.9019866666663
2030-01-01 22:00:00,1985.7802380952376
2030-01-01 22:15:00,2028.89127047619
2030-01-01 22:30:00,2078.0884666666666
2030-01-01 22:45:00,2146.824449523809
2030-01-01 23:00:00,2219.3547619047617
2030-01-01 23:15:00,2302.298847619048
2030-01-01 23:30:00,2361.909817142857
2030-01-01 23:45:00,2382.733131428571
2030-01-02 00:00:00,2686.176077940594
2030-01-02 00:15:00,2686.026989940596
2030-01-02 00:30:00,2686.0048139405963
2030-01-02 00:45:00,2686.074125940595
2030-01-02 01:00:00,2686.0033259405964
2030-01-02 01:15:00,2685.9809579405965
2030-01-02 01:30:00,2685.8576939405957
2030-01-02 01:45:00,2685.758381940597
2030-01-02 02:00:00,2685.794477940597
2030-01-02 02:15:00,2685.8016779405943
2030-01-02 02:30:00,2685.8454539405943
2030-01-02 02:45:00,2685.9645899405946
2030-01-02 03:00:00,2685.8951819405943
2030-01-02 03:15:00,2686.0020779405945
2030-01-02 03:30:00,2685.9985739405943
2030-01-02 03:45:00,2686.0647659405945
2030-01-02 04:00:00,2686.0479659405946
2030-01-02 04:15:00,2686.0055819405943
2030-01-02 04:30:00,2685.8039339405946
2030-01-02 04:45:00,2685.6081899405945
2030-01-02 05:00:00,2685.3764459405943
2030-01-02 05:15:00,2685.0882059405944
2030-01-02 05:30:00,2684.7945899405945
2030-01-02 05:45:00,2684.5555019405942
2030-01-02 06:00:00,2684.0414219405943
2030-01-02 06:15:00,2683.5187499405943
2030-01-02 06:30:00,2683.2233099405944
2030-01-02 06:45:00,2682.5883659405945
2030-01-02 07:00:00,2682.2349419405946
2030-01-02 07:15:00,2681.788589940594
2030-01-02 07:30:00,2681.3042219405943
2030-01-02 07:45:00,2681.0172299405945
2030-01-02 08:00:00,2680.6488299405946
2030-01-02 08:15:00,2680.4968139405946
2030-01-02 08:30:00,2680.2252299405945
