,Power
2030-01-01 00:00:00,3185.9408442988292
2030-01-01 00:15:00,3185.9935002988323
2030-01-01 00:30:00,3185.918572298834
2030-01-01 00:45:00,3185.9491482988296
2030-01-01 01:00:00,3185.58094029883
2030-01-01 01:15:00,3185.84959629883
2030-01-01 01:30:00,3185.75935629883
2030-01-01 01:45:00,3185.7151962988296
2030-01-01 02:00:00,3186.0138042988297
2030-01-01 02:15:00,3185.8219962988296
2030-01-01 02:30:00,3185.79473229883
2030-01-01 02:45:00,3185.9021562988296
2030-01-01 03:00:00,3185.89918029883
2030-01-01 03:15:00,3185.9849562988297
2030-01-01 03:30:00,3185.95375629883
2030-01-01 03:45:00,3186.13706829883
2030-01-01 04:00:00,3185.94271629883
2030-01-01 04:15:00,3185.9039322988297
2030-01-01 04:30:00,3185.8290042988297
2030-01-01 04:45:00,3185.91838029883
2030-01-01 05:00:00,3185.9948922988297
2030-01-01 05:15:00,3185.8526202988296
2030-01-01 05:30:00,3185.7623322988297
2030-01-01 05:45:00,3185.96129229883
2030-01-01 06:00:00,3185.99729229883
2030-01-01 06:15:00,3185.8408602988297
2030-01-01 06:30:00,3185.8590522988297
2030-01-01 06:45:00,3185.88886029883
2030-01-01 07:00:00,3185.87177229883
2030-01-01 07:15:00,3185.85482829883
2030-01-01 07:30:00,3185.79218829883
2030-01-01 07:45:00,3185.8428762988297
2030-01-01 08:00:00,3185.88814029883
2030-01-01 08:15:00,3185.6976762988297
2030-01-01 08:30:00,3185.86620429883
2030-01-01 08:45:00,3185.70713229883
2030-01-01 09:00:00,3185.81518029883
2030-01-01 09:15:00,3186.0869562988296
2030-01-01 09:30:00,3185.9294682988298
2030-01-01 09:45:00,3185.6921082988297
2030-01-01 10:00:00,3185.8819482988297
2030-01-01 10:15:00,3185.7043482988297
2030-01-01 10:30:00,3185.88406029883
2030-01-01 10:45:00,3185.8890042988296
2030-01-01 11:00:00,3185.91713229883
2030-01-01 11:15:00,3185.78191629883
2030-01-01 11:30:00,3185.88007629883
2030-01-01 11:45:00,3185.79919629883
2030-01-01 12:00:00,3185.9586522988297
2030-01-01 12:15:00,3185.8522362988297
2030-01-01 12:30:00,3185.92529229883
2030-01-01 12:45:00,3185.86894029883
2030-01-01 13:00:00,3186.0640122988298
2030-01-01 13:15:00,3185.92039629883
2030-01-01 13:30:00,3185.81215629883
2030-01-01 13:45:00,3185.79185229883
2030-01-01 14:00:00,3185.82785229883
2030-01-01 14:15:00,3185.92327629883
2030-01-01 14:30:00,3185.8839162988297
2030-01-01 14:45:00,3185.57369229883
2030-01-01 15:00:00,3185.92634829883
2030-01-01 15:15:00,3185.95678029883
2030-01-01 15:30:00,3186.03367629883
2030-01-01 15:45:00,3185.80462029883
2030-01-01 16:00:00,3185.9621082988297
2030-01-01 16:15:00,3185.9826522988296
2030-01-01 16:30:00,3185.8774362988297
2030-01-01 16:45:00,3185.8540122988297
2030-01-01 17:00:00,3185.91785229883
2030-01-01 17:15:00,3185.95481229883
2030-01-01 17:30:00,3185.8652442988296
2030-01-01 17:45:00,3185.7317082988297
2030-01-01 18:00:00,3185.83860429883
2030-01-01 18:15:00,3185.8664442988297
2030-01-01 18:30:00,3185.8457562988297
2030-01-01 18:45:00,3185.9136762988296
2030-01-01 19:00:00,3185.80385229883
2030-01-01 19:15:00,3185.77380429883
2030-01-01 19:30:00,3185.8430202988297
2030-01-01 19:45:00,3185.8780122988296
2030-01-01 20:00:00,3185.8214202988297
2030-01-01 20:15:00,3185.87321229883
2030-01-01 20:30:00,3185.68102029883
2030-01-01 20:45:00,3185.57028429883
2030-01-01 21:00:00,3185.52564429883
2030-01-01 21:15:00,3185.12695629883
2030-01-01 21:30:00,3184.83934029883
2030-01-01 21:45:00,3184.49114829883
2030-01-01 22:00:00,3183.8396442988296
2030-01-01 22:15:00,3183.32546829883
2030-01-01 22:30:00,3182.67468429883
2030-01-01 22:45:00,3181.72606029883
2030-01-01 23:00:00,3180.6054522988297
2030-01-01 23:15:00,3179.4775962988297
2030-01-01 23:30:00,3178.6245402988297
2030-01-01 23:45:00,3178.4500122988297
2030-01-02 00:00:00,3178.3191162988296
2030-01-02 00:15:00,3178.2645402988296
2030-01-02 00:30:00,3178.2528282988296
2030-01-02 00:45:00,3178.1893722988298
2030-01-02 01:00:00,3178.1429082988298
2030-01-02 01:15:00,3178.1247162988298
2030-01-02 01:30:00,3177.82063629883
2030-01-02 01:45:00,3177.54828429883
2030-01-02 02:00:00,3177.5010042988297
2030-01-02 02:15:00,3177.70260429883
2030-01-02 02:30:00,3177.83878029883
2030-01-02 02:45:00,3177.75271629883
2030-01-02 03:00:00,3178.0687002988298
2030-01-02 03:15:00,3178.2367962988296
2030-01-02 03:30:00,3178.2266682988297
2030-01-02 03:45:00,3178.2828762988297
2030-01-02 04:00:00,3178.2022362988296
2030-01-02 04:15:00,3178.02017229883
2030-01-02 04:30:00,3177.6704922988297
2030-01-02 04:45:00,3177.51132429883
2030-01-02 05:00:00,3177.1202682988296
2030-01-02 05:15:00,3176.5440282988297
2030-01-02 05:30:00,3175.67762829883
2030-01-02 05:45:00,3175.13441229883
2030-01-02 06:00:00,3174.31145229883
2030-01-02 06:15:00,3173.42090829883
2030-01-02 06:30:00,3172.3799322988298
2030-01-02 06:45:00,3171.5343642988296
2030-01-02 07:00:00,3170.6118042988296
2030-01-02 07:15:00,3169.83127629883
2030-01-02 07:30:00,3168.95244429883
2030-01-02 07:45:00,3168.2882682988297
2030-01-02 08:00:00,3167.7160602988297
2030-01-02 08:15:00,3167.16463629883
2030-01-02 08:30:00,3166.70825229883
2030-01-02 08:45:00,3166.55119629883
2030-01-02 09:00:00,3166.44540429883
2030-01-02 09:15:00,3166.26569229883
2030-01-02 09:30:00,3166.05569229883
2030-01-02 09:45:00,3166.17166029883
2030-01-02 10:00:00,3166.2709722988297
2030-01-02 10:15:00,3166.1904762988297
2030-01-02 10:30:00,3166.2230682988297
2030-01-02 10:45:00,3166.30279629883
2030-01-02 11:00:00,3166.23670029883
2030-01-02 11:15:00,3166.09457229883
2030-01-02 11:30:00,3166.06236429883
2030-01-02 11:45:00,3166.11694029883
2030-01-02 12:00:00,3165.8789082988296
2030-01-02 12:15:00,3165.86100429883
2030-01-02 12:30:00,3165.85481229883
2030-01-02 12:45:00,3165.8774682988296
2030-01-02 13:00:00,3165.9126042988296
2030-01-02 13:15:00,3165.9181242988298
2030-01-02 13:30:00,3166.04182029883
2030-01-02 13:45:00,3166.1443962988296
2030-01-02 14:00:00,3166.26065229883
2030-01-02 14:15:00,3166.4634042988296
2030-01-02 14:30:00,3166.82426829883
2030-01-02 14:45:00,3167.17884429883
2030-01-02 15:00:00,3167.48186829883
2030-01-02 15:15:00,3167.6993082988297
2030-01-02 15:30:00,3168.0897882988297
2030-01-02 15:45:00,3168.48094029883
2030-01-02 16:00:00,3168.9485562988298
2030-01-02 16:15:00,3169.1411322988297
2030-01-02 16:30:00,3169.8002202988296
2030-01-02 16:45:00,3170.17543629883
2030-01-02 17:00:00,3170.63220429883
2030-01-02 17:15:00,3170.8722522988296
2030-01-02 17:30:00,3171.22591629883
2030-01-02 17:45:00,3171.63905229883
2030-01-02 18:00:00,3171.79663629883
2030-01-02 18:15:00,3171.8421402988297
2030-01-02 18:30:00,3172.14588429883
2030-01-02 18:45:00,3172.12500429883
2030-01-02 19:00:00,3172.3958202988297
2030-01-02 19:15:00,3172.2657882988296
2030-01-02 19:30:00,3172.28441229883
2030-01-02 19:45:00,3172.17348429883
2030-01-02 20:00:00,3172.3255482988297
2030-01-02 20:15:00,3172.5112602988297
2030-01-02 20:30:00,3172.60270029883
2030-01-02 20:45:00,3172.41353229883
2030-01-02 21:00:00,3172.66586829883
2030-01-02 21:15:00,3172.76138829883
2030-01-02 21:30:00,3173.01276429883
2030-01-02 21:45:00,3173.1950202988296
2030-01-02 22:00:00,3173.5617402988296
2030-01-02 22:15:00,3174.02076429883
2030-01-02 22:30:00,3174.5482362988296
2030-01-02 22:45:00,3175.0861722988298
2030-01-02 23:00:00,3175.5685722988296
2030-01-02 23:15:00,3176.63076429883
2030-01-02 23:30:00,3177.8396442988296
2030-01-02 23:45:00,3178.16047629883
2030-01-03 00:00:00,3178.2871962988297
2030-01-03 00:15:00,3178.04431629883
2030-01-03 00:30:00,3178.18356429883
2030-01-03 00:45:00,3178.13830029883
2030-01-03 01:00:00,3178.05007629883
2030-01-03 01:15:00,3177.8448762988296
2030-01-03 01:30:00,3177.87122829883
2030-01-03 01:45:00,3177.58001229883
2030-01-03 02:00:00,3177.5755962988296
2030-01-03 02:15:00,3177.47604429883
2030-01-03 02:30:00,3177.84511629883
2030-01-03 02:45:00,3177.94476429883
2030-01-03 03:00:00,3178.0466202988296
2030-01-03 03:15:00,3178.2362682988296
2030-01-03 03:30:00,3178.1753562988297
2030-01-03 03:45:00,3178.2667002988296
2030-01-03 04:00:00,3178.13513229883
2030-01-03 04:15:00,3177.9791802988298
2030-01-03 04:30:00,3177.66862029883
2030-01-03 04:45:00,3177.4887642988297
2030-01-03 05:00:00,3177.0460602988296
2030-01-03 05:15:00,3176.5478202988297
2030-01-03 05:30:00,3175.8187002988298
2030-01-03 05:45:00,3174.99986829883
2030-01-03 06:00:00,3174.3007482988296
2030-01-03 06:15:00,3173.2227162988297
2030-01-03 06:30:00,3172.53338829883
2030-01-03 06:45:00,3171.5499642988298
2030-01-03 07:00:00,3170.69306829883
2030-01-03 07:15:00,3169.78927629883
2030-01-03 07:30:00,3168.9327642988296
2030-01-03 07:45:00,3168.27199629883
2030-01-03 08:00:00,3167.7691962988297
2030-01-03 08:15:00,3167.33830029883
2030-01-03 08:30:00,3166.58177229883
2030-01-03 08:45:00,3166.4228442988297
2030-01-03 09:00:00,3166.48740429883
2030-01-03 09:15:00,3166.1007642988297
2030-01-03 09:30:00,3166.09606029883
2030-01-03 09:45:00,3166.1580762988297
2030-01-03 10:00:00,3166.13278029883
2030-01-03 10:15:00,3166.3301082988296
2030-01-03 10:30:00,3166.35559629883
2030-01-03 10:45:00,3166.2106842988296
2030-01-03 11:00:00,3166.2358842988297
2030-01-03 11:15:00,3166.17943629883
2030-01-03 11:30:00,3166.1489082988296
2030-01-03 11:45:00,3166.0669722988296
2030-01-03 12:00:00,3166.02742029883
2030-01-03 12:15:00,3165.78353229883
2030-01-03 12:30:00,3165.9274842988298
2030-01-03 12:45:00,3165.77398029883
2030-01-03 13:00:00,3151.4922266666667
2030-01-03 13:15:00,853.3314057143709
2030-01-03 13:30:00,131.9
2030-01-03 13:45:00,131.9
2030-01-03 14:00:00,131.9
2030-01-03 14:15:00,131.9
2030-01-03 14:30:00,131.9
2030-01-03 14:45:00,131.9
2030-01-03 15:00:00,131.9
2030-01-03 15:15:00,0.0
2030-01-03 15:30:00,0.0
2030-01-03 15:45:00,0.0
2030-01-03 16:00:00,0.0
2030-01-03 16:15:00,0.0
2030-01-03 16:30:00,0.0
2030-01-03 16:45:00,0.0
2030-01-03 17:00:00,0.0
2030-01-03 17:15:00,0.0
2030-01-03 17:30:00,0.0
2030-01-03 17:45:00,0.0
2030-01-03 18:00:00,0.0
2030-01-03 18:15:00,0.0
2030-01-03 18:30:00,0.0
2030-01-03 18:45:00,0.0
2030-01-03 19:00:00,0.0
2030-01-03 19:15:00,0.0
2030-01-03 19:30:00,0.0
2030-01-03 19:45:00,52.76000000000011
2030-01-03 20:00:00,0.0
2030-01-03 20:15:00,0.0
2030-01-03 20:30:00,131.9
2030-01-03 20:45:00,131.9
2030-01-03 21:00:00,131.9
2030-01-03 21:15:00,0.0
2030-01-03 21:30:00,0.0
2030-01-03 21:45:00,0.0
2030-01-03 22:00:00,131.9
2030-01-03 22:15:00,131.9
2030-01-03 22:30:00,131.9
2030-01-03 22:45:00,131.9
2030-01-03 23:00:00,131.9
2030-01-03 23:15:00,131.9
2030-01-03 23:30:00,131.9
2030-01-03 23:45:00,131.9
2030-01-04 00:00:00,131.9
2030-01-04 00:15:00,131.9
2030-01-04 00:30:00,131.9
2030-01-04 00:45:00,131.9
2030-01-04 01:00:00,2597.5984152380947
2030-01-04 01:15:00,2569.5292647619044
2030-01-04 01:30:00,2532.631367619047
2030-01-04 01:45:00,3180.87684429883
2030-01-04 02:00:00,3181.6069242988297
2030-01-04 02:15:00,3182.3609082988296
2030-01-04 02:30:00,3182.89610829883
2030-01-04 02:45:00,3183.11489229883
2030-01-04 03:00:00,3183.6776922988297
2030-01-04 03:15:00,3183.77182029883
2030-01-04 03:30:00,3184.1605722988297
2030-01-04 03:45:00,3184.15385229883
2030-01-04 04:00:00,3184.24932429883
2030-01-04 04:15:00,3184.5037242988296
2030-01-04 04:30:00,3184.2580122988297
2030-01-04 04:45:00,3184.2166362988296
2030-01-04 05:00:00,3184.3988922988297
2030-01-04 05:15:00,3184.28441229883
2030-01-04 05:30:00,3184.30750029883
2030-01-04 05:45:00,3184.2223482988297
2030-01-04 06:00:00,3183.9946842988297
2030-01-04 06:15:00,3184.0300122988297
2030-01-04 06:30:00,3183.88111629883
2030-01-04 06:45:00,3184.09961229883
2030-01-04 07:00:00,3183.77489229883
2030-01-04 07:15:00,3183.7917402988296
2030-01-04 07:30:00,3183.6897402988297
2030-01-04 07:45:00,3183.7177242988296
2030-01-04 08:00:00,3183.6481722988296
2030-01-04 08:15:00,3183.72103629883
2030-01-04 08:30:00,3183.5845722988297
2030-01-04 08:45:00,3183.56110029883
2030-01-04 09:00:00,3183.43558029883
2030-01-04 09:15:00,3183.64361229883
2030-01-04 09:30:00,3183.60684429883
2030-01-04 09:45:00,3183.6782202988297
2030-01-04 10:00:00,3183.3367482988297
2030-01-04 10:15:00,3183.53422029883
2030-01-04 10:30:00,3183.48852429883
2030-01-04 10:45:00,3183.3340122988297
2030-01-04 11:00:00,3183.56522829883
2030-01-04 11:15:00,3183.4244922988296
2030-01-04 11:30:00,3183.53158029883
2030-01-04 11:45:00,3183.3452442988296
2030-01-04 12:00:00,3183.53585229883
2030-01-04 12:15:00,3183.43625229883
2030-01-04 12:30:00,3183.63996429883
2030-01-04 12:45:00,3183.6391962988296
2030-01-04 13:00:00,3183.69007629883
2030-01-04 13:15:00,3183.5357562988297
2030-01-04 13:30:00,3183.8479482988296
2030-01-04 13:45:00,3183.95844429883
2030-01-04 14:00:00,3184.12337229883
