,Power
2030-01-01 00:00:00,2698.5809099405938
2030-01-01 00:15:00,2698.5950699405967
2030-01-01 00:30:00,2698.575629940594
2030-01-01 00:45:00,2698.6221419405942
2030-01-01 01:00:00,2698.604141940594
2030-01-01 01:15:00,2698.618637940594
2030-01-01 01:30:00,2698.587821940594
2030-01-01 01:45:00,2698.555133940594
2030-01-01 02:00:00,2698.609277940594
2030-01-01 02:15:00,2698.708205940594
2030-01-01 02:30:00,2698.624205940594
2030-01-01 02:45:00,2698.5540779405937
2030-01-01 03:00:00,2698.694237940594
2030-01-01 03:15:00,2698.591709940594
2030-01-01 03:30:00,2698.604573940594
2030-01-01 03:45:00,2698.549133940594
2030-01-01 04:00:00,2698.665581940594
2030-01-01 04:15:00,2698.582061940594
2030-01-01 04:30:00,2698.587629940594
2030-01-01 04:45:00,2698.535645940594
2030-01-01 05:00:00,2698.601597940594
2030-01-01 05:15:00,2698.6376459405938
2030-01-01 05:30:00,2698.620749940594
2030-01-01 05:45:00,2698.715165940594
2030-01-01 06:00:00,2698.619501940594
2030-01-01 06:15:00,2698.644029940594
2030-01-01 06:30:00,2698.482461940594
2030-01-01 06:45:00,2698.549805940594
2030-01-01 07:00:00,2698.571117940594
2030-01-01 07:15:00,2698.5902699405938
2030-01-01 07:30:00,2698.598285940594
2030-01-01 07:45:00,2698.578557940594
2030-01-01 08:00:00,2698.703885940594
2030-01-01 08:15:00,2698.550429940594
2030-01-01 08:30:00,2698.537853940594
2030-01-01 08:45:00,2698.554461940594
2030-01-01 09:00:00,2698.596413940594
2030-01-01 09:15:00,2698.529837940594
2030-01-01 09:30:00,2698.521389940594
2030-01-01 09:45:00,2698.6091819405938
2030-01-01 10:00:00,2698.692749940594
2030-01-01 10:15:00,2698.5706379405938
2030-01-01 10:30:00,2698.584605940594
2030-01-01 10:45:00,2698.642205940594
2030-01-01 11:00:00,2698.612829940594
2030-01-01 11:15:00,2698.643453940594
2030-01-01 11:30:00,2698.667357940594
2030-01-01 11:45:00,2698.755197940594
2030-01-01 12:00:00,2698.625693940594
2030-01-01 12:15:00,2698.619117940594
2030-01-01 12:30:00,2698.563389940594
2030-01-01 12:45:00,2698.6783499405938
2030-01-01 13:00:00,2698.657565940594
2030-01-01 13:15:00,2698.544189940594
2030-01-01 13:30:00,2698.715789940594
2030-01-01 13:45:00,2698.587533940594
2030-01-01 14:00:00,2698.478765940594
2030-01-01 14:15:00,2698.631741940594
2030-01-01 14:30:00,2698.639997940594
2030-01-01 14:45:00,2698.660061940594
2030-01-01 15:00:00,2698.622381940594
2030-01-01 15:15:00,2698.555037940594
2030-01-01 15:30:00,2698.592909940594
2030-01-01 15:45:00,2698.578797940594
2030-01-01 16:00:00,2698.588877940594
2030-01-01 16:15:00,2698.567661940594
2030-01-01 16:30:00,2698.534829940594
2030-01-01 16:45:00,2698.653581940594
2030-01-01 17:00:00,2698.584269940594
2030-01-01 17:15:00,2698.629869940594
2030-01-01 17:30:00,2698.665869940594
2030-01-01 17:45:00,2698.610141940594
2030-01-01 18:00:00,2698.598285940594
2030-01-01 18:15:00,2698.600637940594
2030-01-01 18:30:00,2698.528205940594
2030-01-01 18:45:00,2698.572029940594
2030-01-01 19:00:00,2698.518077940594
2030-01-01 19:15:00,2698.586717940594
2030-01-01 19:30:00,2698.548893940594
2030-01-01 19:45:00,2698.715021940594
2030-01-01 20:00:00,2698.636445940594
2030-01-01 20:15:00,2698.580333940594
2030-01-01 20:30:00,2698.344845940594
2030-01-01 20:45:00,2698.100525940594
2030-01-01 21:00:00,2697.799181940594
2030-01-01 21:15:00,2697.3777419405938
2030-01-01 21:30:00,2696.915933940594
2030-01-01 21:45:00,2696.309981940594
2030-01-01 22:00:00,2695.337405940594
2030-01-01 22:15:00,2694.3595499405938
2030-01-01 22:30:00,2693.243645940594
2030-01-01 22:45:00,2691.684557940594
2030-01-01 23:00:00,2690.039405940594
2030-01-01 23:15:00,2688.158045940594
2030-01-01 23:30:00,2686.805933940594
2030-01-01 23:45:00,2686.3336139405938
2030-01-02 00:00:00,2686.176077940594
2030-01-02 00:15:00,2686.026989940594
2030-01-02 00:30:00,2686.004813940594
2030-01-02 00:45:00,2686.074125940594
2030-01-02 01:00:00,2686.003325940594
2030-01-02 01:15:00,2685.980957940594
2030-01-02 01:30:00,2685.857693940594
2030-01-02 01:45:00,2685.758381940594
2030-01-02 02:00:00,2685.794477940594
2030-01-02 02:15:00,2685.801677940594
2030-01-02 02:30:00,2685.845453940594
2030-01-02 02:45:00,2685.964589940594
2030-01-02 03:00:00,2685.895181940594
2030-01-02 03:15:00,2686.002077940594
2030-01-02 03:30:00,2685.998573940594
2030-01-02 03:45:00,2686.064765940594
2030-01-02 04:00:00,2686.047965940594
2030-01-02 04:15:00,2686.005581940594
2030-01-02 04:30:00,2685.803933940594
2030-01-02 04:45:00,2685.608189940594
