,Power
2030-01-01 00:00:00,0.0
2030-01-01 00:15:00,0.0
2030-01-01 00:30:00,0.0
2030-01-01 00:45:00,0.0
2030-01-01 01:00:00,0.0
2030-01-01 01:15:00,0.0
2030-01-01 01:30:00,0.0
2030-01-01 01:45:00,0.0
2030-01-01 02:00:00,0.0
2030-01-01 02:15:00,0.0
2030-01-01 02:30:00,0.0
2030-01-01 02:45:00,0.0
2030-01-01 03:00:00,0.0
2030-01-01 03:15:00,0.0
2030-01-01 03:30:00,0.0
2030-01-01 03:45:00,0.0
2030-01-01 04:00:00,0.0
2030-01-01 04:15:00,0.0
2030-01-01 04:30:00,0.0
2030-01-01 04:45:00,0.0
2030-01-01 05:00:00,0.0
2030-01-01 05:15:00,0.0
2030-01-01 05:30:00,0.0
2030-01-01 05:45:00,0.0
2030-01-01 06:00:00,0.0
2030-01-01 06:15:00,0.0
2030-01-01 06:30:00,0.0
2030-01-01 06:45:00,0.0
2030-01-01 07:00:00,0.0
2030-01-01 07:15:00,0.0
2030-01-01 07:30:00,0.0
2030-01-01 07:45:00,0.0
2030-01-01 08:00:00,30.8
2030-01-01 08:15:00,158.41
2030-01-01 08:30:00,435.63
2030-01-01 08:45:00,858.06
2030-01-01 09:00:00,1377.3
2030-01-01 09:15:00,2046.15
2030-01-01 09:30:00,2970.22
2030-01-01 09:45:00,3863.49
2030-01-01 10:00:00,4818.36
2030-01-01 10:15:00,5636.82
2030-01-01 10:30:00,6415.68
2030-01-01 10:45:00,7220.94
2030-01-01 11:00:00,7863.39
2030-01-01 11:15:00,8910.66
2030-01-01 11:30:00,9636.72
2030-01-01 11:45:00,9729.12
2030-01-01 12:00:00,9900.74
2030-01-01 12:15:00,9913.94
2030-01-01 12:30:00,9861.13
2030-01-01 12:45:00,9605.91
2030-01-01 13:00:00,9236.29
2030-01-01 13:15:00,9227.49
2030-01-01 13:30:00,8813.86
2030-01-01 13:45:00,8039.4
2030-01-01 14:00:00,7106.53
2030-01-01 14:15:00,6222.06
2030-01-01 14:30:00,5297.99
2030-01-01 14:45:00,4206.71
2030-01-01 15:00:00,3221.04
2030-01-01 15:15:00,2327.77
2030-01-01 15:30:00,1509.31
2030-01-01 15:45:00,774.46
2030-01-01 16:00:00,299.22
2030-01-01 16:15:00,74.81
2030-01-01 16:30:00,8.8
2030-01-01 16:45:00,0.0
2030-01-01 17:00:00,0.0
2030-01-01 17:15:00,0.0
2030-01-01 17:30:00,0.0
2030-01-01 17:45:00,0.0
2030-01-01 18:00:00,0.0
2030-01-01 18:15:00,0.0
2030-01-01 18:30:00,0.0
2030-01-01 18:45:00,0.0
2030-01-01 19:00:00,0.0
2030-01-01 19:15:00,0.0
2030-01-01 19:30:00,0.0
2030-01-01 19:45:00,0.0
2030-01-01 20:00:00,0.0
2030-01-01 20:15:00,0.0
2030-01-01 20:30:00,0.0
2030-01-01 20:45:00,0.0
2030-01-01 21:00:00,0.0
2030-01-01 21:15:00,0.0
2030-01-01 21:30:00,0.0
2030-01-01 21:45:00,0.0
2030-01-01 22:00:00,0.0
2030-01-01 22:15:00,0.0
2030-01-01 22:30:00,0.0
2030-01-01 22:45:00,0.0
2030-01-01 23:00:00,0.0
2030-01-01 23:15:00,0.0
2030-01-01 23:30:00,0.0
2030-01-01 23:45:00,0.0
2030-01-02 00:00:00,0.0
2030-01-02 00:15:00,0.0
2030-01-02 00:30:00,0.0
2030-01-02 00:45:00,0.0
2030-01-02 01:00:00,0.0
2030-01-02 01:15:00,0.0
2030-01-02 01:30:00,0.0
2030-01-02 01:45:00,0.0
2030-01-02 02:00:00,0.0
2030-01-02 02:15:00,0.0
2030-01-02 02:30:00,0.0
2030-01-02 02:45:00,0.0
2030-01-02 03:00:00,0.0
2030-01-02 03:15:00,0.0
2030-01-02 03:30:00,0.0
2030-01-02 03:45:00,0.0
2030-01-02 04:00:00,0.0
2030-01-02 04:15:00,0.0
2030-01-02 04:30:00,0.0
2030-01-02 04:45:00,0.0
2030-01-02 05:00:00,0.0
2030-01-02 05:15:00,0.0
2030-01-02 05:30:00,0.0
2030-01-02 05:45:00,0.0
2030-01-02 06:00:00,0.0
2030-01-02 06:15:00,0.0
2030-01-02 06:30:00,0.0
2030-01-02 06:45:00,0.0
2030-01-02 07:00:00,0.0
2030-01-02 07:15:00,0.0
2030-01-02 07:30:00,0.0
2030-01-02 07:45:00,0.0
2030-01-02 08:00:00,30.8
2030-01-02 08:15:00,132.01
2030-01-02 08:30:00,462.03
2030-01-02 08:45:00,1280.5
2030-01-02 09:00:00,2864.61
2030-01-02 09:15:00,5077.98
2030-01-02 09:30:00,7682.97
2030-01-02 09:45:00,10419.98
2030-01-02 10:00:00,13456.2
2030-01-02 10:15:00,16668.44
2030-01-02 10:30:00,20188.7
2030-01-02 10:45:00,22701.29
2030-01-02 11:00:00,25684.71
2030-01-02 11:15:00,27264.43
2030-01-02 11:30:00,28782.54
2030-01-02 11:45:00,29763.81
2030-01-02 12:00:00,30371.06
2030-01-02 12:15:00,30599.88
2030-01-02 12:30:00,30437.07
2030-01-02 12:45:00,30555.87
2030-01-02 13:00:00,29957.43
2030-01-02 13:15:00,28509.72
2030-01-02 13:30:00,26978.41
2030-01-02 13:45:00,24927.86
2030-01-02 14:00:00,23066.52
2030-01-02 14:15:00,20259.11
2030-01-02 14:30:00,17337.29
2030-01-02 14:45:00,14380.27
2030-01-02 15:00:00,10974.42
2030-01-02 15:15:00,7643.37
2030-01-02 15:30:00,4981.17
2030-01-02 15:45:00,2803.01
2030-01-02 16:00:00,1108.88
2030-01-02 16:15:00,316.82
2030-01-02 16:30:00,35.2
2030-01-02 16:45:00,0.0
2030-01-02 17:00:00,0.0
2030-01-02 17:15:00,0.0
2030-01-02 17:30:00,0.0
2030-01-02 17:45:00,0.0
2030-01-02 18:00:00,0.0
2030-01-02 18:15:00,0.0
2030-01-02 18:30:00,0.0
2030-01-02 18:45:00,0.0
2030-01-02 19:00:00,0.0
2030-01-02 19:15:00,0.0
2030-01-02 19:30:00,0.0
2030-01-02 19:45:00,0.0
