,Power
2030-01-01 00:00:00,12615.08
2030-01-01 00:15:00,12603.17
2030-01-01 00:30:00,12575.4
2030-01-01 00:45:00,11992.06
2030-01-01 01:00:00,11357.14
2030-01-01 01:15:00,11376.98
2030-01-01 01:30:00,11392.86
2030-01-01 01:45:00,11396.83
2030-01-01 02:00:00,10198.41
2030-01-01 02:15:00,9476.19
2030-01-01 02:30:00,9480.16
2030-01-01 02:45:00,9884.92
2030-01-01 03:00:00,10674.6
2030-01-01 03:15:00,10742.06
2030-01-01 03:30:00,10722.22
2030-01-01 03:45:00,10682.54
2030-01-01 04:00:00,10202.38
2030-01-01 04:15:00,10380.95
2030-01-01 04:30:00,10194.44
2030-01-01 04:45:00,10146.83
2030-01-01 05:00:00,9642.86
2030-01-01 05:15:00,9599.21
2030-01-01 05:30:00,9603.17
2030-01-01 05:45:00,8912.7
2030-01-01 06:00:00,7615.08
2030-01-01 06:15:00,7694.44
2030-01-01 06:30:00,7698.41
2030-01-01 06:45:00,7630.95
2030-01-01 07:00:00,7630.95
2030-01-01 07:15:00,8079.37
2030-01-01 07:30:00,8202.38
2030-01-01 07:45:00,8539.68
2030-01-01 08:00:00,8757.94
2030-01-01 08:15:00,8773.81
2030-01-01 08:30:00,9055.56
2030-01-01 08:45:00,8460.32
2030-01-01 09:00:00,8357.14
2030-01-01 09:15:00,8035.71
2030-01-01 09:30:00,8226.19
2030-01-01 09:45:00,8317.46
2030-01-01 10:00:00,8503.97
2030-01-01 10:15:00,8619.05
2030-01-01 10:30:00,8492.06
2030-01-01 10:45:00,8595.24
2030-01-01 11:00:00,10404.76
2030-01-01 11:15:00,11003.97
2030-01-01 11:30:00,10924.6
2030-01-01 11:45:00,10876.98
2030-01-01 12:00:00,10873.02
2030-01-01 12:15:00,10039.68
2030-01-01 12:30:00,9845.24
2030-01-01 12:45:00,9257.94
2030-01-01 13:00:00,9055.56
2030-01-01 13:15:00,9103.17
2030-01-01 13:30:00,8988.1
2030-01-01 13:45:00,9091.27
2030-01-01 14:00:00,9035.71
2030-01-01 14:15:00,8960.32
2030-01-01 14:30:00,8892.86
2030-01-01 14:45:00,8738.1
2030-01-01 15:00:00,7853.17
2030-01-01 15:15:00,8805.56
2030-01-01 15:30:00,8384.92
2030-01-01 15:45:00,8611.11
2030-01-01 16:00:00,8309.52
2030-01-01 16:15:00,8821.43
2030-01-01 16:30:00,8976.19
2030-01-01 16:45:00,9071.43
2030-01-01 17:00:00,9091.27
2030-01-01 17:15:00,9087.3
2030-01-01 17:30:00,8841.27
2030-01-01 17:45:00,8960.32
2030-01-01 18:00:00,9007.94
2030-01-01 18:15:00,8444.44
2030-01-01 18:30:00,8869.05
2030-01-01 18:45:00,8710.32
2030-01-01 19:00:00,8369.05
2030-01-01 19:15:00,8666.67
2030-01-01 19:30:00,8869.05
2030-01-01 19:45:00,8591.27
2030-01-01 20:00:00,8464.29
2030-01-01 20:15:00,8507.94
2030-01-01 20:30:00,8849.21
2030-01-01 20:45:00,8182.54
2030-01-01 21:00:00,7317.46
2030-01-01 21:15:00,7198.41
2030-01-01 21:30:00,7353.17
2030-01-01 21:45:00,7420.63
2030-01-01 22:00:00,7400.79
2030-01-01 22:15:00,7329.37
2030-01-01 22:30:00,7242.06
2030-01-01 22:45:00,7226.19
2030-01-01 23:00:00,6623.02
2030-01-01 23:15:00,7337.3
2030-01-01 23:30:00,6908.73
2030-01-01 23:45:00,7162.7
2030-01-02 00:00:00,6619.05
2030-01-02 00:15:00,6511.9
2030-01-02 00:30:00,6658.73
2030-01-02 00:45:00,6702.38
2030-01-02 01:00:00,7043.65
2030-01-02 01:15:00,7587.3
2030-01-02 01:30:00,8408.73
2030-01-02 01:45:00,9257.94
2030-01-02 02:00:00,9214.29
2030-01-02 02:15:00,10428.57
2030-01-02 02:30:00,11015.87
2030-01-02 02:45:00,11547.62
2030-01-02 03:00:00,11809.52
2030-01-02 03:15:00,12182.54
2030-01-02 03:30:00,12206.35
2030-01-02 03:45:00,12257.94
2030-01-02 04:00:00,12305.56
2030-01-02 04:15:00,12246.03
2030-01-02 04:30:00,12238.1
2030-01-02 04:45:00,12337.3
2030-01-02 05:00:00,12579.37
2030-01-02 05:15:00,12662.7
2030-01-02 05:30:00,12928.57
2030-01-02 05:45:00,13615.08
2030-01-02 06:00:00,14670.63
2030-01-02 06:15:00,15567.46
2030-01-02 06:30:00,15527.78
2030-01-02 06:45:00,15777.78
2030-01-02 07:00:00,17563.49
2030-01-02 07:15:00,18194.44
2030-01-02 07:30:00,18198.41
2030-01-02 07:45:00,18261.9
2030-01-02 08:00:00,18027.78
2030-01-02 08:15:00,16984.13
2030-01-02 08:30:00,16912.7
2030-01-02 08:45:00,16932.54
2030-01-02 09:00:00,16880.95
2030-01-02 09:15:00,16880.95
2030-01-02 09:30:00,16825.4
2030-01-02 09:45:00,16634.92
2030-01-02 10:00:00,16583.33
2030-01-02 10:15:00,16484.13
2030-01-02 10:30:00,16369.05
2030-01-02 10:45:00,16059.52
2030-01-02 11:00:00,15690.48
2030-01-02 11:15:00,15313.49
2030-01-02 11:30:00,14678.57
2030-01-02 11:45:00,14027.78
2030-01-02 12:00:00,13567.46
2030-01-02 12:15:00,13301.59
2030-01-02 12:30:00,13500.0
2030-01-02 12:45:00,13456.35
2030-01-02 13:00:00,13031.75
2030-01-02 13:15:00,12714.29
2030-01-02 13:30:00,12472.22
2030-01-02 13:45:00,12083.33
2030-01-02 14:00:00,12444.44
2030-01-02 14:15:00,11805.56
2030-01-02 14:30:00,11361.11
2030-01-02 14:45:00,11503.97
2030-01-02 15:00:00,11944.44
2030-01-02 15:15:00,12202.38
2030-01-02 15:30:00,12900.79
2030-01-02 15:45:00,12428.57
2030-01-02 16:00:00,11369.05
2030-01-02 16:15:00,11650.79
2030-01-02 16:30:00,11103.17
2030-01-02 16:45:00,11662.7
2030-01-02 17:00:00,12126.98
2030-01-02 17:15:00,11976.19
2030-01-02 17:30:00,11150.79
2030-01-02 17:45:00,10162.7
2030-01-02 18:00:00,10059.52
2030-01-02 18:15:00,10388.89
2030-01-02 18:30:00,10841.27
2030-01-02 18:45:00,11539.68
2030-01-02 19:00:00,11579.37
2030-01-02 19:15:00,11861.11
2030-01-02 19:30:00,11932.54
2030-01-02 19:45:00,11638.89
2030-01-02 20:00:00,11142.86
2030-01-02 20:15:00,10158.73
2030-01-02 20:30:00,10825.4
2030-01-02 20:45:00,10980.16
2030-01-02 21:00:00,10396.83
2030-01-02 21:15:00,10738.1
2030-01-02 21:30:00,12023.81
2030-01-02 21:45:00,12051.59
2030-01-02 22:00:00,12309.52
2030-01-02 22:15:00,12087.3
2030-01-02 22:30:00,12817.46
2030-01-02 22:45:00,11408.73
2030-01-02 23:00:00,11547.62
2030-01-02 23:15:00,10924.6
2030-01-02 23:30:00,10781.75
2030-01-02 23:45:00,11511.9
2030-01-03 00:00:00,12150.79
2030-01-03 00:15:00,13166.67
2030-01-03 00:30:00,12511.9
2030-01-03 00:45:00,13111.11
2030-01-03 01:00:00,14373.02
2030-01-03 01:15:00,14932.54
2030-01-03 01:30:00,15591.27
2030-01-03 01:45:00,15746.03
2030-01-03 02:00:00,14503.97
2030-01-03 02:15:00,15551.59
2030-01-03 02:30:00,15230.16
2030-01-03 02:45:00,14678.57
2030-01-03 03:00:00,15285.71
2030-01-03 03:15:00,16436.51
2030-01-03 03:30:00,16186.51
2030-01-03 03:45:00,16623.02
2030-01-03 04:00:00,15642.86
2030-01-03 04:15:00,16464.29
2030-01-03 04:30:00,16809.52
2030-01-03 04:45:00,17051.59
2030-01-03 05:00:00,17396.83
2030-01-03 05:15:00,17432.54
2030-01-03 05:30:00,17789.68
2030-01-03 05:45:00,16888.89
2030-01-03 06:00:00,16968.25
2030-01-03 06:15:00,17043.65
2030-01-03 06:30:00,16904.76
2030-01-03 06:45:00,15980.16
2030-01-03 07:00:00,16166.67
2030-01-03 07:15:00,16630.95
2030-01-03 07:30:00,16484.13
2030-01-03 07:45:00,16063.49
2030-01-03 08:00:00,16027.78
2030-01-03 08:15:00,16059.52
2030-01-03 08:30:00,16023.81
2030-01-03 08:45:00,16214.29
2030-01-03 09:00:00,15146.83
2030-01-03 09:15:00,14448.41
2030-01-03 09:30:00,14666.67
2030-01-03 09:45:00,13611.11
2030-01-03 10:00:00,13285.71
2030-01-03 10:15:00,13015.87
2030-01-03 10:30:00,12341.27
2030-01-03 10:45:00,11321.43
2030-01-03 11:00:00,10924.6
2030-01-03 11:15:00,10789.68
2030-01-03 11:30:00,10134.92
2030-01-03 11:45:00,9265.87
2030-01-03 12:00:00,9742.06
2030-01-03 12:15:00,9130.95
2030-01-03 12:30:00,7944.44
2030-01-03 12:45:00,7924.6
2030-01-03 13:00:00,7484.13
2030-01-03 13:15:00,6888.89
2030-01-03 13:30:00,7214.29
2030-01-03 13:45:00,6924.6
2030-01-03 14:00:00,6916.67
2030-01-03 14:15:00,7123.02
