,Power
2030-01-01 00:00:00,41087.8
2030-01-01 00:15:00,42698.53
2030-01-01 00:30:00,44266.03
2030-01-01 00:45:00,44873.57
2030-01-01 01:00:00,45814.06
2030-01-01 01:15:00,47357.77
2030-01-01 01:30:00,47409.381317616564
2030-01-01 01:45:00,46496.50933361657
2030-01-01 02:00:00,42575.42058161656
2030-01-01 02:15:00,42885.53325361656
2030-01-01 02:30:00,42214.46878961656
2030-01-01 02:45:00,41621.68504561655
2030-01-01 03:00:00,41273.21426161657
2030-01-01 03:15:00,40857.75142961657
2030-01-01 03:30:00,40838.47510961658
2030-01-01 03:45:00,40878.32424561655
2030-01-01 04:00:00,41819.414677616565
2030-01-01 04:15:00,41633.77926961656
2030-01-01 04:30:00,41857.16077361657
2030-01-01 04:45:00,41773.72000561656
2030-01-01 05:00:00,43165.95278961657
2030-01-01 05:15:00,42946.52222961657
2030-01-01 05:30:00,42869.40240561656
2030-01-01 05:45:00,43260.29056561656
2030-01-01 06:00:00,44578.73587761656
2030-01-01 06:15:00,44597.20786161657
2030-01-01 06:30:00,44685.06914161656
2030-01-01 06:45:00,44536.65685361656
2030-01-01 07:00:00,45426.554437616556
2030-01-01 07:15:00,45180.20962161656
2030-01-01 07:30:00,45097.116293616564
2030-01-01 07:45:00,45103.74413361656
2030-01-01 08:00:00,45324.79435761657
2030-01-01 08:15:00,45287.96638961656
2030-01-01 08:30:00,45139.15032561656
2030-01-01 08:45:00,45626.81050161656
2030-01-01 09:00:00,45521.947077616554
2030-01-01 09:15:00,45911.75181361656
2030-01-01 09:30:00,45467.954581616556
2030-01-01 09:45:00,45089.19878961655
2030-01-01 10:00:00,44981.01530161656
2030-01-01 10:15:00,44589.25643761657
2030-01-01 10:30:00,44696.61232561656
2030-01-01 10:45:00,44387.38389361657
2030-01-01 11:00:00,43060.29803761655
2030-01-01 11:15:00,42200.77824561656
2030-01-01 11:30:00,42207.08405361656
2030-01-01 11:45:00,42398.374837616575
2030-01-01 12:00:00,42215.70443761654
2030-01-01 12:15:00,43165.70043761656
2030-01-01 12:30:00,43442.05902961656
2030-01-01 12:45:00,44480.605637616565
2030-01-01 13:00:00,45188.75670961657
2030-01-01 13:15:00,44936.68190961656
2030-01-01 13:30:00,45480.492197616564
2030-01-01 13:45:00,46068.69347761656
2030-01-01 14:00:00,47811.01366961656
2030-01-01 14:15:00,48567.12606961654
2030-01-01 14:30:00,49475.55626161657
2030-01-01 14:45:00,50659.339269616554
2030-01-01 15:00:00,53519.298293616564
2030-01-01 15:15:00,53604.13082161658
2030-01-01 15:30:00,55058.38154161656
2030-01-01 15:45:00,55641.77616561658
2030-01-01 16:00:00,57230.76531761656
2030-01-01 16:15:00,57542.31128561655
2030-01-01 16:30:00,58552.34810161656
2030-01-01 16:45:00,59411.14205361655
2030-01-01 17:00:00,59269.21573361657
2030-01-01 17:15:00,59712.44544561657
2030-01-01 17:30:00,60377.25749361656
2030-01-01 17:45:00,60654.96949361656
2030-01-01 18:00:00,59751.33270961656
2030-01-01 18:15:00,60306.88323761654
2030-01-01 18:30:00,59856.19874161655
2030-01-01 18:45:00,59943.06739761657
2030-01-01 19:00:00,59549.275125616565
2030-01-01 19:15:00,58758.62451761657
2030-01-01 19:30:00,58132.409957616546
2030-01-01 19:45:00,57798.397141616544
2030-01-01 20:00:00,57610.239637616556
2030-01-01 20:15:00,57089.536533616556
2030-01-01 20:30:00,56089.78189361656
2030-01-01 20:45:00,56119.23843761654
2030-01-01 21:00:00,56134.73517361656
2030-01-01 21:15:00,56068.97890161656
2030-01-01 21:30:00,55704.346997616565
2030-01-01 21:45:00,55492.90776561656
2030-01-01 22:00:00,55419.120997616556
2030-01-01 22:15:00,54829.895509616574
2030-01-01 22:30:00,54354.27366961657
2030-01-01 22:45:00,53693.431205616565
2030-01-01 23:00:00,53421.57725361656
