,PFC
0,34.54
1,34.36
2,33.84
3,33.66
4,33.5
5,32.99
6,32.51
7,31.81
8,32.35
9,31.81
10,31.81
11,30.93
12,30.86
13,30.71
14,30.72
15,30.72
16,30.37
17,30.37
18,30.37
19,30.37
20,30.31
21,30.31
22,29.9
23,29.9
24,29.19
25,29.19
26,29.13
27,29.13
28,29.13
29,29.13
30,29.13
31,29.14
32,29.14
33,29.14
34,29.14
35,29.14
36,29.21
37,29.93
38,30.34
39,30.34
40,30.34
41,30.34
42,30.34
43,30.35
44,30.35
45,30.35
46,30.35
47,30.42
48,30.42
49,30.42
50,30.43
51,30.43
52,30.43
53,30.43
54,30.43
55,30.37
56,30.44
57,30.44
58,30.44
59,30.44
60,30.44
61,30.45
62,30.45
63,30.45
64,30.45
65,30.8
66,30.8
67,31.02
68,31.92
69,31.92
70,32.46
71,32.47
72,32.63
73,32.63
74,32.47
75,32.47
76,32.64
77,32.48
78,31.93
79,31.93
80,31.04
81,30.97
82,30.83
83,30.83
84,30.84
85,30.84
86,30.84
87,30.84
88,30.99
89,30.84
90,30.85
91,30.5
92,30.5
93,30.5
94,30.5
95,30.5
96,30.5
97,30.48
98,30.46
99,30.44
100,30.42
101,30.4
102,30.38
103,30.36
104,30.34
105,30.32
106,30.3
107,30.28
108,30.26
109,30.24
110,30.22
111,30.2
112,30.53
113,30.51
114,30.49
115,30.68
116,30.66
117,30.64
118,32.04
119,32.17
120,32.71
121,33.45
122,33.95
123,34.74
124,35.58
125,36.36
126,37.24
127,37.7
128,38.08
129,38.23
130,38.21
131,38.2
132,38.18
133,38.17
134,38.15
135,38.14
136,38.12
137,38.11
138,38.09
139,38.08
140,38.06
141,38.05
142,38.03
143,38.02
144,38.0
145,37.99
146,37.97
147,37.96
148,37.94
149,37.93
150,37.91
151,37.9
152,37.88
153,38.74
154,39.9
155,40.62
156,41.96
157,42.04
158,42.03
159,42.01
160,42.71
161,42.69
162,42.88
163,43.51
164,43.71
165,44.58
166,44.56
167,44.55
168,44.53
169,44.51
170,45.3
171,45.28
172,45.27
173,45.25
174,44.42
175,44.4
176,44.39
177,44.37
178,43.46
179,43.34
180,43.21
181,43.19
182,42.54
183,42.52
184,42.51
185,42.49
